Type,ks
Speciation_gene_pairs_same_direction,0.6893
Speciation_gene_pairs_same_direction,1.4797
Speciation_gene_pairs_same_direction,1.9898
Speciation_gene_pairs_same_direction,1.9999
Speciation_gene_pairs_same_direction,0.6428
Speciation_gene_pairs_same_direction,1.0133
Speciation_gene_pairs_same_direction,1.32
Speciation_gene_pairs_same_direction,0.644
Speciation_gene_pairs_same_direction,0.6192
Speciation_gene_pairs_same_direction,1.163
Speciation_gene_pairs_same_direction,1.7198
Speciation_gene_pairs_same_direction,0.5495
Speciation_gene_pairs_same_direction,2.0989
Speciation_gene_pairs_same_direction,2.4275
Speciation_gene_pairs_same_direction,1.4847
Speciation_gene_pairs_same_direction,0.596
Speciation_gene_pairs_same_direction,0.6239
Speciation_gene_pairs_same_direction,0.7398
Speciation_gene_pairs_same_direction,1.0555
Speciation_gene_pairs_same_direction,1.7754
Speciation_gene_pairs_same_direction,0.9752
Speciation_gene_pairs_same_direction,1.1441
Speciation_gene_pairs_same_direction,2.027
Speciation_gene_pairs_same_direction,1.8159
Speciation_gene_pairs_same_direction,0.7897
Speciation_gene_pairs_same_direction,1.936
Speciation_gene_pairs_same_direction,0.5729
Speciation_gene_pairs_same_direction,2.1216
