Type,omega
Speciation_gene_pairs_same_direction,0.2725
Speciation_gene_pairs_same_direction,0.2081
Speciation_gene_pairs_same_direction,0.2085
Speciation_gene_pairs_same_direction,0.2197
Speciation_gene_pairs_same_direction,0.2445
Speciation_gene_pairs_same_direction,0.1261
Speciation_gene_pairs_same_direction,0.7956
Speciation_gene_pairs_same_direction,0.1016
Speciation_gene_pairs_same_direction,0.1277
Speciation_gene_pairs_same_direction,0.2761
Speciation_gene_pairs_same_direction,0.0062
Speciation_gene_pairs_same_direction,0.1665
Speciation_gene_pairs_same_direction,0.1655
Speciation_gene_pairs_same_direction,0.1554
Speciation_gene_pairs_same_direction,0.3332
Speciation_gene_pairs_same_direction,0.1743
Speciation_gene_pairs_same_direction,0.0483
Speciation_gene_pairs_same_direction,0.503
Speciation_gene_pairs_same_direction,0.2165
Speciation_gene_pairs_same_direction,0.1365
Speciation_gene_pairs_same_direction,0.2382
Speciation_gene_pairs_same_direction,0.1127
Speciation_gene_pairs_same_direction,0.0676
Speciation_gene_pairs_same_direction,0.0528
Speciation_gene_pairs_same_direction,0.2938
Speciation_gene_pairs_same_direction,0.1077
Speciation_gene_pairs_same_direction,0.4472
Speciation_gene_pairs_same_direction,0.5437
