Type,ka
Speciation_gene_pairs_same_direction,0.18018
Speciation_gene_pairs_same_direction,0.285456
Speciation_gene_pairs_same_direction,0.283903
Speciation_gene_pairs_same_direction,0.222457
Speciation_gene_pairs_same_direction,0.0488309
Speciation_gene_pairs_same_direction,0.173146
Speciation_gene_pairs_same_direction,0.251244
Speciation_gene_pairs_same_direction,0.295929
Speciation_gene_pairs_same_direction,0.239913
Speciation_gene_pairs_same_direction,0.128758
Speciation_gene_pairs_same_direction,0.157076
Speciation_gene_pairs_same_direction,0.116043
Speciation_gene_pairs_same_direction,0.0818665
Speciation_gene_pairs_same_direction,0.169782
Speciation_gene_pairs_same_direction,0.272985
Speciation_gene_pairs_same_direction,0.363037
Speciation_gene_pairs_same_direction,0.155248
Speciation_gene_pairs_same_direction,0.214476
Speciation_gene_pairs_same_direction,0.0912853
Speciation_gene_pairs_same_direction,0.187844
Speciation_gene_pairs_same_direction,0.360349
Speciation_gene_pairs_same_direction,0.163276
Speciation_gene_pairs_same_direction,0.188038
Speciation_gene_pairs_same_direction,0.275101
Speciation_gene_pairs_same_direction,0.107383
Speciation_gene_pairs_same_direction,0.290479
Speciation_gene_pairs_same_direction,0.0863155
Speciation_gene_pairs_same_direction,0.139023
