Type,ks
Speciation_gene_pairs_same_direction,0.999692
Speciation_gene_pairs_same_direction,0.474036
Speciation_gene_pairs_same_direction,0.902932
Speciation_gene_pairs_same_direction,0.652896
Speciation_gene_pairs_same_direction,1.30524
Speciation_gene_pairs_same_direction,0.887466
Speciation_gene_pairs_same_direction,1.09132
Speciation_gene_pairs_same_direction,0.540053
Speciation_gene_pairs_same_direction,0.960973
Speciation_gene_pairs_same_direction,1.51298
Speciation_gene_pairs_same_direction,1.11267
Speciation_gene_pairs_same_direction,1.08846
Speciation_gene_pairs_same_direction,1.00441
Speciation_gene_pairs_same_direction,1.18463
Speciation_gene_pairs_same_direction,0.732958
Speciation_gene_pairs_same_direction,1.27015
Speciation_gene_pairs_same_direction,0.737974
Speciation_gene_pairs_same_direction,1.07203
Speciation_gene_pairs_same_direction,2.33543
Speciation_gene_pairs_same_direction,2.74692
Speciation_gene_pairs_same_direction,1.09697
Speciation_gene_pairs_same_direction,2.52748
Speciation_gene_pairs_same_direction,1.61373
Speciation_gene_pairs_same_direction,0.529899
Speciation_gene_pairs_same_direction,0.632945
Speciation_gene_pairs_same_direction,1.03218
Speciation_gene_pairs_same_direction,0.984883
Speciation_gene_pairs_same_direction,1.063
