Type,omega
Speciation_gene_pairs_same_direction,0.10773
Speciation_gene_pairs_same_direction,0.176083
Speciation_gene_pairs_same_direction,0.0433887
Speciation_gene_pairs_same_direction,0.159652
Speciation_gene_pairs_same_direction,0.0430672
Speciation_gene_pairs_same_direction,0.114554
Speciation_gene_pairs_same_direction,0.0987248
Speciation_gene_pairs_same_direction,0.265225
Speciation_gene_pairs_same_direction,0.165455
Speciation_gene_pairs_same_direction,0.200734
Speciation_gene_pairs_same_direction,0.0345377
Speciation_gene_pairs_same_direction,0.138718
Speciation_gene_pairs_same_direction,0.0517928
Speciation_gene_pairs_same_direction,0.0967279
Speciation_gene_pairs_same_direction,0.169165
Speciation_gene_pairs_same_direction,0.110178
Speciation_gene_pairs_same_direction,0.153416
Speciation_gene_pairs_same_direction,0.102434
Speciation_gene_pairs_same_direction,0.104127
Speciation_gene_pairs_same_direction,0.0314486
Speciation_gene_pairs_same_direction,0.102771
Speciation_gene_pairs_same_direction,0.120364
Speciation_gene_pairs_same_direction,0.287347
Speciation_gene_pairs_same_direction,0.110911
Speciation_gene_pairs_same_direction,0.264764
Speciation_gene_pairs_same_direction,0.209021
Speciation_gene_pairs_same_direction,0.108557
Speciation_gene_pairs_same_direction,0.109313
