Type,ka
Speciation_gene_pairs_same_direction,0.3851
Speciation_gene_pairs_same_direction,0.1198
Speciation_gene_pairs_same_direction,0.1324
Speciation_gene_pairs_same_direction,0.1222
Speciation_gene_pairs_same_direction,0.1413
Speciation_gene_pairs_same_direction,0.1447
Speciation_gene_pairs_same_direction,0.3103
Speciation_gene_pairs_same_direction,0.2449
Speciation_gene_pairs_same_direction,0.235
Speciation_gene_pairs_same_direction,0.1413
Speciation_gene_pairs_same_direction,0.0853
Speciation_gene_pairs_same_direction,0.0817
Speciation_gene_pairs_same_direction,0.0953
Speciation_gene_pairs_same_direction,0.2566
Speciation_gene_pairs_same_direction,0.1519
Speciation_gene_pairs_same_direction,0.1579
Speciation_gene_pairs_same_direction,0.2052
Speciation_gene_pairs_same_direction,0.2401
Speciation_gene_pairs_same_direction,0.3721
Speciation_gene_pairs_same_direction,0.2089
Speciation_gene_pairs_same_direction,0.158
Speciation_gene_pairs_same_direction,0.1546
Speciation_gene_pairs_same_direction,0.0801
Speciation_gene_pairs_same_direction,0.1361
Speciation_gene_pairs_same_direction,0.187
Speciation_gene_pairs_same_direction,0.1686
Speciation_gene_pairs_same_direction,0.2687
Speciation_gene_pairs_same_direction,0.1199
