Type,ka
Speciation_gene_pairs_same_direction,0.1865
Speciation_gene_pairs_same_direction,0.139
Speciation_gene_pairs_same_direction,0.188
Speciation_gene_pairs_same_direction,0.2133
Speciation_gene_pairs_same_direction,0.5151
Speciation_gene_pairs_same_direction,0.214
Speciation_gene_pairs_same_direction,0.421
Speciation_gene_pairs_same_direction,0.1623
Speciation_gene_pairs_same_direction,0.0907
Speciation_gene_pairs_same_direction,0.1747
Speciation_gene_pairs_same_direction,0.183
Speciation_gene_pairs_same_direction,0.3043
Speciation_gene_pairs_same_direction,0.0884
Speciation_gene_pairs_same_direction,0.0414
Speciation_gene_pairs_same_direction,0.0946
Speciation_gene_pairs_same_direction,0.1239
Speciation_gene_pairs_same_direction,0.1097
Speciation_gene_pairs_same_direction,0.0822
Speciation_gene_pairs_same_direction,0.0837
Speciation_gene_pairs_same_direction,0.0963
Speciation_gene_pairs_same_direction,0.1522
Speciation_gene_pairs_same_direction,0.0248
Speciation_gene_pairs_same_direction,0.0939
Speciation_gene_pairs_same_direction,0.0895
Speciation_gene_pairs_same_direction,0.1665
Speciation_gene_pairs_same_direction,0.1503
Speciation_gene_pairs_same_direction,0.1768
Speciation_gene_pairs_same_direction,0.1032
