Type,ka
Speciation_gene_pairs_same_direction,0.136594
Speciation_gene_pairs_same_direction,0.182353
Speciation_gene_pairs_same_direction,0.106945
Speciation_gene_pairs_same_direction,0.143316
Speciation_gene_pairs_same_direction,0.593412
Speciation_gene_pairs_same_direction,0.136645
Speciation_gene_pairs_same_direction,0.10068
Speciation_gene_pairs_same_direction,0.259852
Speciation_gene_pairs_same_direction,0.128945
Speciation_gene_pairs_same_direction,0.0787583
Speciation_gene_pairs_same_direction,0.127285
Speciation_gene_pairs_same_direction,0.295019
Speciation_gene_pairs_same_direction,0.352019
Speciation_gene_pairs_same_direction,0.194973
Speciation_gene_pairs_same_direction,0.104163
Speciation_gene_pairs_same_direction,0.164744
Speciation_gene_pairs_same_direction,0.188648
Speciation_gene_pairs_same_direction,0.141175
Speciation_gene_pairs_same_direction,0.077925
Speciation_gene_pairs_same_direction,0.112067
Speciation_gene_pairs_same_direction,0.108611
Speciation_gene_pairs_same_direction,0.21062
Speciation_gene_pairs_same_direction,0.116439
Speciation_gene_pairs_same_direction,0.122164
Speciation_gene_pairs_same_direction,0.104929
Speciation_gene_pairs_same_direction,0.0759814
Speciation_gene_pairs_same_direction,0.259232
Speciation_gene_pairs_same_direction,0.184023
