Type,omega
Speciation_gene_pairs_same_direction,0.251383
Speciation_gene_pairs_same_direction,0.183321
Speciation_gene_pairs_same_direction,0.15847
Speciation_gene_pairs_same_direction,0.302712
Speciation_gene_pairs_same_direction,0.337252
Speciation_gene_pairs_same_direction,0.215709
Speciation_gene_pairs_same_direction,0.34232
Speciation_gene_pairs_same_direction,0.0254527
Speciation_gene_pairs_same_direction,0.126102
Speciation_gene_pairs_same_direction,0.493571
Speciation_gene_pairs_same_direction,0.0538605
Speciation_gene_pairs_same_direction,0.0898745
Speciation_gene_pairs_same_direction,0.0538686
Speciation_gene_pairs_same_direction,0.110793
Speciation_gene_pairs_same_direction,0.121302
Speciation_gene_pairs_same_direction,0.124937
Speciation_gene_pairs_same_direction,0.214063
Speciation_gene_pairs_same_direction,0.179306
Speciation_gene_pairs_same_direction,0.109719
Speciation_gene_pairs_same_direction,0.136461
Speciation_gene_pairs_same_direction,0.0819204
Speciation_gene_pairs_same_direction,0.0628874
Speciation_gene_pairs_same_direction,0.119895
Speciation_gene_pairs_same_direction,0.145286
Speciation_gene_pairs_same_direction,0.092902
Speciation_gene_pairs_same_direction,0.133577
Speciation_gene_pairs_same_direction,0.114968
Speciation_gene_pairs_same_direction,0.161435
