Type,ka
Speciation_gene_pairs_same_direction,0.1058
Speciation_gene_pairs_same_direction,0.1116
Speciation_gene_pairs_same_direction,0.0843
Speciation_gene_pairs_same_direction,0.1472
Speciation_gene_pairs_same_direction,0.1595
Speciation_gene_pairs_same_direction,0.1601
Speciation_gene_pairs_same_direction,0.1179
Speciation_gene_pairs_same_direction,0.1343
Speciation_gene_pairs_same_direction,0.0906
Speciation_gene_pairs_same_direction,0.1789
Speciation_gene_pairs_same_direction,0.1936
Speciation_gene_pairs_same_direction,0.0608
Speciation_gene_pairs_same_direction,0.1633
Speciation_gene_pairs_same_direction,0.2223
Speciation_gene_pairs_same_direction,0.0937
Speciation_gene_pairs_same_direction,0.2629
Speciation_gene_pairs_same_direction,0.1726
Speciation_gene_pairs_same_direction,0.1871
Speciation_gene_pairs_same_direction,0.1643
Speciation_gene_pairs_same_direction,0.0494
Speciation_gene_pairs_same_direction,0.0617
Speciation_gene_pairs_same_direction,0.1645
Speciation_gene_pairs_same_direction,0.2327
Speciation_gene_pairs_same_direction,0.1927
Speciation_gene_pairs_same_direction,0.0626
Speciation_gene_pairs_same_direction,0.2903
Speciation_gene_pairs_same_direction,0.1597
Speciation_gene_pairs_same_direction,0.0723
