Type,omega
Speciation_gene_pairs_same_direction,0.0098
Speciation_gene_pairs_same_direction,0.2382
Speciation_gene_pairs_same_direction,0.0536
Speciation_gene_pairs_same_direction,0.1871
Speciation_gene_pairs_same_direction,0.2797
Speciation_gene_pairs_same_direction,0.2075
Speciation_gene_pairs_same_direction,0.1239
Speciation_gene_pairs_same_direction,0.5506
Speciation_gene_pairs_same_direction,0.3349
Speciation_gene_pairs_same_direction,0.1412
Speciation_gene_pairs_same_direction,0.1269
Speciation_gene_pairs_same_direction,0.0703
Speciation_gene_pairs_same_direction,0.1745
Speciation_gene_pairs_same_direction,0.1363
Speciation_gene_pairs_same_direction,-1.0
Speciation_gene_pairs_same_direction,0.1176
Speciation_gene_pairs_same_direction,0.1916
Speciation_gene_pairs_same_direction,0.2166
Speciation_gene_pairs_same_direction,0.2573
Speciation_gene_pairs_same_direction,0.1696
Speciation_gene_pairs_same_direction,0.1828
Speciation_gene_pairs_same_direction,0.2954
Speciation_gene_pairs_same_direction,0.0766
Speciation_gene_pairs_same_direction,0.2248
Speciation_gene_pairs_same_direction,0.3236
Speciation_gene_pairs_same_direction,0.1189
Speciation_gene_pairs_same_direction,0.1266
Speciation_gene_pairs_same_direction,0.1831
