Type,ka
Speciation_gene_pairs_same_direction,0.108961
Speciation_gene_pairs_same_direction,0.445465
Speciation_gene_pairs_same_direction,0.0496647
Speciation_gene_pairs_same_direction,0.289696
Speciation_gene_pairs_same_direction,0.0529747
Speciation_gene_pairs_same_direction,0.172716
Speciation_gene_pairs_same_direction,0.0993039
Speciation_gene_pairs_same_direction,0.0891398
Speciation_gene_pairs_same_direction,0.0607054
Speciation_gene_pairs_same_direction,0.680582
Speciation_gene_pairs_same_direction,0.185249
Speciation_gene_pairs_same_direction,0.120979
Speciation_gene_pairs_same_direction,0.114606
Speciation_gene_pairs_same_direction,0.160836
Speciation_gene_pairs_same_direction,0.237511
Speciation_gene_pairs_same_direction,0.488357
Speciation_gene_pairs_same_direction,0.105501
Speciation_gene_pairs_same_direction,0.102409
Speciation_gene_pairs_same_direction,0.137893
Speciation_gene_pairs_same_direction,0.0205919
Speciation_gene_pairs_same_direction,0.186109
Speciation_gene_pairs_same_direction,0.215899
Speciation_gene_pairs_same_direction,0.276808
Speciation_gene_pairs_same_direction,0.242792
Speciation_gene_pairs_same_direction,0.368265
Speciation_gene_pairs_same_direction,0.179228
Speciation_gene_pairs_same_direction,0.19551
Speciation_gene_pairs_same_direction,0.0520804
