Type,omega
Speciation_gene_pairs_same_direction,0.249632
Speciation_gene_pairs_same_direction,0.124947
Speciation_gene_pairs_same_direction,0.0890317
Speciation_gene_pairs_same_direction,0.144045
Speciation_gene_pairs_same_direction,0.00503447
Speciation_gene_pairs_same_direction,0.403342
Speciation_gene_pairs_same_direction,0.365634
Speciation_gene_pairs_same_direction,0.0441457
Speciation_gene_pairs_same_direction,0.250806
Speciation_gene_pairs_same_direction,0.237417
Speciation_gene_pairs_same_direction,0.0714644
Speciation_gene_pairs_same_direction,0.398372
Speciation_gene_pairs_same_direction,0.122162
Speciation_gene_pairs_same_direction,0.0517849
Speciation_gene_pairs_same_direction,0.206424
Speciation_gene_pairs_same_direction,0.145337
Speciation_gene_pairs_same_direction,0.161647
Speciation_gene_pairs_same_direction,0.0239691
Speciation_gene_pairs_same_direction,0.207436
Speciation_gene_pairs_same_direction,0.0962021
Speciation_gene_pairs_same_direction,0.341728
Speciation_gene_pairs_same_direction,0.0648831
Speciation_gene_pairs_same_direction,0.0477726
Speciation_gene_pairs_same_direction,0.107517
Speciation_gene_pairs_same_direction,0.119851
Speciation_gene_pairs_same_direction,0.0956235
Speciation_gene_pairs_same_direction,0.0775416
Speciation_gene_pairs_same_direction,0.0372916
