Type,ka
Speciation_gene_pairs_same_direction,0.2939
Speciation_gene_pairs_same_direction,0.1271
Speciation_gene_pairs_same_direction,0.2595
Speciation_gene_pairs_same_direction,0.3465
Speciation_gene_pairs_same_direction,0.1394
Speciation_gene_pairs_same_direction,0.1722
Speciation_gene_pairs_same_direction,0.1263
Speciation_gene_pairs_same_direction,0.4606
Speciation_gene_pairs_same_direction,0.2429
Speciation_gene_pairs_same_direction,0.0987
Speciation_gene_pairs_same_direction,0.1861
Speciation_gene_pairs_same_direction,0.2806
Speciation_gene_pairs_same_direction,0.0205
Speciation_gene_pairs_same_direction,0.323
Speciation_gene_pairs_same_direction,0.1182
Speciation_gene_pairs_same_direction,0.1028
Speciation_gene_pairs_same_direction,0.1745
Speciation_gene_pairs_same_direction,0.1007
Speciation_gene_pairs_same_direction,0.1439
Speciation_gene_pairs_same_direction,0.1231
Speciation_gene_pairs_same_direction,0.1151
Speciation_gene_pairs_same_direction,0.2012
Speciation_gene_pairs_same_direction,0.1639
Speciation_gene_pairs_same_direction,0.2411
Speciation_gene_pairs_same_direction,0.1016
Speciation_gene_pairs_same_direction,0.3243
Speciation_gene_pairs_same_direction,0.0854
Speciation_gene_pairs_same_direction,0.2535
