Type,ks
Speciation_gene_pairs_same_direction,1.9277
Speciation_gene_pairs_same_direction,0.755
Speciation_gene_pairs_same_direction,1.1939
Speciation_gene_pairs_same_direction,1.7199
Speciation_gene_pairs_same_direction,0.5999
Speciation_gene_pairs_same_direction,0.7444
Speciation_gene_pairs_same_direction,0.6282
Speciation_gene_pairs_same_direction,0.871
Speciation_gene_pairs_same_direction,1.1357
Speciation_gene_pairs_same_direction,0.6855
Speciation_gene_pairs_same_direction,0.7443
Speciation_gene_pairs_same_direction,1.0698
Speciation_gene_pairs_same_direction,0.7315
Speciation_gene_pairs_same_direction,0.6594
Speciation_gene_pairs_same_direction,2.9061
Speciation_gene_pairs_same_direction,0.602
Speciation_gene_pairs_same_direction,0.7689
Speciation_gene_pairs_same_direction,0.488
Speciation_gene_pairs_same_direction,2.0205
Speciation_gene_pairs_same_direction,1.987
Speciation_gene_pairs_same_direction,0.8262
Speciation_gene_pairs_same_direction,0.7618
Speciation_gene_pairs_same_direction,0.6738
Speciation_gene_pairs_same_direction,0.855
Speciation_gene_pairs_same_direction,0.5619
Speciation_gene_pairs_same_direction,0.6801
Speciation_gene_pairs_same_direction,2.8631
Speciation_gene_pairs_same_direction,0.5986
