Type,omega
Speciation_gene_pairs_same_direction,0.1414
Speciation_gene_pairs_same_direction,0.1267
Speciation_gene_pairs_same_direction,0.0225
Speciation_gene_pairs_same_direction,0.141
Speciation_gene_pairs_same_direction,0.0248
Speciation_gene_pairs_same_direction,0.0516
Speciation_gene_pairs_same_direction,0.1102
Speciation_gene_pairs_same_direction,0.2064
Speciation_gene_pairs_same_direction,0.0683
Speciation_gene_pairs_same_direction,0.153
Speciation_gene_pairs_same_direction,0.0508
Speciation_gene_pairs_same_direction,0.0209
Speciation_gene_pairs_same_direction,0.1433
Speciation_gene_pairs_same_direction,0.2211
Speciation_gene_pairs_same_direction,0.2647
Speciation_gene_pairs_same_direction,0.3335
Speciation_gene_pairs_same_direction,0.0598
Speciation_gene_pairs_same_direction,0.2477
Speciation_gene_pairs_same_direction,0.0371
Speciation_gene_pairs_same_direction,0.2108
Speciation_gene_pairs_same_direction,0.1647
Speciation_gene_pairs_same_direction,0.2173
Speciation_gene_pairs_same_direction,0.1707
Speciation_gene_pairs_same_direction,0.1612
Speciation_gene_pairs_same_direction,0.0605
Speciation_gene_pairs_same_direction,0.0795
Speciation_gene_pairs_same_direction,0.1699
Speciation_gene_pairs_same_direction,0.011
