Type,ka
Speciation_gene_pairs_same_direction,0.364627
Speciation_gene_pairs_same_direction,0.093143
Speciation_gene_pairs_same_direction,0.0994518
Speciation_gene_pairs_same_direction,0.073777
Speciation_gene_pairs_same_direction,0.107147
Speciation_gene_pairs_same_direction,0.148367
Speciation_gene_pairs_same_direction,0.1136
Speciation_gene_pairs_same_direction,0.190216
Speciation_gene_pairs_same_direction,0.113986
Speciation_gene_pairs_same_direction,0.112103
Speciation_gene_pairs_same_direction,0.00825105
Speciation_gene_pairs_same_direction,0.188897
Speciation_gene_pairs_same_direction,0.180841
Speciation_gene_pairs_same_direction,0.184002
Speciation_gene_pairs_same_direction,0.112984
Speciation_gene_pairs_same_direction,0.173811
Speciation_gene_pairs_same_direction,0.119566
Speciation_gene_pairs_same_direction,0.183893
Speciation_gene_pairs_same_direction,0.164588
Speciation_gene_pairs_same_direction,0.199488
Speciation_gene_pairs_same_direction,0.099963
Speciation_gene_pairs_same_direction,0.132016
Speciation_gene_pairs_same_direction,0.0651179
Speciation_gene_pairs_same_direction,0.16017
Speciation_gene_pairs_same_direction,0.0767605
Speciation_gene_pairs_same_direction,0.359981
Speciation_gene_pairs_same_direction,0.107791
Speciation_gene_pairs_same_direction,0.136825
