Type,ks
Speciation_gene_pairs_same_direction,0.636539
Speciation_gene_pairs_same_direction,1.05023
Speciation_gene_pairs_same_direction,0.721572
Speciation_gene_pairs_same_direction,0.632342
Speciation_gene_pairs_same_direction,0.926353
Speciation_gene_pairs_same_direction,0.721076
Speciation_gene_pairs_same_direction,0.828817
Speciation_gene_pairs_same_direction,0.970328
Speciation_gene_pairs_same_direction,0.663922
Speciation_gene_pairs_same_direction,0.840697
Speciation_gene_pairs_same_direction,2.34966
Speciation_gene_pairs_same_direction,1.13197
Speciation_gene_pairs_same_direction,1.02418
Speciation_gene_pairs_same_direction,0.92744
Speciation_gene_pairs_same_direction,0.791079
Speciation_gene_pairs_same_direction,0.810496
Speciation_gene_pairs_same_direction,2.44832
Speciation_gene_pairs_same_direction,0.697431
Speciation_gene_pairs_same_direction,0.678438
Speciation_gene_pairs_same_direction,0.769626
Speciation_gene_pairs_same_direction,1.74101
Speciation_gene_pairs_same_direction,1.18798
Speciation_gene_pairs_same_direction,1.99704
Speciation_gene_pairs_same_direction,1.06285
Speciation_gene_pairs_same_direction,1.03143
Speciation_gene_pairs_same_direction,0.475101
Speciation_gene_pairs_same_direction,0.97046
Speciation_gene_pairs_same_direction,0.827777
