Type,omega
Speciation_gene_pairs_same_direction,0.264939
Speciation_gene_pairs_same_direction,0.0278417
Speciation_gene_pairs_same_direction,0.119274
Speciation_gene_pairs_same_direction,0.247627
Speciation_gene_pairs_same_direction,0.029969
Speciation_gene_pairs_same_direction,0.116132
Speciation_gene_pairs_same_direction,0.292886
Speciation_gene_pairs_same_direction,0.447316
Speciation_gene_pairs_same_direction,0.028126
Speciation_gene_pairs_same_direction,0.117332
Speciation_gene_pairs_same_direction,0.116845
Speciation_gene_pairs_same_direction,0.423897
Speciation_gene_pairs_same_direction,0.209524
Speciation_gene_pairs_same_direction,0.109995
Speciation_gene_pairs_same_direction,0.165314
Speciation_gene_pairs_same_direction,0.00946779
Speciation_gene_pairs_same_direction,0.432229
Speciation_gene_pairs_same_direction,0.11838
Speciation_gene_pairs_same_direction,0.0531003
Speciation_gene_pairs_same_direction,0.400805
Speciation_gene_pairs_same_direction,0.169643
Speciation_gene_pairs_same_direction,0.531121
Speciation_gene_pairs_same_direction,0.166574
Speciation_gene_pairs_same_direction,0.0327631
Speciation_gene_pairs_same_direction,0.0819982
Speciation_gene_pairs_same_direction,0.0260039
Speciation_gene_pairs_same_direction,0.137567
Speciation_gene_pairs_same_direction,0.127937
