Type,ka
Speciation_gene_pairs_same_direction,0.1796
Speciation_gene_pairs_same_direction,0.0582
Speciation_gene_pairs_same_direction,0.0878
Speciation_gene_pairs_same_direction,0.1126
Speciation_gene_pairs_same_direction,0.2241
Speciation_gene_pairs_same_direction,0.0705
Speciation_gene_pairs_same_direction,0.1162
Speciation_gene_pairs_same_direction,0.2224
Speciation_gene_pairs_same_direction,0.1416
Speciation_gene_pairs_same_direction,0.1516
Speciation_gene_pairs_same_direction,0.2439
Speciation_gene_pairs_same_direction,0.2632
Speciation_gene_pairs_same_direction,0.1962
Speciation_gene_pairs_same_direction,0.1557
Speciation_gene_pairs_same_direction,0.3867
Speciation_gene_pairs_same_direction,0.1065
Speciation_gene_pairs_same_direction,0.1041
Speciation_gene_pairs_same_direction,0.1185
Speciation_gene_pairs_same_direction,0.232
Speciation_gene_pairs_same_direction,0.0672
Speciation_gene_pairs_same_direction,0.0793
Speciation_gene_pairs_same_direction,0.2343
Speciation_gene_pairs_same_direction,0.1814
Speciation_gene_pairs_same_direction,0.2529
Speciation_gene_pairs_same_direction,0.2171
Speciation_gene_pairs_same_direction,0.0769
Speciation_gene_pairs_same_direction,0.2284
Speciation_gene_pairs_same_direction,0.1786
