Type,ks
Speciation_gene_pairs_same_direction,0.7458
Speciation_gene_pairs_same_direction,0.7223
Speciation_gene_pairs_same_direction,1.0
Speciation_gene_pairs_same_direction,0.8636
Speciation_gene_pairs_same_direction,0.6984
Speciation_gene_pairs_same_direction,0.5699
Speciation_gene_pairs_same_direction,0.5828
Speciation_gene_pairs_same_direction,1.0836
Speciation_gene_pairs_same_direction,0.7262
Speciation_gene_pairs_same_direction,0.9124
Speciation_gene_pairs_same_direction,1.484
Speciation_gene_pairs_same_direction,0.3999
Speciation_gene_pairs_same_direction,0.8026
Speciation_gene_pairs_same_direction,0.6636
Speciation_gene_pairs_same_direction,0.7267
Speciation_gene_pairs_same_direction,0.5895
Speciation_gene_pairs_same_direction,0.9207
Speciation_gene_pairs_same_direction,0.8046
Speciation_gene_pairs_same_direction,0.6206
Speciation_gene_pairs_same_direction,0.8105
Speciation_gene_pairs_same_direction,0.6977
Speciation_gene_pairs_same_direction,0.7008
Speciation_gene_pairs_same_direction,0.6866
Speciation_gene_pairs_same_direction,0.4978
Speciation_gene_pairs_same_direction,0.6479
Speciation_gene_pairs_same_direction,0.6082
Speciation_gene_pairs_same_direction,0.6356
Speciation_gene_pairs_same_direction,0.3715
