Type,ka
Speciation_gene_pairs_same_direction,0.2107
Speciation_gene_pairs_same_direction,0.1321
Speciation_gene_pairs_same_direction,0.1323
Speciation_gene_pairs_same_direction,0.196
Speciation_gene_pairs_same_direction,0.2212
Speciation_gene_pairs_same_direction,0.0997
Speciation_gene_pairs_same_direction,0.1194
Speciation_gene_pairs_same_direction,0.0761
Speciation_gene_pairs_same_direction,0.1016
Speciation_gene_pairs_same_direction,0.0973
Speciation_gene_pairs_same_direction,0.1371
Speciation_gene_pairs_same_direction,0.1679
Speciation_gene_pairs_same_direction,0.1005
Speciation_gene_pairs_same_direction,0.2728
Speciation_gene_pairs_same_direction,0.0688
Speciation_gene_pairs_same_direction,0.1675
Speciation_gene_pairs_same_direction,0.2046
Speciation_gene_pairs_same_direction,0.1257
Speciation_gene_pairs_same_direction,0.2582
Speciation_gene_pairs_same_direction,0.1859
Speciation_gene_pairs_same_direction,0.1255
Speciation_gene_pairs_same_direction,0.1139
Speciation_gene_pairs_same_direction,0.236
Speciation_gene_pairs_same_direction,0.0546
Speciation_gene_pairs_same_direction,0.1635
Speciation_gene_pairs_same_direction,0.0287
Speciation_gene_pairs_same_direction,0.185
Speciation_gene_pairs_same_direction,0.105
