Type,ks
Speciation_gene_pairs_same_direction,0.5066
Speciation_gene_pairs_same_direction,0.7468
Speciation_gene_pairs_same_direction,0.819
Speciation_gene_pairs_same_direction,0.4577
Speciation_gene_pairs_same_direction,1.1047
Speciation_gene_pairs_same_direction,1.0546
Speciation_gene_pairs_same_direction,1.6288
Speciation_gene_pairs_same_direction,0.8357
Speciation_gene_pairs_same_direction,2.4858
Speciation_gene_pairs_same_direction,0.7013
Speciation_gene_pairs_same_direction,0.5894
Speciation_gene_pairs_same_direction,0.7615
Speciation_gene_pairs_same_direction,1.8467
Speciation_gene_pairs_same_direction,1.1221
Speciation_gene_pairs_same_direction,0.7045
Speciation_gene_pairs_same_direction,0.5293
Speciation_gene_pairs_same_direction,0.6557
Speciation_gene_pairs_same_direction,1.1237
Speciation_gene_pairs_same_direction,1.1454
Speciation_gene_pairs_same_direction,1.0163
Speciation_gene_pairs_same_direction,0.9351
Speciation_gene_pairs_same_direction,2.5107
Speciation_gene_pairs_same_direction,2.1768
Speciation_gene_pairs_same_direction,0.6912
Speciation_gene_pairs_same_direction,2.5278
Speciation_gene_pairs_same_direction,0.7142
Speciation_gene_pairs_same_direction,0.8458
Speciation_gene_pairs_same_direction,0.6487
