Type,ks
Speciation_gene_pairs_same_direction,0.783923
Speciation_gene_pairs_same_direction,2.01645
Speciation_gene_pairs_same_direction,0.724207
Speciation_gene_pairs_same_direction,0.736592
Speciation_gene_pairs_same_direction,0.710512
Speciation_gene_pairs_same_direction,1.95807
Speciation_gene_pairs_same_direction,1.1584
Speciation_gene_pairs_same_direction,0.74523
Speciation_gene_pairs_same_direction,0.754542
Speciation_gene_pairs_same_direction,1.92911
Speciation_gene_pairs_same_direction,2.08546
Speciation_gene_pairs_same_direction,0.616273
Speciation_gene_pairs_same_direction,0.814783
Speciation_gene_pairs_same_direction,0.641285
Speciation_gene_pairs_same_direction,0.618323
Speciation_gene_pairs_same_direction,2.68918
Speciation_gene_pairs_same_direction,0.495748
Speciation_gene_pairs_same_direction,0.825346
Speciation_gene_pairs_same_direction,1.6573
Speciation_gene_pairs_same_direction,1.27518
Speciation_gene_pairs_same_direction,0.986394
Speciation_gene_pairs_same_direction,0.755229
Speciation_gene_pairs_same_direction,1.3982
Speciation_gene_pairs_same_direction,0.804175
Speciation_gene_pairs_same_direction,0.594328
Speciation_gene_pairs_same_direction,0.436328
Speciation_gene_pairs_same_direction,0.618898
Speciation_gene_pairs_same_direction,0.8793
