Type,omega
Speciation_gene_pairs_same_direction,0.038557
Speciation_gene_pairs_same_direction,0.131083
Speciation_gene_pairs_same_direction,0.205253
Speciation_gene_pairs_same_direction,0.13665
Speciation_gene_pairs_same_direction,0.334001
Speciation_gene_pairs_same_direction,0.240493
Speciation_gene_pairs_same_direction,0.228529
Speciation_gene_pairs_same_direction,0.105307
Speciation_gene_pairs_same_direction,0.106348
Speciation_gene_pairs_same_direction,0.213597
Speciation_gene_pairs_same_direction,0.0288579
Speciation_gene_pairs_same_direction,0.0571067
Speciation_gene_pairs_same_direction,0.0728619
Speciation_gene_pairs_same_direction,0.129595
Speciation_gene_pairs_same_direction,0.124204
Speciation_gene_pairs_same_direction,0.110594
Speciation_gene_pairs_same_direction,0.094347
Speciation_gene_pairs_same_direction,0.0616354
Speciation_gene_pairs_same_direction,0.0917492
Speciation_gene_pairs_same_direction,0.0301341
Speciation_gene_pairs_same_direction,0.0660636
Speciation_gene_pairs_same_direction,0.0508506
Speciation_gene_pairs_same_direction,0.0275659
Speciation_gene_pairs_same_direction,0.152159
Speciation_gene_pairs_same_direction,0.0616354
Speciation_gene_pairs_same_direction,0.21846
Speciation_gene_pairs_same_direction,0.294046
Speciation_gene_pairs_same_direction,0.21537
