Type,ka
Speciation_gene_pairs_same_direction,0.1372
Speciation_gene_pairs_same_direction,0.2389
Speciation_gene_pairs_same_direction,0.2441
Speciation_gene_pairs_same_direction,0.077
Speciation_gene_pairs_same_direction,0.2205
Speciation_gene_pairs_same_direction,0.1815
Speciation_gene_pairs_same_direction,0.1463
Speciation_gene_pairs_same_direction,0.1895
Speciation_gene_pairs_same_direction,0.1745
Speciation_gene_pairs_same_direction,0.0758
Speciation_gene_pairs_same_direction,0.1207
Speciation_gene_pairs_same_direction,0.1498
Speciation_gene_pairs_same_direction,0.0602
Speciation_gene_pairs_same_direction,0.2417
Speciation_gene_pairs_same_direction,0.1072
Speciation_gene_pairs_same_direction,0.316
Speciation_gene_pairs_same_direction,0.2993
Speciation_gene_pairs_same_direction,0.1485
Speciation_gene_pairs_same_direction,0.0985
Speciation_gene_pairs_same_direction,0.1332
Speciation_gene_pairs_same_direction,0.1015
Speciation_gene_pairs_same_direction,0.16
Speciation_gene_pairs_same_direction,0.1633
Speciation_gene_pairs_same_direction,0.1375
Speciation_gene_pairs_same_direction,0.2192
Speciation_gene_pairs_same_direction,0.065
Speciation_gene_pairs_same_direction,0.0471
Speciation_gene_pairs_same_direction,0.2609
