Type,ks
Speciation_gene_pairs_same_direction,0.6408
Speciation_gene_pairs_same_direction,0.5939
Speciation_gene_pairs_same_direction,1.8879
Speciation_gene_pairs_same_direction,1.1256
Speciation_gene_pairs_same_direction,1.5515
Speciation_gene_pairs_same_direction,0.5613
Speciation_gene_pairs_same_direction,0.8191
Speciation_gene_pairs_same_direction,0.7048
Speciation_gene_pairs_same_direction,0.6347
Speciation_gene_pairs_same_direction,0.9067
Speciation_gene_pairs_same_direction,0.7475
Speciation_gene_pairs_same_direction,1.2422
Speciation_gene_pairs_same_direction,0.6775
Speciation_gene_pairs_same_direction,0.7146
Speciation_gene_pairs_same_direction,1.2458
Speciation_gene_pairs_same_direction,0.596
Speciation_gene_pairs_same_direction,0.6553
Speciation_gene_pairs_same_direction,0.764
Speciation_gene_pairs_same_direction,0.9143
Speciation_gene_pairs_same_direction,0.6105
Speciation_gene_pairs_same_direction,0.8448
Speciation_gene_pairs_same_direction,0.7172
Speciation_gene_pairs_same_direction,1.14
Speciation_gene_pairs_same_direction,0.8219
Speciation_gene_pairs_same_direction,0.9582
Speciation_gene_pairs_same_direction,0.7051
Speciation_gene_pairs_same_direction,0.6403
Speciation_gene_pairs_same_direction,0.6343
