Type,ka
Speciation_gene_pairs_same_direction,0.1416
Speciation_gene_pairs_same_direction,0.1114
Speciation_gene_pairs_same_direction,0.1312
Speciation_gene_pairs_same_direction,0.1973
Speciation_gene_pairs_same_direction,0.1118
Speciation_gene_pairs_same_direction,0.1922
Speciation_gene_pairs_same_direction,0.2733
Speciation_gene_pairs_same_direction,0.0586
Speciation_gene_pairs_same_direction,0.0991
Speciation_gene_pairs_same_direction,0.1729
Speciation_gene_pairs_same_direction,0.0631
Speciation_gene_pairs_same_direction,0.2466
Speciation_gene_pairs_same_direction,0.2571
Speciation_gene_pairs_same_direction,0.1245
Speciation_gene_pairs_same_direction,0.2524
Speciation_gene_pairs_same_direction,0.1413
Speciation_gene_pairs_same_direction,0.0917
Speciation_gene_pairs_same_direction,0.0818
Speciation_gene_pairs_same_direction,0.2056
Speciation_gene_pairs_same_direction,0.1766
Speciation_gene_pairs_same_direction,0.255
Speciation_gene_pairs_same_direction,0.1438
Speciation_gene_pairs_same_direction,0.1928
Speciation_gene_pairs_same_direction,0.3293
Speciation_gene_pairs_same_direction,0.1256
Speciation_gene_pairs_same_direction,0.1281
Speciation_gene_pairs_same_direction,0.0561
Speciation_gene_pairs_same_direction,0.2595
