Type,ks
Speciation_gene_pairs_same_direction,0.9817
Speciation_gene_pairs_same_direction,1.7281
Speciation_gene_pairs_same_direction,1.0058
Speciation_gene_pairs_same_direction,2.4016
Speciation_gene_pairs_same_direction,0.6727
Speciation_gene_pairs_same_direction,0.6915
Speciation_gene_pairs_same_direction,1.9978
Speciation_gene_pairs_same_direction,1.4204
Speciation_gene_pairs_same_direction,0.8299
Speciation_gene_pairs_same_direction,0.6367
Speciation_gene_pairs_same_direction,0.5227
Speciation_gene_pairs_same_direction,0.6328
Speciation_gene_pairs_same_direction,0.5661
Speciation_gene_pairs_same_direction,0.712
Speciation_gene_pairs_same_direction,0.65
Speciation_gene_pairs_same_direction,1.6852
Speciation_gene_pairs_same_direction,0.6733
Speciation_gene_pairs_same_direction,0.7137
Speciation_gene_pairs_same_direction,0.9188
Speciation_gene_pairs_same_direction,2.2023
Speciation_gene_pairs_same_direction,0.6984
Speciation_gene_pairs_same_direction,1.7741
Speciation_gene_pairs_same_direction,2.302
Speciation_gene_pairs_same_direction,1.2575
Speciation_gene_pairs_same_direction,0.7192
Speciation_gene_pairs_same_direction,1.0205
Speciation_gene_pairs_same_direction,0.5483
Speciation_gene_pairs_same_direction,0.9013
