Type,omega
Speciation_gene_pairs_same_direction,0.1647
Speciation_gene_pairs_same_direction,0.1673
Speciation_gene_pairs_same_direction,0.1094
Speciation_gene_pairs_same_direction,0.191
Speciation_gene_pairs_same_direction,0.1928
Speciation_gene_pairs_same_direction,0.1862
Speciation_gene_pairs_same_direction,0.1072
Speciation_gene_pairs_same_direction,0.0428
Speciation_gene_pairs_same_direction,0.1311
Speciation_gene_pairs_same_direction,0.2194
Speciation_gene_pairs_same_direction,0.0484
Speciation_gene_pairs_same_direction,0.2686
Speciation_gene_pairs_same_direction,0.3476
Speciation_gene_pairs_same_direction,0.0489
Speciation_gene_pairs_same_direction,0.179
Speciation_gene_pairs_same_direction,0.1269
Speciation_gene_pairs_same_direction,0.1829
Speciation_gene_pairs_same_direction,0.4293
Speciation_gene_pairs_same_direction,0.2429
Speciation_gene_pairs_same_direction,0.0445
Speciation_gene_pairs_same_direction,0.0497
Speciation_gene_pairs_same_direction,0.1317
Speciation_gene_pairs_same_direction,0.1844
Speciation_gene_pairs_same_direction,0.112
Speciation_gene_pairs_same_direction,0.0445
Speciation_gene_pairs_same_direction,0.2429
Speciation_gene_pairs_same_direction,0.0876
Speciation_gene_pairs_same_direction,0.0228
