Type,ka
Speciation_gene_pairs_same_direction,0.113687
Speciation_gene_pairs_same_direction,0.236756
Speciation_gene_pairs_same_direction,0.0906297
Speciation_gene_pairs_same_direction,0.165597
Speciation_gene_pairs_same_direction,0.131794
Speciation_gene_pairs_same_direction,0.145222
Speciation_gene_pairs_same_direction,0.215017
Speciation_gene_pairs_same_direction,0.147301
Speciation_gene_pairs_same_direction,0.0510306
Speciation_gene_pairs_same_direction,0.0640432
Speciation_gene_pairs_same_direction,0.101924
Speciation_gene_pairs_same_direction,0.249495
Speciation_gene_pairs_same_direction,0.104614
Speciation_gene_pairs_same_direction,0.388772
Speciation_gene_pairs_same_direction,0.201474
Speciation_gene_pairs_same_direction,0.185202
Speciation_gene_pairs_same_direction,0.0946142
Speciation_gene_pairs_same_direction,0.417557
Speciation_gene_pairs_same_direction,0.172537
Speciation_gene_pairs_same_direction,0.360346
Speciation_gene_pairs_same_direction,0.120332
Speciation_gene_pairs_same_direction,0.076561
Speciation_gene_pairs_same_direction,0.210218
Speciation_gene_pairs_same_direction,0.128822
Speciation_gene_pairs_same_direction,0.178849
Speciation_gene_pairs_same_direction,0.25655
Speciation_gene_pairs_same_direction,0.1699
Speciation_gene_pairs_same_direction,0.188001
