Type,ks
Speciation_gene_pairs_same_direction,1.81101
Speciation_gene_pairs_same_direction,1.07364
Speciation_gene_pairs_same_direction,1.17041
Speciation_gene_pairs_same_direction,2.71256
Speciation_gene_pairs_same_direction,0.750478
Speciation_gene_pairs_same_direction,0.744477
Speciation_gene_pairs_same_direction,0.706949
Speciation_gene_pairs_same_direction,0.599854
Speciation_gene_pairs_same_direction,0.881471
Speciation_gene_pairs_same_direction,0.594445
Speciation_gene_pairs_same_direction,0.417862
Speciation_gene_pairs_same_direction,1.59272
Speciation_gene_pairs_same_direction,0.965847
Speciation_gene_pairs_same_direction,1.81284
Speciation_gene_pairs_same_direction,0.849247
Speciation_gene_pairs_same_direction,0.614539
Speciation_gene_pairs_same_direction,0.725585
Speciation_gene_pairs_same_direction,1.35234
Speciation_gene_pairs_same_direction,2.06336
Speciation_gene_pairs_same_direction,2.07841
Speciation_gene_pairs_same_direction,1.09063
Speciation_gene_pairs_same_direction,1.17451
Speciation_gene_pairs_same_direction,0.734811
Speciation_gene_pairs_same_direction,2.3812
Speciation_gene_pairs_same_direction,1.99314
Speciation_gene_pairs_same_direction,1.43321
Speciation_gene_pairs_same_direction,0.757651
Speciation_gene_pairs_same_direction,1.15319
