Type,ks
Speciation_gene_pairs_same_direction,0.7583
Speciation_gene_pairs_same_direction,0.5802
Speciation_gene_pairs_same_direction,0.639
Speciation_gene_pairs_same_direction,0.5972
Speciation_gene_pairs_same_direction,0.6992
Speciation_gene_pairs_same_direction,0.3992
Speciation_gene_pairs_same_direction,0.8289
Speciation_gene_pairs_same_direction,0.862
Speciation_gene_pairs_same_direction,0.8308
Speciation_gene_pairs_same_direction,0.5348
Speciation_gene_pairs_same_direction,0.6073
Speciation_gene_pairs_same_direction,0.5484
Speciation_gene_pairs_same_direction,0.4033
Speciation_gene_pairs_same_direction,0.8146
Speciation_gene_pairs_same_direction,0.7251
Speciation_gene_pairs_same_direction,0.8832
Speciation_gene_pairs_same_direction,0.6708
Speciation_gene_pairs_same_direction,0.5733
Speciation_gene_pairs_same_direction,0.6277
Speciation_gene_pairs_same_direction,0.8172
Speciation_gene_pairs_same_direction,0.629
Speciation_gene_pairs_same_direction,1.5062
Speciation_gene_pairs_same_direction,0.886
Speciation_gene_pairs_same_direction,0.644
Speciation_gene_pairs_same_direction,0.6148
Speciation_gene_pairs_same_direction,0.7625
Speciation_gene_pairs_same_direction,0.6898
Speciation_gene_pairs_same_direction,0.8177
