Type,omega
Speciation_gene_pairs_same_direction,0.2353
Speciation_gene_pairs_same_direction,0.2118
Speciation_gene_pairs_same_direction,0.0906
Speciation_gene_pairs_same_direction,0.3585
Speciation_gene_pairs_same_direction,0.0763
Speciation_gene_pairs_same_direction,0.0154
Speciation_gene_pairs_same_direction,0.0082
Speciation_gene_pairs_same_direction,0.193
Speciation_gene_pairs_same_direction,0.2842
Speciation_gene_pairs_same_direction,0.174
Speciation_gene_pairs_same_direction,0.1912
Speciation_gene_pairs_same_direction,0.4352
Speciation_gene_pairs_same_direction,0.2251
Speciation_gene_pairs_same_direction,0.2463
Speciation_gene_pairs_same_direction,0.1075
Speciation_gene_pairs_same_direction,0.2288
Speciation_gene_pairs_same_direction,0.1683
Speciation_gene_pairs_same_direction,0.4804
Speciation_gene_pairs_same_direction,0.0866
Speciation_gene_pairs_same_direction,0.3904
Speciation_gene_pairs_same_direction,0.1469
Speciation_gene_pairs_same_direction,0.3759
Speciation_gene_pairs_same_direction,0.1875
Speciation_gene_pairs_same_direction,0.1592
Speciation_gene_pairs_same_direction,0.2324
Speciation_gene_pairs_same_direction,0.1933
Speciation_gene_pairs_same_direction,0.2333
Speciation_gene_pairs_same_direction,0.0815
