Type,ks
Speciation_gene_pairs_same_direction,0.7024
Speciation_gene_pairs_same_direction,0.6162
Speciation_gene_pairs_same_direction,1.2419
Speciation_gene_pairs_same_direction,0.4798
Speciation_gene_pairs_same_direction,0.7306
Speciation_gene_pairs_same_direction,0.7555
Speciation_gene_pairs_same_direction,0.6885
Speciation_gene_pairs_same_direction,0.4703
Speciation_gene_pairs_same_direction,0.5963
Speciation_gene_pairs_same_direction,1.3551
Speciation_gene_pairs_same_direction,1.0077
Speciation_gene_pairs_same_direction,0.588
Speciation_gene_pairs_same_direction,0.6759
Speciation_gene_pairs_same_direction,0.7318
Speciation_gene_pairs_same_direction,2.6791
Speciation_gene_pairs_same_direction,2.8959
Speciation_gene_pairs_same_direction,2.0084
Speciation_gene_pairs_same_direction,2.5517
Speciation_gene_pairs_same_direction,2.6734
Speciation_gene_pairs_same_direction,1.2478
Speciation_gene_pairs_same_direction,1.9702
Speciation_gene_pairs_same_direction,0.8235
Speciation_gene_pairs_same_direction,0.7147
Speciation_gene_pairs_same_direction,0.429
Speciation_gene_pairs_same_direction,0.4555
Speciation_gene_pairs_same_direction,0.6799
Speciation_gene_pairs_same_direction,0.7604
Speciation_gene_pairs_same_direction,2.3075
