Type,ka
Speciation_gene_pairs_same_direction,0.126684
Speciation_gene_pairs_same_direction,0.18103
Speciation_gene_pairs_same_direction,0.0914387
Speciation_gene_pairs_same_direction,0.120816
Speciation_gene_pairs_same_direction,0.15335
Speciation_gene_pairs_same_direction,0.247983
Speciation_gene_pairs_same_direction,0.18258
Speciation_gene_pairs_same_direction,0.204118
Speciation_gene_pairs_same_direction,0.154363
Speciation_gene_pairs_same_direction,0.258399
Speciation_gene_pairs_same_direction,0.357418
Speciation_gene_pairs_same_direction,0.326342
Speciation_gene_pairs_same_direction,0.266574
Speciation_gene_pairs_same_direction,0.116017
Speciation_gene_pairs_same_direction,0.224601
Speciation_gene_pairs_same_direction,0.162447
Speciation_gene_pairs_same_direction,0.3592
Speciation_gene_pairs_same_direction,0.10738
Speciation_gene_pairs_same_direction,0.147552
Speciation_gene_pairs_same_direction,0.0954857
Speciation_gene_pairs_same_direction,0.0632133
Speciation_gene_pairs_same_direction,0.182672
Speciation_gene_pairs_same_direction,0.0660837
Speciation_gene_pairs_same_direction,0.225188
Speciation_gene_pairs_same_direction,0.206606
Speciation_gene_pairs_same_direction,0.167024
Speciation_gene_pairs_same_direction,0.0934273
Speciation_gene_pairs_same_direction,0.338249
