Type,ks
Speciation_gene_pairs_same_direction,1.05453
Speciation_gene_pairs_same_direction,0.965661
Speciation_gene_pairs_same_direction,0.706613
Speciation_gene_pairs_same_direction,0.914927
Speciation_gene_pairs_same_direction,0.989739
Speciation_gene_pairs_same_direction,2.01091
Speciation_gene_pairs_same_direction,2.14272
Speciation_gene_pairs_same_direction,0.988131
Speciation_gene_pairs_same_direction,0.943939
Speciation_gene_pairs_same_direction,0.525879
Speciation_gene_pairs_same_direction,1.20122
Speciation_gene_pairs_same_direction,0.746408
Speciation_gene_pairs_same_direction,1.43632
Speciation_gene_pairs_same_direction,1.31171
Speciation_gene_pairs_same_direction,1.61222
Speciation_gene_pairs_same_direction,2.58169
Speciation_gene_pairs_same_direction,0.804087
Speciation_gene_pairs_same_direction,1.09722
Speciation_gene_pairs_same_direction,0.720041
Speciation_gene_pairs_same_direction,1.41999
Speciation_gene_pairs_same_direction,0.892973
Speciation_gene_pairs_same_direction,0.50081
Speciation_gene_pairs_same_direction,1.43507
Speciation_gene_pairs_same_direction,2.55588
Speciation_gene_pairs_same_direction,0.841728
Speciation_gene_pairs_same_direction,0.854916
Speciation_gene_pairs_same_direction,1.43401
Speciation_gene_pairs_same_direction,0.693099
