Type,omega
Speciation_gene_pairs_same_direction,0.171357
Speciation_gene_pairs_same_direction,0.447526
Speciation_gene_pairs_same_direction,0.0757954
Speciation_gene_pairs_same_direction,0.0660477
Speciation_gene_pairs_same_direction,0.161155
Speciation_gene_pairs_same_direction,0.102687
Speciation_gene_pairs_same_direction,0.0435015
Speciation_gene_pairs_same_direction,0.323501
Speciation_gene_pairs_same_direction,0.0563036
Speciation_gene_pairs_same_direction,0.122403
Speciation_gene_pairs_same_direction,0.190011
Speciation_gene_pairs_same_direction,0.105344
Speciation_gene_pairs_same_direction,0.138022
Speciation_gene_pairs_same_direction,0.309445
Speciation_gene_pairs_same_direction,0.16029
Speciation_gene_pairs_same_direction,0.144305
Speciation_gene_pairs_same_direction,0.124163
Speciation_gene_pairs_same_direction,0.314552
Speciation_gene_pairs_same_direction,0.0760904
Speciation_gene_pairs_same_direction,0.218968
Speciation_gene_pairs_same_direction,0.0519208
Speciation_gene_pairs_same_direction,0.0851692
Speciation_gene_pairs_same_direction,0.0553852
Speciation_gene_pairs_same_direction,0.0362931
Speciation_gene_pairs_same_direction,0.29526
Speciation_gene_pairs_same_direction,0.0362931
Speciation_gene_pairs_same_direction,0.206023
Speciation_gene_pairs_same_direction,0.241816
