Type,ks
Speciation_gene_pairs_same_direction,0.868
Speciation_gene_pairs_same_direction,0.7211
Speciation_gene_pairs_same_direction,0.637
Speciation_gene_pairs_same_direction,0.5711
Speciation_gene_pairs_same_direction,0.7843
Speciation_gene_pairs_same_direction,0.9495
Speciation_gene_pairs_same_direction,1.4409
Speciation_gene_pairs_same_direction,0.9448
Speciation_gene_pairs_same_direction,0.4625
Speciation_gene_pairs_same_direction,0.6256
Speciation_gene_pairs_same_direction,0.7529
Speciation_gene_pairs_same_direction,0.6339
Speciation_gene_pairs_same_direction,0.5627
Speciation_gene_pairs_same_direction,0.7208
Speciation_gene_pairs_same_direction,0.5601
Speciation_gene_pairs_same_direction,0.6737
Speciation_gene_pairs_same_direction,0.6662
Speciation_gene_pairs_same_direction,0.7577
Speciation_gene_pairs_same_direction,1.2452
Speciation_gene_pairs_same_direction,1.4913
Speciation_gene_pairs_same_direction,0.7043
Speciation_gene_pairs_same_direction,0.8486
Speciation_gene_pairs_same_direction,0.6365
Speciation_gene_pairs_same_direction,1.2715
Speciation_gene_pairs_same_direction,0.3117
Speciation_gene_pairs_same_direction,0.989
Speciation_gene_pairs_same_direction,0.9112
Speciation_gene_pairs_same_direction,0.9694
