Type,ka
Speciation_gene_pairs_same_direction,0.2276
Speciation_gene_pairs_same_direction,0.2142
Speciation_gene_pairs_same_direction,0.1277
Speciation_gene_pairs_same_direction,0.1287
Speciation_gene_pairs_same_direction,0.4149
Speciation_gene_pairs_same_direction,0.0879
Speciation_gene_pairs_same_direction,0.0252
Speciation_gene_pairs_same_direction,0.2423
Speciation_gene_pairs_same_direction,0.4231
Speciation_gene_pairs_same_direction,0.1529
Speciation_gene_pairs_same_direction,0.1164
Speciation_gene_pairs_same_direction,0.25
Speciation_gene_pairs_same_direction,0.3885
Speciation_gene_pairs_same_direction,0.1317
Speciation_gene_pairs_same_direction,0.1828
Speciation_gene_pairs_same_direction,0.1126
Speciation_gene_pairs_same_direction,0.1118
Speciation_gene_pairs_same_direction,0.267
Speciation_gene_pairs_same_direction,0.0737
Speciation_gene_pairs_same_direction,0.1849
Speciation_gene_pairs_same_direction,0.1257
Speciation_gene_pairs_same_direction,0.1273
Speciation_gene_pairs_same_direction,0.3412
Speciation_gene_pairs_same_direction,0.1159
Speciation_gene_pairs_same_direction,0.1801
Speciation_gene_pairs_same_direction,0.1485
Speciation_gene_pairs_same_direction,0.1583
Speciation_gene_pairs_same_direction,0.1398
