Type,ks
Speciation_gene_pairs_same_direction,0.7858
Speciation_gene_pairs_same_direction,0.5931
Speciation_gene_pairs_same_direction,1.8409
Speciation_gene_pairs_same_direction,0.901
Speciation_gene_pairs_same_direction,2.5272
Speciation_gene_pairs_same_direction,0.7674
Speciation_gene_pairs_same_direction,0.9258
Speciation_gene_pairs_same_direction,0.7771
Speciation_gene_pairs_same_direction,1.7318
Speciation_gene_pairs_same_direction,0.7186
Speciation_gene_pairs_same_direction,0.5935
Speciation_gene_pairs_same_direction,1.0052
Speciation_gene_pairs_same_direction,0.7036
Speciation_gene_pairs_same_direction,0.7402
Speciation_gene_pairs_same_direction,0.6413
Speciation_gene_pairs_same_direction,0.5731
Speciation_gene_pairs_same_direction,0.9492
Speciation_gene_pairs_same_direction,0.799
Speciation_gene_pairs_same_direction,0.8127
Speciation_gene_pairs_same_direction,0.516
Speciation_gene_pairs_same_direction,1.0229
Speciation_gene_pairs_same_direction,0.5708
Speciation_gene_pairs_same_direction,0.6906
Speciation_gene_pairs_same_direction,1.6079
Speciation_gene_pairs_same_direction,1.0366
Speciation_gene_pairs_same_direction,1.843
Speciation_gene_pairs_same_direction,0.8935
Speciation_gene_pairs_same_direction,0.6547
