Type,omega
Speciation_gene_pairs_same_direction,0.0471
Speciation_gene_pairs_same_direction,0.0997
Speciation_gene_pairs_same_direction,0.1209
Speciation_gene_pairs_same_direction,0.0889
Speciation_gene_pairs_same_direction,0.3483
Speciation_gene_pairs_same_direction,0.2042
Speciation_gene_pairs_same_direction,0.1596
Speciation_gene_pairs_same_direction,0.1101
Speciation_gene_pairs_same_direction,0.0555
Speciation_gene_pairs_same_direction,0.0715
Speciation_gene_pairs_same_direction,0.0646
Speciation_gene_pairs_same_direction,0.0704
Speciation_gene_pairs_same_direction,0.1267
Speciation_gene_pairs_same_direction,0.048
Speciation_gene_pairs_same_direction,0.2875
Speciation_gene_pairs_same_direction,0.08
Speciation_gene_pairs_same_direction,0.1539
Speciation_gene_pairs_same_direction,0.2899
Speciation_gene_pairs_same_direction,0.1886
Speciation_gene_pairs_same_direction,0.2117
Speciation_gene_pairs_same_direction,0.0677
Speciation_gene_pairs_same_direction,0.3273
Speciation_gene_pairs_same_direction,0.2038
Speciation_gene_pairs_same_direction,0.2589
Speciation_gene_pairs_same_direction,0.0777
Speciation_gene_pairs_same_direction,0.1415
Speciation_gene_pairs_same_direction,0.3048
Speciation_gene_pairs_same_direction,0.1429
