Type,ka
Speciation_gene_pairs_same_direction,0.126842
Speciation_gene_pairs_same_direction,0.105347
Speciation_gene_pairs_same_direction,0.194895
Speciation_gene_pairs_same_direction,0.151864
Speciation_gene_pairs_same_direction,0.0423393
Speciation_gene_pairs_same_direction,0.0844625
Speciation_gene_pairs_same_direction,0.265366
Speciation_gene_pairs_same_direction,0.0980808
Speciation_gene_pairs_same_direction,0.108787
Speciation_gene_pairs_same_direction,0.189841
Speciation_gene_pairs_same_direction,0.134921
Speciation_gene_pairs_same_direction,0.305583
Speciation_gene_pairs_same_direction,0.1452
Speciation_gene_pairs_same_direction,0.116913
Speciation_gene_pairs_same_direction,0.147323
Speciation_gene_pairs_same_direction,0.174943
Speciation_gene_pairs_same_direction,0.0824543
Speciation_gene_pairs_same_direction,0.172444
Speciation_gene_pairs_same_direction,0.184194
Speciation_gene_pairs_same_direction,0.23358
Speciation_gene_pairs_same_direction,0.508705
Speciation_gene_pairs_same_direction,0.13405
Speciation_gene_pairs_same_direction,0.083533
Speciation_gene_pairs_same_direction,0.0908275
Speciation_gene_pairs_same_direction,0.106668
Speciation_gene_pairs_same_direction,0.266908
Speciation_gene_pairs_same_direction,0.146003
Speciation_gene_pairs_same_direction,0.196858
