Type,ks
Speciation_gene_pairs_same_direction,1.3755
Speciation_gene_pairs_same_direction,0.559252
Speciation_gene_pairs_same_direction,0.747226
Speciation_gene_pairs_same_direction,2.29444
Speciation_gene_pairs_same_direction,0.848059
Speciation_gene_pairs_same_direction,0.795607
Speciation_gene_pairs_same_direction,1.52797
Speciation_gene_pairs_same_direction,0.748294
Speciation_gene_pairs_same_direction,1.20105
Speciation_gene_pairs_same_direction,0.645357
Speciation_gene_pairs_same_direction,0.945159
Speciation_gene_pairs_same_direction,2.15034
Speciation_gene_pairs_same_direction,2.04551
Speciation_gene_pairs_same_direction,2.40756
Speciation_gene_pairs_same_direction,0.806155
Speciation_gene_pairs_same_direction,2.15698
Speciation_gene_pairs_same_direction,1.13234
Speciation_gene_pairs_same_direction,1.62019
Speciation_gene_pairs_same_direction,0.871682
Speciation_gene_pairs_same_direction,1.14744
Speciation_gene_pairs_same_direction,1.07285
Speciation_gene_pairs_same_direction,1.46365
Speciation_gene_pairs_same_direction,1.50272
Speciation_gene_pairs_same_direction,1.62059
Speciation_gene_pairs_same_direction,2.85292
Speciation_gene_pairs_same_direction,1.30027
Speciation_gene_pairs_same_direction,0.887741
Speciation_gene_pairs_same_direction,0.787319
