Type,ka
Speciation_gene_pairs_same_direction,0.1422
Speciation_gene_pairs_same_direction,0.1213
Speciation_gene_pairs_same_direction,0.304
Speciation_gene_pairs_same_direction,0.1751
Speciation_gene_pairs_same_direction,0.031
Speciation_gene_pairs_same_direction,0.1664
Speciation_gene_pairs_same_direction,0.3176
Speciation_gene_pairs_same_direction,0.1188
Speciation_gene_pairs_same_direction,0.1414
Speciation_gene_pairs_same_direction,0.1682
Speciation_gene_pairs_same_direction,0.0702
Speciation_gene_pairs_same_direction,0.0274
Speciation_gene_pairs_same_direction,0.0926
Speciation_gene_pairs_same_direction,0.1223
Speciation_gene_pairs_same_direction,0.1441
Speciation_gene_pairs_same_direction,0.1942
Speciation_gene_pairs_same_direction,0.1642
Speciation_gene_pairs_same_direction,0.1868
Speciation_gene_pairs_same_direction,0.28
Speciation_gene_pairs_same_direction,0.3102
Speciation_gene_pairs_same_direction,0.1188
Speciation_gene_pairs_same_direction,0.1871
Speciation_gene_pairs_same_direction,0.2392
Speciation_gene_pairs_same_direction,0.0851
Speciation_gene_pairs_same_direction,0.1136
Speciation_gene_pairs_same_direction,0.1734
Speciation_gene_pairs_same_direction,0.1967
Speciation_gene_pairs_same_direction,0.2518
