Type,ka
Speciation_gene_pairs_same_direction,0.1992
Speciation_gene_pairs_same_direction,0.2771
Speciation_gene_pairs_same_direction,0.0871
Speciation_gene_pairs_same_direction,0.2453
Speciation_gene_pairs_same_direction,0.0174
Speciation_gene_pairs_same_direction,0.1871
Speciation_gene_pairs_same_direction,0.156
Speciation_gene_pairs_same_direction,0.0313
Speciation_gene_pairs_same_direction,0.0689
Speciation_gene_pairs_same_direction,0.3466
Speciation_gene_pairs_same_direction,0.3561
Speciation_gene_pairs_same_direction,0.1749
Speciation_gene_pairs_same_direction,0.2571
Speciation_gene_pairs_same_direction,0.1561
Speciation_gene_pairs_same_direction,0.0207
Speciation_gene_pairs_same_direction,0.403
Speciation_gene_pairs_same_direction,0.1554
Speciation_gene_pairs_same_direction,0.165
Speciation_gene_pairs_same_direction,0.2363
Speciation_gene_pairs_same_direction,0.2219
Speciation_gene_pairs_same_direction,0.1897
Speciation_gene_pairs_same_direction,0.0934
Speciation_gene_pairs_same_direction,0.1389
Speciation_gene_pairs_same_direction,0.1672
Speciation_gene_pairs_same_direction,0.1632
Speciation_gene_pairs_same_direction,0.2878
Speciation_gene_pairs_same_direction,0.2473
Speciation_gene_pairs_same_direction,0.1671
