Type,ks
Speciation_gene_pairs_same_direction,0.8467
Speciation_gene_pairs_same_direction,1.8546
Speciation_gene_pairs_same_direction,0.8807
Speciation_gene_pairs_same_direction,0.7306
Speciation_gene_pairs_same_direction,0.7464
Speciation_gene_pairs_same_direction,0.9281
Speciation_gene_pairs_same_direction,1.7896
Speciation_gene_pairs_same_direction,0.6335
Speciation_gene_pairs_same_direction,0.5093
Speciation_gene_pairs_same_direction,0.8048
Speciation_gene_pairs_same_direction,0.4244
Speciation_gene_pairs_same_direction,2.2589
Speciation_gene_pairs_same_direction,1.2337
Speciation_gene_pairs_same_direction,0.7939
Speciation_gene_pairs_same_direction,1.0542
Speciation_gene_pairs_same_direction,2.6726
Speciation_gene_pairs_same_direction,0.8794
Speciation_gene_pairs_same_direction,0.6059
Speciation_gene_pairs_same_direction,0.7115
Speciation_gene_pairs_same_direction,0.9008
Speciation_gene_pairs_same_direction,1.6098
Speciation_gene_pairs_same_direction,0.9651
Speciation_gene_pairs_same_direction,1.4106
Speciation_gene_pairs_same_direction,0.8176
Speciation_gene_pairs_same_direction,1.3484
Speciation_gene_pairs_same_direction,0.8336
Speciation_gene_pairs_same_direction,0.9565
Speciation_gene_pairs_same_direction,1.782
