Type,omega
Speciation_gene_pairs_same_direction,0.4411
Speciation_gene_pairs_same_direction,0.1514
Speciation_gene_pairs_same_direction,0.0564
Speciation_gene_pairs_same_direction,0.0909
Speciation_gene_pairs_same_direction,0.3502
Speciation_gene_pairs_same_direction,0.0831
Speciation_gene_pairs_same_direction,0.3101
Speciation_gene_pairs_same_direction,0.0015
Speciation_gene_pairs_same_direction,0.2854
Speciation_gene_pairs_same_direction,0.2111
Speciation_gene_pairs_same_direction,0.0906
Speciation_gene_pairs_same_direction,0.1975
Speciation_gene_pairs_same_direction,0.4035
Speciation_gene_pairs_same_direction,0.2962
Speciation_gene_pairs_same_direction,0.0652
Speciation_gene_pairs_same_direction,0.0165
Speciation_gene_pairs_same_direction,0.1221
Speciation_gene_pairs_same_direction,0.2497
Speciation_gene_pairs_same_direction,0.3314
Speciation_gene_pairs_same_direction,0.1445
Speciation_gene_pairs_same_direction,0.1408
Speciation_gene_pairs_same_direction,0.0981
Speciation_gene_pairs_same_direction,0.2239
Speciation_gene_pairs_same_direction,0.0974
Speciation_gene_pairs_same_direction,0.1818
Speciation_gene_pairs_same_direction,0.1292
Speciation_gene_pairs_same_direction,0.066
Speciation_gene_pairs_same_direction,0.0128
