Type,ks
Speciation_gene_pairs_same_direction,0.753651
Speciation_gene_pairs_same_direction,1.23683
Speciation_gene_pairs_same_direction,1.63317
Speciation_gene_pairs_same_direction,0.758012
Speciation_gene_pairs_same_direction,0.457292
Speciation_gene_pairs_same_direction,1.93485
Speciation_gene_pairs_same_direction,0.864689
Speciation_gene_pairs_same_direction,0.592808
Speciation_gene_pairs_same_direction,0.799149
Speciation_gene_pairs_same_direction,1.54826
Speciation_gene_pairs_same_direction,0.710038
Speciation_gene_pairs_same_direction,0.622049
Speciation_gene_pairs_same_direction,0.759269
Speciation_gene_pairs_same_direction,0.72183
Speciation_gene_pairs_same_direction,1.62689
Speciation_gene_pairs_same_direction,0.660448
Speciation_gene_pairs_same_direction,0.429392
Speciation_gene_pairs_same_direction,0.868037
Speciation_gene_pairs_same_direction,1.39854
Speciation_gene_pairs_same_direction,2.25578
Speciation_gene_pairs_same_direction,2.46193
Speciation_gene_pairs_same_direction,0.761465
Speciation_gene_pairs_same_direction,0.66202
Speciation_gene_pairs_same_direction,1.0439
Speciation_gene_pairs_same_direction,0.741283
Speciation_gene_pairs_same_direction,0.722094
Speciation_gene_pairs_same_direction,1.3379
Speciation_gene_pairs_same_direction,0.831621
