Type,omega
Speciation_gene_pairs_same_direction,0.11716
Speciation_gene_pairs_same_direction,0.0748579
Speciation_gene_pairs_same_direction,0.0710973
Speciation_gene_pairs_same_direction,0.0819548
Speciation_gene_pairs_same_direction,0.0217164
Speciation_gene_pairs_same_direction,0.0526006
Speciation_gene_pairs_same_direction,0.0898416
Speciation_gene_pairs_same_direction,0.127117
Speciation_gene_pairs_same_direction,0.0308896
Speciation_gene_pairs_same_direction,0.114436
Speciation_gene_pairs_same_direction,0.049021
Speciation_gene_pairs_same_direction,0.149854
Speciation_gene_pairs_same_direction,0.273962
Speciation_gene_pairs_same_direction,0.0666813
Speciation_gene_pairs_same_direction,0.124757
Speciation_gene_pairs_same_direction,0.1338
Speciation_gene_pairs_same_direction,0.216033
Speciation_gene_pairs_same_direction,0.115808
Speciation_gene_pairs_same_direction,0.263222
Speciation_gene_pairs_same_direction,0.0550214
Speciation_gene_pairs_same_direction,0.0753527
Speciation_gene_pairs_same_direction,0.311312
Speciation_gene_pairs_same_direction,0.0550214
Speciation_gene_pairs_same_direction,0.0571395
Speciation_gene_pairs_same_direction,0.0860562
Speciation_gene_pairs_same_direction,0.0734943
Speciation_gene_pairs_same_direction,0.0884923
Speciation_gene_pairs_same_direction,0.138469
