Type,ka
Speciation_gene_pairs_same_direction,0.0598
Speciation_gene_pairs_same_direction,0.2581
Speciation_gene_pairs_same_direction,0.0887
Speciation_gene_pairs_same_direction,0.1289
Speciation_gene_pairs_same_direction,0.0747
Speciation_gene_pairs_same_direction,0.111
Speciation_gene_pairs_same_direction,0.0736
Speciation_gene_pairs_same_direction,0.1529
Speciation_gene_pairs_same_direction,0.0755
Speciation_gene_pairs_same_direction,0.2743
Speciation_gene_pairs_same_direction,0.2653
Speciation_gene_pairs_same_direction,0.0875
Speciation_gene_pairs_same_direction,0.2239
Speciation_gene_pairs_same_direction,0.1553
Speciation_gene_pairs_same_direction,0.1168
Speciation_gene_pairs_same_direction,0.1919
Speciation_gene_pairs_same_direction,0.0981
Speciation_gene_pairs_same_direction,0.086
Speciation_gene_pairs_same_direction,0.1691
Speciation_gene_pairs_same_direction,0.1502
Speciation_gene_pairs_same_direction,0.055
Speciation_gene_pairs_same_direction,0.1709
Speciation_gene_pairs_same_direction,0.1025
Speciation_gene_pairs_same_direction,0.0216
Speciation_gene_pairs_same_direction,0.4306
Speciation_gene_pairs_same_direction,0.1693
Speciation_gene_pairs_same_direction,0.1194
Speciation_gene_pairs_same_direction,0.0721
