Type,omega
Speciation_gene_pairs_same_direction,0.1728
Speciation_gene_pairs_same_direction,0.3494
Speciation_gene_pairs_same_direction,0.2223
Speciation_gene_pairs_same_direction,0.1061
Speciation_gene_pairs_same_direction,0.2796
Speciation_gene_pairs_same_direction,0.3425
Speciation_gene_pairs_same_direction,0.3013
Speciation_gene_pairs_same_direction,0.1044
Speciation_gene_pairs_same_direction,0.3761
Speciation_gene_pairs_same_direction,0.1858
Speciation_gene_pairs_same_direction,0.0622
Speciation_gene_pairs_same_direction,0.0797
Speciation_gene_pairs_same_direction,0.2212
Speciation_gene_pairs_same_direction,0.2731
Speciation_gene_pairs_same_direction,0.1521
Speciation_gene_pairs_same_direction,0.2122
Speciation_gene_pairs_same_direction,0.147
Speciation_gene_pairs_same_direction,0.2872
Speciation_gene_pairs_same_direction,0.2093
Speciation_gene_pairs_same_direction,0.0929
Speciation_gene_pairs_same_direction,0.1149
Speciation_gene_pairs_same_direction,0.1409
Speciation_gene_pairs_same_direction,0.1831
Speciation_gene_pairs_same_direction,0.0791
Speciation_gene_pairs_same_direction,0.2878
Speciation_gene_pairs_same_direction,0.3154
Speciation_gene_pairs_same_direction,0.2412
Speciation_gene_pairs_same_direction,0.091
