Species_1,Species_2,q_value,r_value,get_all_collinear_pairs
C.asiatica,N.incisum,1,1,0
C.asiatica,A.elata,1,1,0
N.incisum,A.elata,1,2,0
C.asiatica,P.notoginseng,1,1,0
N.incisum,P.notoginseng,1,2,0
C.asiatica,E.senticosus,2,1,0
N.incisum,E.senticosus,1,1,0
C.asiatica,E.breviscapus,1,1,0
N.incisum,E.breviscapus,1,1,0
C.asiatica,D.carota,2,1,0
D.carota,A.elata,1,2,0
D.carota,P.notoginseng,1,2,0
D.carota,E.senticosus,2,2,0
D.carota,E.breviscapus,1,1,0
A.elata,E.breviscapus,1,1,0
C.asiatica,V.vinifera,1,2,0
A.elata,V.vinifera,1,2,0
P.notoginseng,E.breviscapus,1,1,0
P.notoginseng,V.vinifera,1,2,0
E.senticosus,E.breviscapus,1,1,0
E.senticosus,V.vinifera,1,4,0
E.breviscapus,V.vinifera,1,1,0
