ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
GO:0005576	extracellular region	102/4525	189/30537	0.53968253968254	3.64205209155485	15.1962256224448	3.32109324000698e-36	2.79968160132588e-33	2.45760899760516e-33	OkoG027798/OkoG027799/OkoG027800/OkoG000083/OkoG000094/OkoG000104/OkoG000116/OkoG033277/OkoG033278/OkoG033279/OkoG033280/OkoG033281/OkoG046414/OkoG046416/OkoG046418/OkoG004089/OkoG005632/OkoG005630/OkoG050265/OkoG050263/OkoG053510/OkoG053509/OkoG051785/OkoG051786/OkoG023135/OkoG023137/OkoG023138/OkoG035172/OkoG035171/OkoG035170/OkoG032284/OkoG032285/OkoG021630/OkoG021632/OkoG021631/OkoG021633/OkoG008689/OkoG008688/OkoG008687/OkoG034334/OkoG034336/OkoG034337/OkoG042311/OkoG042310/OkoG001766/OkoG029396/OkoG029034/OkoG042285/OkoG022787/OkoG022790/OkoG021837/OkoG021650/OkoG021651/OkoG002987/OkoG002986/OkoG038760/OkoG038762/OkoG040832/OkoG040831/OkoG003824/OkoG003822/OkoG003821/OkoG041854/OkoG040322/OkoG005998/OkoG017012/OkoG017010/OkoG031397/OkoG050358/OkoG050354/OkoG050353/OkoG002557/OkoG048930/OkoG048932/OkoG048933/OkoG021990/OkoG021988/OkoG023157/OkoG020606/OkoG020605/OkoG020604/OkoG020685/OkoG012046/OkoG012048/OkoG044852/OkoG044845/OkoG015999/OkoG049155/OkoG049153/OkoG049151/OkoG049150/OkoG033859/OkoG001518/OkoG021783/OkoG021750/OkoG048993/OkoG048992/OkoG027597/OkoG044730/OkoG044729/OkoG026844/OkoG026843	102
GO:0008194	UDP-glycosyltransferase activity	100/4525	185/30537	0.540540540540541	3.64784231745558	15.0665153616281	1.33490691329318e-35	5.62663263953074e-33	4.93915557918476e-33	OkoG027823/OkoG027825/OkoG042215/OkoG042218/OkoG042219/OkoG018832/OkoG018831/OkoG018830/OkoG018829/OkoG024985/OkoG049843/OkoG049840/OkoG049839/OkoG022297/OkoG022298/OkoG022299/OkoG022301/OkoG028142/OkoG028153/OkoG046097/OkoG002135/OkoG002137/OkoG002140/OkoG043059/OkoG043060/OkoG043062/OkoG043063/OkoG020669/OkoG050628/OkoG050627/OkoG030630/OkoG030631/OkoG030632/OkoG030633/OkoG030634/OkoG034006/OkoG034008/OkoG019077/OkoG037154/OkoG037155/OkoG022191/OkoG000733/OkoG000732/OkoG000697/OkoG000696/OkoG025830/OkoG057176/OkoG057175/OkoG054455/OkoG054453/OkoG006003/OkoG018046/OkoG032080/OkoG032078/OkoG029331/OkoG029333/OkoG029334/OkoG018881/OkoG018984/OkoG018926/OkoG018925/OkoG018924/OkoG033838/OkoG033839/OkoG010269/OkoG040927/OkoG031894/OkoG057494/OkoG057495/OkoG052344/OkoG052345/OkoG032219/OkoG022146/OkoG022145/OkoG022144/OkoG010680/OkoG010681/OkoG046521/OkoG046532/OkoG000491/OkoG006163/OkoG006165/OkoG006167/OkoG006152/OkoG006154/OkoG009956/OkoG036221/OkoG036223/OkoG004861/OkoG009258/OkoG021085/OkoG036845/OkoG036847/OkoG036849/OkoG044827/OkoG056750/OkoG056749/OkoG026819/OkoG026817/OkoG026816	100
GO:0043531	ADP binding	141/4525	338/30537	0.417159763313609	2.815206119847	13.9964052576391	2.3778856504952e-33	6.68185867789152e-31	5.8654512712215e-31	OkoG047813/OkoG047809/OkoG047812/OkoG047808/OkoG047805/OkoG047804/OkoG047802/OkoG047801/OkoG012042/OkoG012039/OkoG012036/OkoG012032/OkoG012029/OkoG012028/OkoG030069/OkoG030118/OkoG030116/OkoG030026/OkoG030004/OkoG030166/OkoG030155/OkoG010346/OkoG010344/OkoG010343/OkoG010326/OkoG005992/OkoG005987/OkoG009753/OkoG009749/OkoG009747/OkoG009745/OkoG053421/OkoG033775/OkoG034093/OkoG034136/OkoG001347/OkoG001348/OkoG011536/OkoG011537/OkoG006685/OkoG006684/OkoG006683/OkoG011566/OkoG051529/OkoG051525/OkoG019566/OkoG056023/OkoG047996/OkoG047997/OkoG040875/OkoG022824/OkoG025628/OkoG004250/OkoG004245/OkoG022423/OkoG048558/OkoG005676/OkoG005674/OkoG028687/OkoG038877/OkoG038871/OkoG038869/OkoG038868/OkoG042598/OkoG042599/OkoG042239/OkoG042240/OkoG041564/OkoG055981/OkoG018900/OkoG018902/OkoG017433/OkoG017058/OkoG033847/OkoG016348/OkoG016350/OkoG016351/OkoG039166/OkoG039101/OkoG031918/OkoG031920/OkoG056242/OkoG056241/OkoG019876/OkoG019873/OkoG019872/OkoG052321/OkoG052322/OkoG005854/OkoG052044/OkoG045193/OkoG010615/OkoG010611/OkoG036153/OkoG004280/OkoG004276/OkoG012976/OkoG022691/OkoG022688/OkoG022686/OkoG043712/OkoG043716/OkoG051280/OkoG051278/OkoG004533/OkoG031140/OkoG031147/OkoG005088/OkoG005043/OkoG023256/OkoG056597/OkoG056579/OkoG056583/OkoG011034/OkoG011033/OkoG000602/OkoG000601/OkoG025686/OkoG025697/OkoG037911/OkoG037901/OkoG023004/OkoG023007/OkoG015972/OkoG015971/OkoG015961/OkoG052588/OkoG052591/OkoG006126/OkoG041687/OkoG041681/OkoG050239/OkoG050237/OkoG050233/OkoG050230/OkoG047391/OkoG056776/OkoG007573/OkoG011461/OkoG016689/OkoG016814	141
GO:0080043	quercetin 3-O-glucosyltransferase activity	52/4525	85/30537	0.611764705882353	4.12849918752031	12.0466444173946	1.41359288162547e-22	2.38331759842055e-20	2.0921174648057e-20	OkoG022297/OkoG022301/OkoG050628/OkoG050627/OkoG050626/OkoG050624/OkoG030630/OkoG030631/OkoG030632/OkoG030633/OkoG030634/OkoG034006/OkoG034008/OkoG019077/OkoG019078/OkoG019079/OkoG037154/OkoG037155/OkoG054455/OkoG054453/OkoG032080/OkoG032078/OkoG029332/OkoG029333/OkoG018881/OkoG018984/OkoG010269/OkoG040927/OkoG040946/OkoG031894/OkoG031895/OkoG032219/OkoG010680/OkoG010681/OkoG046521/OkoG046532/OkoG000491/OkoG000496/OkoG006163/OkoG006165/OkoG006167/OkoG006152/OkoG006154/OkoG004858/OkoG004859/OkoG004860/OkoG004861/OkoG009258/OkoG021085/OkoG036845/OkoG036847/OkoG036849	52
GO:0080044	quercetin 7-O-glucosyltransferase activity	52/4525	85/30537	0.611764705882353	4.12849918752031	12.0466444173946	1.41359288162547e-22	2.38331759842055e-20	2.0921174648057e-20	OkoG022297/OkoG022301/OkoG050628/OkoG050627/OkoG050626/OkoG050624/OkoG030630/OkoG030631/OkoG030632/OkoG030633/OkoG030634/OkoG034006/OkoG034008/OkoG019077/OkoG019078/OkoG019079/OkoG037154/OkoG037155/OkoG054455/OkoG054453/OkoG032080/OkoG032078/OkoG029332/OkoG029333/OkoG018881/OkoG018984/OkoG010269/OkoG040927/OkoG040946/OkoG031894/OkoG031895/OkoG032219/OkoG010680/OkoG010681/OkoG046521/OkoG046532/OkoG000491/OkoG000496/OkoG006163/OkoG006165/OkoG006167/OkoG006152/OkoG006154/OkoG004858/OkoG004859/OkoG004860/OkoG004861/OkoG009258/OkoG021085/OkoG036845/OkoG036847/OkoG036849	52
GO:0030247	polysaccharide binding	46/4525	74/30537	0.621621621621622	4.19501866507391	11.4770802102059	1.51430126297533e-20	2.12759327448034e-18	1.86763822433624e-18	OkoG033897/OkoG033896/OkoG033893/OkoG033892/OkoG033895/OkoG014106/OkoG014104/OkoG014102/OkoG003366/OkoG020101/OkoG020100/OkoG020098/OkoG020097/OkoG020094/OkoG043308/OkoG043309/OkoG043312/OkoG043310/OkoG052604/OkoG052605/OkoG001332/OkoG023738/OkoG023739/OkoG052381/OkoG018718/OkoG053330/OkoG053335/OkoG047718/OkoG047705/OkoG009103/OkoG023267/OkoG043652/OkoG055165/OkoG055162/OkoG002575/OkoG002576/OkoG002580/OkoG002581/OkoG002583/OkoG040656/OkoG040655/OkoG048461/OkoG008436/OkoG016796/OkoG056744/OkoG056741	46
GO:0042546	cell wall biogenesis	44/4525	69/30537	0.63768115942029	4.30339658899832	11.4575505101275	2.35687206229847e-20	2.83834735502516e-18	2.49155046585839e-18	OkoG031958/OkoG031957/OkoG031956/OkoG050577/OkoG050575/OkoG050574/OkoG050573/OkoG004518/OkoG004516/OkoG045250/OkoG045252/OkoG004657/OkoG004658/OkoG004659/OkoG004660/OkoG025658/OkoG025660/OkoG025668/OkoG025669/OkoG005229/OkoG005231/OkoG005232/OkoG033878/OkoG033877/OkoG033876/OkoG041554/OkoG041553/OkoG041552/OkoG041551/OkoG018090/OkoG018005/OkoG018007/OkoG018009/OkoG018010/OkoG018008/OkoG018011/OkoG006041/OkoG006039/OkoG006038/OkoG035975/OkoG026038/OkoG014880/OkoG028775/OkoG028771	44
GO:0035251	UDP-glucosyltransferase activity	51/4525	94/30537	0.542553191489362	3.66142470906312	10.7786130259014	5.89511649885327e-19	6.21197901066663e-17	5.45298276143927e-17	OkoG042214/OkoG042215/OkoG042218/OkoG042219/OkoG018832/OkoG018831/OkoG018830/OkoG018829/OkoG024984/OkoG024985/OkoG049843/OkoG049840/OkoG049839/OkoG028142/OkoG028153/OkoG046097/OkoG002135/OkoG002137/OkoG002140/OkoG043059/OkoG043060/OkoG043062/OkoG043063/OkoG022191/OkoG022192/OkoG000733/OkoG000732/OkoG000697/OkoG000696/OkoG025832/OkoG025830/OkoG057176/OkoG057175/OkoG006003/OkoG018046/OkoG018926/OkoG018925/OkoG018924/OkoG033838/OkoG033839/OkoG057494/OkoG057495/OkoG052344/OkoG052345/OkoG022146/OkoG022145/OkoG022144/OkoG009956/OkoG036221/OkoG056750/OkoG056749	51
GO:0004364	glutathione transferase activity	56/4525	111/30537	0.504504504504504	3.4046528296252	10.5857086248408	1.03793397286345e-18	9.72198154582099e-17	8.53412377687726e-17	OkoG008454/OkoG008455/OkoG008456/OkoG056107/OkoG056106/OkoG056104/OkoG056103/OkoG056102/OkoG056101/OkoG056099/OkoG056098/OkoG056097/OkoG000299/OkoG000300/OkoG000302/OkoG000303/OkoG032740/OkoG032738/OkoG033885/OkoG024961/OkoG021012/OkoG021015/OkoG034411/OkoG034409/OkoG001034/OkoG001033/OkoG035898/OkoG035897/OkoG035956/OkoG003927/OkoG003926/OkoG003925/OkoG047057/OkoG047056/OkoG047055/OkoG010502/OkoG010503/OkoG053742/OkoG035148/OkoG049308/OkoG049307/OkoG049083/OkoG049081/OkoG049080/OkoG047541/OkoG047542/OkoG049442/OkoG027590/OkoG027591/OkoG025400/OkoG025398/OkoG022588/OkoG011878/OkoG016867/OkoG016868/OkoG016870	56
GO:0006749	glutathione metabolic process	54/4525	108/30537	0.5	3.37425414364641	10.3091707967475	7.19930855505349e-18	6.06901711191009e-16	5.32748833073958e-16	OkoG008454/OkoG008455/OkoG008456/OkoG056107/OkoG056106/OkoG056104/OkoG056103/OkoG056102/OkoG056101/OkoG056099/OkoG056098/OkoG056097/OkoG000299/OkoG000300/OkoG000302/OkoG000303/OkoG032740/OkoG032738/OkoG033885/OkoG024961/OkoG021012/OkoG021015/OkoG034411/OkoG034409/OkoG001034/OkoG001033/OkoG035898/OkoG035897/OkoG035956/OkoG003927/OkoG003926/OkoG003925/OkoG047057/OkoG047056/OkoG047055/OkoG010502/OkoG010503/OkoG053742/OkoG035148/OkoG049083/OkoG049081/OkoG049080/OkoG047541/OkoG047542/OkoG049442/OkoG027590/OkoG027591/OkoG025400/OkoG025398/OkoG022588/OkoG011878/OkoG016867/OkoG016868/OkoG016870	54
