ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
GO:0030247	polysaccharide binding	95/5114	148/23149	0.641891891891892	2.9055837711	12.3841034028955	3.80423615216994e-28	2.37384335895404e-25	1.88610023965478e-25	Bt034342/Bt034343/Bt034962/Bt034990/Bt034993/Bt030044/Bt030046/Bt033501/Bt033504/Bt033505/Bt012247/Bt012248/Bt012250/Bt012251/Bt012255/Bt012260/Bt012261/Bt012262/Bt012263/Bt012268/Bt012269/Bt012272/Bt012553/Bt012554/Bt012555/Bt012556/Bt012557/Bt012566/Bt012568/Bt012569/Bt012570/Bt012571/Bt012572/Bt012574/Bt012575/Bt012576/Bt012577/Bt012578/Bt012579/Bt012580/Bt012581/Bt012583/Bt012836/Bt012837/Bt012841/Bt012842/Bt012863/Bt012864/Bt015193/Bt015194/Bt015197/Bt015199/Bt015200/Bt017956/Bt017957/Bt006179/Bt006180/Bt006181/Bt007684/Bt007685/Bt007686/Bt011884/Bt011885/Bt011886/Bt011887/Bt011888/Bt011889/Bt011892/Bt011895/Bt011897/Bt024061/Bt024831/Bt024832/Bt024834/Bt024836/Bt026208/Bt026209/Bt028567/Bt028568/Bt028570/Bt028955/Bt028957/Bt028959/Bt028960/Bt028963/Bt028965/Bt028966/Bt028969/Bt028970/Bt018746/Bt019147/Bt019148/Bt019149/Bt021704/Bt021705	95
GO:0005576	extracellular region	101/5114	176/23149	0.573863636363636	2.59764750062218	11.3294145272003	2.8413298819221e-24	8.86494923159694e-22	7.04350723360688e-22	Bt034314/Bt034319/Bt036312/Bt036315/Bt036649/Bt036650/Bt036651/Bt036652/Bt036653/Bt037209/Bt037210/Bt029739/Bt031719/Bt031720/Bt031721/Bt032258/Bt032259/Bt012720/Bt012723/Bt012725/Bt012727/Bt013326/Bt013327/Bt013330/Bt013331/Bt013333/Bt013335/Bt013336/Bt014062/Bt014066/Bt015957/Bt015958/Bt016180/Bt016181/Bt016509/Bt016511/Bt016513/Bt016514/Bt016810/Bt016811/Bt000151/Bt000154/Bt000204/Bt000205/Bt000210/Bt000211/Bt000212/Bt000889/Bt000890/Bt000892/Bt000906/Bt000907/Bt000908/Bt000910/Bt001501/Bt001505/Bt004029/Bt004032/Bt005207/Bt005208/Bt005209/Bt005210/Bt005211/Bt005212/Bt005213/Bt005214/Bt005215/Bt005306/Bt006671/Bt006672/Bt007198/Bt007199/Bt008302/Bt008303/Bt009910/Bt009911/Bt009912/Bt010312/Bt010317/Bt010971/Bt010972/Bt011371/Bt011372/Bt011373/Bt024542/Bt024543/Bt024544/Bt026164/Bt026167/Bt026168/Bt018604/Bt018605/Bt018606/Bt018608/Bt020468/Bt022179/Bt022180/Bt022568/Bt022569/Bt023128/Bt023131	101
GO:0004497	monooxygenase activity	198/5114	500/23149	0.396	1.79253109112241	9.54016355651085	3.75487976964441e-19	7.81014992086037e-17	6.20543288246497e-17	Bt034984/Bt034985/Bt034986/Bt036108/Bt036109/Bt036112/Bt036244/Bt036246/Bt036952/Bt036953/Bt036954/Bt037064/Bt037065/Bt038324/Bt038325/Bt029284/Bt029287/Bt029449/Bt029451/Bt029992/Bt029993/Bt029994/Bt030121/Bt030122/Bt030123/Bt030127/Bt030175/Bt030177/Bt030328/Bt030333/Bt030334/Bt030338/Bt030358/Bt030359/Bt030381/Bt030385/Bt030387/Bt030437/Bt030438/Bt030451/Bt030454/Bt030506/Bt030508/Bt030509/Bt033214/Bt033216/Bt033217/Bt033251/Bt033252/Bt033253/Bt033255/Bt033256/Bt033502/Bt033503/Bt033518/Bt033520/Bt033523/Bt033521/Bt033524/Bt034013/Bt034015/Bt034016/Bt034020/Bt034025/Bt013186/Bt013187/Bt013400/Bt013401/Bt013402/Bt013405/Bt013900/Bt013901/Bt013902/Bt013953/Bt013955/Bt013957/Bt013959/Bt015824/Bt015825/Bt015970/Bt015971/Bt016447/Bt016449/Bt017427/Bt017428/Bt017430/Bt017974/Bt017975/Bt000112/Bt000114/Bt000267/Bt001412/Bt001413/Bt001443/Bt001444/Bt005055/Bt005056/Bt005057/Bt005059/Bt005085/Bt005086/Bt005087/Bt005088/Bt005400/Bt005402/Bt005829/Bt005832/Bt006369/Bt006371/Bt006375/Bt006660/Bt006661/Bt006663/Bt006673/Bt006674/Bt006675/Bt006676/Bt006715/Bt006716/Bt006722/Bt006723/Bt006754/Bt006755/Bt006756/Bt007347/Bt007349/Bt007456/Bt007458/Bt007731/Bt007734/Bt007738/Bt010294/Bt010295/Bt010558/Bt010560/Bt010561/Bt011122/Bt011123/Bt011473/Bt011474/Bt011475/Bt011688/Bt011689/Bt024861/Bt024862/Bt024863/Bt024866/Bt025226/Bt025228/Bt027112/Bt027113/Bt028926/Bt028931/Bt028936/Bt018319/Bt018321/Bt018324/Bt018325/Bt018328/Bt019076/Bt019077/Bt019078/Bt019343/Bt019345/Bt019839/Bt019840/Bt019845/Bt019846/Bt019847/Bt019849/Bt019870/Bt019892/Bt019894/Bt019896/Bt019905/Bt019906/Bt019909/Bt020475/Bt020478/Bt020479/Bt022177/Bt022178/Bt022182/Bt022183/Bt022184/Bt022188/Bt022191/Bt022192/Bt022193/Bt023421/Bt023425/Bt023540/Bt023541/Bt023542/Bt023543/Bt023544/Bt023551/Bt023553	198
GO:0048544	recognition of pollen	59/5114	95/23149	0.621052631578947	2.81125290739559	9.41991055822123	5.13166309573548e-17	8.00539442934735e-15	6.36056136339845e-15	Bt034536/Bt034537/Bt035119/Bt035121/Bt038276/Bt038279/Bt029483/Bt029487/Bt029489/Bt029552/Bt029553/Bt029555/Bt029561/Bt029563/Bt029566/Bt029814/Bt029815/Bt029832/Bt029835/Bt030287/Bt030288/Bt032191/Bt032192/Bt032194/Bt013812/Bt015065/Bt015067/Bt015069/Bt015907/Bt015910/Bt015911/Bt015912/Bt015914/Bt000152/Bt000153/Bt003372/Bt003373/Bt003378/Bt004640/Bt004641/Bt006206/Bt006207/Bt011671/Bt011672/Bt011818/Bt011819/Bt011820/Bt011827/Bt011832/Bt011834/Bt024411/Bt024414/Bt019272/Bt019273/Bt019624/Bt019627/Bt022999/Bt023003/Bt023006	59
GO:0043531	ADP binding	162/5114	402/23149	0.402985074626866	1.82414968567409	8.87638407165721	9.87454105015269e-17	9.86581461963263e-15	7.83872922713726e-15	Bt034156/Bt034157/Bt034159/Bt034161/Bt034162/Bt034269/Bt034272/Bt034274/Bt034275/Bt034276/Bt034277/Bt034281/Bt034320/Bt034358/Bt034359/Bt034391/Bt034392/Bt034393/Bt034394/Bt034395/Bt034396/Bt034512/Bt034513/Bt034548/Bt034552/Bt034553/Bt034555/Bt034556/Bt034567/Bt034568/Bt034569/Bt034971/Bt034974/Bt037881/Bt037882/Bt037883/Bt038062/Bt038064/Bt038066/Bt038247/Bt038248/Bt038473/Bt038476/Bt038477/Bt038782/Bt038783/Bt038786/Bt029011/Bt029013/Bt029029/Bt029034/Bt030086/Bt030091/Bt030099/Bt030101/Bt030105/Bt030379/Bt030498/Bt032969/Bt033519/Bt033522/Bt033525/Bt033526/Bt033958/Bt034031/Bt034033/Bt034099/Bt034100/Bt012409/Bt012410/Bt012411/Bt012412/Bt015430/Bt015432/Bt015435/Bt017648/Bt017649/Bt018022/Bt018023/Bt018025/Bt000192/Bt000195/Bt000197/Bt006333/Bt006336/Bt006427/Bt006428/Bt006450/Bt006451/Bt006453/Bt006565/Bt006569/Bt006578/Bt006582/Bt006599/Bt006600/Bt006604/Bt006848/Bt006852/Bt006857/Bt006907/Bt006910/Bt006911/Bt007717/Bt007718/Bt011651/Bt011653/Bt011655/Bt024100/Bt024108/Bt024110/Bt024153/Bt024154/Bt024158/Bt024291/Bt024428/Bt024429/Bt024636/Bt024639/Bt027308/Bt028404/Bt028405/Bt028410/Bt028412/Bt028414/Bt028415/Bt028416/Bt028419/Bt028420/Bt028421/Bt028423/Bt028424/Bt028596/Bt028598/Bt028600/Bt028601/Bt028603/Bt028645/Bt028646/Bt028649/Bt028650/Bt019718/Bt023152/Bt023154/Bt023155/Bt023156/Bt023158/Bt023159/Bt023466/Bt023467/Bt023734/Bt023735/Bt023778/Bt023780/Bt023874/Bt023875/Bt023906/Bt023974/Bt023975/Bt024009/Bt024010/Bt024013	162
GO:0004601	peroxidase activity	92/5114	185/23149	0.497297297297297	2.25106279529432	9.09746156585852	1.10674202463828e-16	9.86581461963263e-15	7.83872922713726e-15	Bt034880/Bt034881/Bt034883/Bt034884/Bt034886/Bt034887/Bt034888/Bt034889/Bt034890/Bt034891/Bt034894/Bt035159/Bt035160/Bt035161/Bt036319/Bt036320/Bt037850/Bt037851/Bt037852/Bt038122/Bt038123/Bt038124/Bt029097/Bt029098/Bt029099/Bt029100/Bt029105/Bt029107/Bt031061/Bt031062/Bt031064/Bt031066/Bt031067/Bt031068/Bt031370/Bt031372/Bt031373/Bt031375/Bt031376/Bt031377/Bt031379/Bt014175/Bt014176/Bt014177/Bt014178/Bt014180/Bt016014/Bt016017/Bt000631/Bt000632/Bt001630/Bt001632/Bt001633/Bt002527/Bt002528/Bt003619/Bt003620/Bt005021/Bt005022/Bt005036/Bt005037/Bt005038/Bt005039/Bt005040/Bt005041/Bt018281/Bt018282/Bt019656/Bt019659/Bt019660/Bt020023/Bt020024/Bt020025/Bt020324/Bt020325/Bt020326/Bt020328/Bt020329/Bt020650/Bt020651/Bt020652/Bt020653/Bt020654/Bt020669/Bt020670/Bt022287/Bt022288/Bt022289/Bt022290/Bt023309/Bt023310/Bt023311	92
GO:0006979	response to oxidative stress	92/5114	185/23149	0.497297297297297	2.25106279529432	9.09746156585852	1.10674202463828e-16	9.86581461963263e-15	7.83872922713726e-15	Bt034880/Bt034881/Bt034883/Bt034884/Bt034886/Bt034887/Bt034888/Bt034889/Bt034890/Bt034891/Bt034894/Bt035159/Bt035160/Bt035161/Bt036319/Bt036320/Bt037850/Bt037851/Bt037852/Bt038122/Bt038123/Bt038124/Bt029097/Bt029098/Bt029099/Bt029100/Bt029105/Bt029107/Bt031061/Bt031062/Bt031064/Bt031066/Bt031067/Bt031068/Bt031370/Bt031372/Bt031373/Bt031375/Bt031376/Bt031377/Bt031379/Bt014175/Bt014176/Bt014177/Bt014178/Bt014180/Bt016014/Bt016017/Bt000631/Bt000632/Bt001630/Bt001632/Bt001633/Bt002527/Bt002528/Bt003619/Bt003620/Bt005021/Bt005022/Bt005036/Bt005037/Bt005038/Bt005039/Bt005040/Bt005041/Bt018281/Bt018282/Bt019656/Bt019659/Bt019660/Bt020023/Bt020024/Bt020025/Bt020324/Bt020325/Bt020326/Bt020328/Bt020329/Bt020650/Bt020651/Bt020652/Bt020653/Bt020654/Bt020669/Bt020670/Bt022287/Bt022288/Bt022289/Bt022290/Bt023309/Bt023310/Bt023311	92
GO:0007166	cell surface receptor signaling pathway	74/5114	141/23149	0.524822695035461	2.37565908630737	8.72489016353403	2.70121811938728e-15	2.10695013312208e-13	1.67404438714659e-13	Bt034342/Bt034343/Bt034962/Bt034964/Bt034968/Bt034990/Bt034993/Bt030044/Bt030046/Bt030056/Bt030057/Bt030330/Bt030332/Bt033501/Bt033504/Bt033505/Bt033655/Bt033656/Bt012125/Bt012126/Bt012128/Bt017957/Bt006179/Bt006180/Bt006181/Bt007180/Bt007182/Bt007183/Bt007684/Bt007685/Bt007686/Bt011884/Bt011886/Bt011887/Bt011888/Bt011889/Bt011890/Bt011892/Bt011894/Bt011895/Bt011896/Bt011897/Bt024058/Bt024060/Bt024061/Bt024831/Bt024835/Bt024837/Bt028227/Bt028229/Bt028566/Bt028568/Bt028570/Bt028572/Bt028913/Bt028919/Bt028955/Bt028957/Bt028959/Bt028961/Bt028963/Bt028964/Bt028965/Bt028966/Bt028967/Bt028969/Bt028970/Bt018746/Bt019147/Bt019148/Bt019356/Bt019361/Bt021704/Bt021705	74
GO:0042744	hydrogen peroxide catabolic process	78/5114	153/23149	0.509803921568627	2.30767520148458	8.64168593563628	3.98821107506089e-15	2.76515967870888e-13	2.19701452205109e-13	Bt034880/Bt034881/Bt034883/Bt034884/Bt034886/Bt034887/Bt034894/Bt035159/Bt035160/Bt035161/Bt036319/Bt036320/Bt037851/Bt037852/Bt038122/Bt038123/Bt038124/Bt029097/Bt029098/Bt029099/Bt029100/Bt029105/Bt029107/Bt031061/Bt031064/Bt031066/Bt031067/Bt031068/Bt031370/Bt031372/Bt031373/Bt031375/Bt031376/Bt031377/Bt031379/Bt014175/Bt014176/Bt014177/Bt014178/Bt014180/Bt016014/Bt016017/Bt000631/Bt000632/Bt001630/Bt001632/Bt001633/Bt002527/Bt002528/Bt003619/Bt003620/Bt005021/Bt005022/Bt005036/Bt005038/Bt005041/Bt018282/Bt019656/Bt019659/Bt019660/Bt020023/Bt020024/Bt020025/Bt020324/Bt020326/Bt020328/Bt020329/Bt020650/Bt020653/Bt020654/Bt020669/Bt020670/Bt022287/Bt022288/Bt022289/Bt022290/Bt023310/Bt023311	78
GO:0030527	structural constituent of chromatin	78/5114	155/23149	0.503225806451613	2.27789874727188	8.50029612169807	1.00180540977756e-14	6.25126575701197e-13	4.96684576847611e-13	Bt034507/Bt034509/Bt037557/Bt037560/Bt037564/Bt037565/Bt037654/Bt037655/Bt038585/Bt038588/Bt038589/Bt038591/Bt032230/Bt032231/Bt012902/Bt012903/Bt012904/Bt014337/Bt016290/Bt016291/Bt016292/Bt017903/Bt017904/Bt000653/Bt000654/Bt005150/Bt005155/Bt005156/Bt007030/Bt007035/Bt007383/Bt007387/Bt011857/Bt011861/Bt027829/Bt027832/Bt027834/Bt027839/Bt027998/Bt028001/Bt028291/Bt028293/Bt028295/Bt028429/Bt028431/Bt028432/Bt028433/Bt028434/Bt028435/Bt028436/Bt028437/Bt028438/Bt028440/Bt028441/Bt028442/Bt028443/Bt028444/Bt028447/Bt028448/Bt028449/Bt028450/Bt028451/Bt028452/Bt028676/Bt028677/Bt028679/Bt028680/Bt028681/Bt028721/Bt028722/Bt018561/Bt018562/Bt018563/Bt023439/Bt023441/Bt023440/Bt023443/Bt023447	78
