ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
GO:0020037	heme binding	147/2538	419/16955	0.350835322195704	2.34374030253277	11.6856149481027	3.55634350507472e-25	1.69637585192064e-22	1.44499851890405e-22	ChlVi10_RagTagg293580/ChlVi10_RagTagg293590/ChlVi10_RagTagg294770/ChlVi10_RagTagg294780/ChlVi10_RagTagg302550/ChlVi10_RagTagg302570/ChlVi10_RagTagg304880/ChlVi10_RagTagg304890/ChlVi11_RagTagg199330/ChlVi11_RagTagg199280/ChlVi11_RagTagg198910/ChlVi11_RagTagg198920/ChlVi11_RagTagg198930/ChlVi11_RagTagg198940/ChlVi12_RagTagg089150/ChlVi12_RagTagg089180/ChlVi12_RagTagg097130/ChlVi12_RagTagg097150/ChlVi1_RagTagg017580/ChlVi1_RagTagg017590/ChlVi1_RagTagg024000/ChlVi1_RagTagg024010/ChlVi1_RagTagg029470/ChlVi1_RagTagg029480/ChlVi1_RagTagg039580/ChlVi1_RagTagg039590/ChlVi1_RagTagg039640/ChlVi1_RagTagg039650/ChlVi1_RagTagg039660/ChlVi1_RagTagg039670/ChlVi1_RagTagg039610/ChlVi1_RagTagg046300/ChlVi1_RagTagg047460/ChlVi1_RagTagg047470/ChlVi1_RagTagg047390/ChlVi1_RagTagg047400/ChlVi1_RagTagg057820/ChlVi1_RagTagg057900/ChlVi1_RagTagg057910/ChlVi1_RagTagg057830/ChlVi2_RagTagg208270/ChlVi2_RagTagg208210/ChlVi2_RagTagg209990/ChlVi2_RagTagg210000/ChlVi2_RagTagg209940/ChlVi2_RagTagg210060/ChlVi2_RagTagg215070/ChlVi2_RagTagg215030/ChlVi2_RagTagg212820/ChlVi2_RagTagg212830/ChlVi2_RagTagg212840/ChlVi2_RagTagg212150/ChlVi2_RagTagg212160/ChlVi2_RagTagg215210/ChlVi2_RagTagg215220/ChlVi2_RagTagg215230/ChlVi2_RagTagg228370/ChlVi2_RagTagg228400/ChlVi3_RagTagg148710/ChlVi3_RagTagg148720/ChlVi3_RagTagg155830/ChlVi3_RagTagg155960/ChlVi3_RagTagg154960/ChlVi3_RagTagg155030/ChlVi3_RagTagg163050/ChlVi3_RagTagg163100/ChlVi3_RagTagg164530/ChlVi3_RagTagg164610/ChlVi3_RagTagg164540/ChlVi3_RagTagg164670/ChlVi3_RagTagg169060/ChlVi3_RagTagg169070/ChlVi3_RagTagg177650/ChlVi3_RagTagg177660/ChlVi3_RagTagg177700/ChlVi3_RagTagg177710/ChlVi3_RagTagg178920/ChlVi3_RagTagg178850/ChlVi3_RagTagg178860/ChlVi3_RagTagg178870/ChlVi3_RagTagg179320/ChlVi3_RagTagg179330/ChlVi3_RagTagg185160/ChlVi3_RagTagg184620/ChlVi3_RagTagg184630/ChlVi4_RagTagg114040/ChlVi4_RagTagg114050/ChlVi4_RagTagg120260/ChlVi4_RagTagg120270/ChlVi4_RagTagg122920/ChlVi4_RagTagg122930/ChlVi4_RagTagg123670/ChlVi4_RagTagg129830/ChlVi4_RagTagg129840/ChlVi5_RagTagg334470/ChlVi5_RagTagg344660/ChlVi5_RagTagg344840/ChlVi5_RagTagg344850/ChlVi5_RagTagg349440/ChlVi5_RagTagg349450/ChlVi6_RagTagg262920/ChlVi6_RagTagg262880/ChlVi6_RagTagg263510/ChlVi6_RagTagg263560/ChlVi6_RagTagg263570/ChlVi6_RagTagg263580/ChlVi6_RagTagg267280/ChlVi6_RagTagg267290/ChlVi6_RagTagg267300/ChlVi6_RagTagg267400/ChlVi6_RagTagg267410/ChlVi6_RagTagg267010/ChlVi6_RagTagg267030/ChlVi6_RagTagg270390/ChlVi6_RagTagg270350/ChlVi7_RagTagg314680/ChlVi7_RagTagg314770/ChlVi7_RagTagg314780/ChlVi7_RagTagg320480/ChlVi7_RagTagg320420/ChlVi7_RagTagg320140/ChlVi7_RagTagg324350/ChlVi7_RagTagg324360/ChlVi7_RagTagg326430/ChlVi7_RagTagg326440/ChlVi7_RagTagg326890/ChlVi7_RagTagg326900/ChlVi7_RagTagg326910/ChlVi7_RagTagg326940/ChlVi7_RagTagg326920/ChlVi7_RagTagg327230/ChlVi7_RagTagg329300/ChlVi7_RagTagg329280/ChlVi7_RagTagg330210/ChlVi7_RagTagg330220/ChlVi8_RagTagg372460/ChlVi8_RagTagg372450/ChlVi8_RagTagg372510/ChlVi8_RagTagg379330/ChlVi8_RagTagg379340/ChlVi8_RagTagg385180/ChlVi8_RagTagg385220/ChlVi8_RagTagg385290/ChlVi8_RagTagg391570/ChlVi8_RagTagg391590/ChlVi9_RagTagg283990/ChlVi9_RagTagg283910	147
GO:0022857	transmembrane transporter activity	121/2538	326/16955	0.371165644171779	2.47955614536348	11.3175294328026	2.62788008361731e-23	6.26749399942729e-21	5.3387458540857e-21	ChlVi10_RagTagg293630/ChlVi10_RagTagg293640/ChlVi10_RagTagg293680/ChlVi10_RagTagg293690/ChlVi10_RagTagg293700/ChlVi10_RagTagg294830/ChlVi10_RagTagg294810/ChlVi10_RagTagg303850/ChlVi10_RagTagg303880/ChlVi10_RagTagg305340/ChlVi10_RagTagg305350/ChlVi10_RagTagg306050/ChlVi10_RagTagg306060/ChlVi11_RagTagg200650/ChlVi11_RagTagg200190/ChlVi11_RagTagg200260/ChlVi11_RagTagg200270/ChlVi12_RagTagg093710/ChlVi12_RagTagg093650/ChlVi12_RagTagg093660/ChlVi12_RagTagg094170/ChlVi12_RagTagg094180/ChlVi12_RagTagg094190/ChlVi12_RagTagg097190/ChlVi1_RagTagg026450/ChlVi1_RagTagg038810/ChlVi1_RagTagg038800/ChlVi1_RagTagg058650/ChlVi1_RagTagg058660/ChlVi1_RagTagg058670/ChlVi1_RagTagg058690/ChlVi1_RagTagg058700/ChlVi1_RagTagg058730/ChlVi1_RagTagg058740/ChlVi1_RagTagg058750/ChlVi1_RagTagg058320/ChlVi1_RagTagg058330/ChlVi1_RagTagg058340/ChlVi2_RagTagg204760/ChlVi2_RagTagg204780/ChlVi2_RagTagg204870/ChlVi3_RagTagg148740/ChlVi3_RagTagg148750/ChlVi3_RagTagg148100/ChlVi3_RagTagg148110/ChlVi3_RagTagg148070/ChlVi3_RagTagg150200/ChlVi3_RagTagg150110/ChlVi3_RagTagg152110/ChlVi3_RagTagg152120/ChlVi3_RagTagg154290/ChlVi3_RagTagg154310/ChlVi3_RagTagg154320/ChlVi3_RagTagg157180/ChlVi3_RagTagg157190/ChlVi3_RagTagg165650/ChlVi3_RagTagg165680/ChlVi3_RagTagg179600/ChlVi3_RagTagg179580/ChlVi3_RagTagg182640/ChlVi3_RagTagg182650/ChlVi3_RagTagg182660/ChlVi4_RagTagg106700/ChlVi4_RagTagg106710/ChlVi4_RagTagg111400/ChlVi4_RagTagg111130/ChlVi4_RagTagg113190/ChlVi4_RagTagg113210/ChlVi4_RagTagg113220/ChlVi4_RagTagg114090/ChlVi4_RagTagg114110/ChlVi4_RagTagg114180/ChlVi4_RagTagg114120/ChlVi4_RagTagg116790/ChlVi4_RagTagg116810/ChlVi4_RagTagg116830/ChlVi4_RagTagg119960/ChlVi4_RagTagg119970/ChlVi4_RagTagg122100/ChlVi4_RagTagg122110/ChlVi4_RagTagg128550/ChlVi4_RagTagg128560/ChlVi5_RagTagg332680/ChlVi5_RagTagg332800/ChlVi5_RagTagg332970/ChlVi5_RagTagg332990/ChlVi5_RagTagg339100/ChlVi5_RagTagg339070/ChlVi5_RagTagg340600/ChlVi5_RagTagg340610/ChlVi5_RagTagg343020/ChlVi5_RagTagg343030/ChlVi5_RagTagg343620/ChlVi5_RagTagg343630/ChlVi5_RagTagg343690/ChlVi5_RagTagg343710/ChlVi5_RagTagg344010/ChlVi5_RagTagg344060/ChlVi5_RagTagg344070/ChlVi5_RagTagg344020/ChlVi6_RagTagg258240/ChlVi6_RagTagg258250/ChlVi7_RagTagg320060/ChlVi7_RagTagg320070/ChlVi7_RagTagg323010/ChlVi7_RagTagg323030/ChlVi7_RagTagg323020/ChlVi7_RagTagg323080/ChlVi7_RagTagg323040/ChlVi7_RagTagg323050/ChlVi7_RagTagg323060/ChlVi7_RagTagg323070/ChlVi8_RagTagg373280/ChlVi9_RagTagg280470/ChlVi9_RagTagg280550/ChlVi9_RagTagg283720/ChlVi9_RagTagg283730/ChlVi9_RagTagg283750/ChlVi9_RagTagg283770/ChlVi9_RagTagg283780/ChlVi9_RagTagg283790	121
GO:0005576	extracellular region	60/2538	126/16955	0.476190476190476	3.18117002514166	10.3107459710606	3.19263261367402e-18	5.07628585574168e-16	4.3240568030813e-16	ChlVi10_RagTagg295590/ChlVi10_RagTagg295560/ChlVi10_RagTagg303340/ChlVi10_RagTagg303460/ChlVi10_RagTagg303940/ChlVi10_RagTagg303950/ChlVi10_RagTagg303960/ChlVi10_RagTagg304010/ChlVi10_RagTagg304020/ChlVi10_RagTagg303990/ChlVi11_RagTagg201600/ChlVi11_RagTagg201640/ChlVi1_RagTagg016170/ChlVi1_RagTagg016180/ChlVi1_RagTagg016360/ChlVi1_RagTagg016190/ChlVi1_RagTagg017990/ChlVi1_RagTagg018000/ChlVi1_RagTagg035580/ChlVi1_RagTagg035590/ChlVi1_RagTagg038990/ChlVi1_RagTagg047100/ChlVi1_RagTagg047110/ChlVi1_RagTagg050360/ChlVi1_RagTagg050370/ChlVi2_RagTagg226510/ChlVi2_RagTagg226520/ChlVi2_RagTagg226600/ChlVi2_RagTagg239950/ChlVi2_RagTagg239960/ChlVi2_RagTagg239970/ChlVi3_RagTagg145320/ChlVi3_RagTagg145240/ChlVi3_RagTagg144990/ChlVi3_RagTagg145080/ChlVi3_RagTagg151850/ChlVi3_RagTagg151860/ChlVi5_RagTagg339170/ChlVi5_RagTagg339190/ChlVi5_RagTagg339200/ChlVi5_RagTagg339210/ChlVi5_RagTagg339220/ChlVi5_RagTagg339240/ChlVi5_RagTagg339150/ChlVi5_RagTagg339160/ChlVi6_RagTagg256080/ChlVi6_RagTagg256090/ChlVi6_RagTagg256100/ChlVi6_RagTagg256110/ChlVi6_RagTagg256120/ChlVi6_RagTagg261680/ChlVi6_RagTagg261690/ChlVi7_RagTagg320210/ChlVi7_RagTagg320200/ChlVi7_RagTagg320190/ChlVi7_RagTagg326990/ChlVi7_RagTagg327000/ChlVi7_RagTagg327010/ChlVi8_RagTagg373840/ChlVi8_RagTagg373770	60
GO:0008194	UDP-glycosyltransferase activity	57/2538	123/16955	0.463414634146341	3.09582156105249	9.78776305889457	1.0618384366267e-16	1.26624233567734e-14	1.0786043066787e-14	ChlVi1_RagTagg020620/ChlVi1_RagTagg020580/ChlVi1_RagTagg033200/ChlVi1_RagTagg033900/ChlVi1_RagTagg033910/ChlVi1_RagTagg035720/ChlVi1_RagTagg038380/ChlVi1_RagTagg038330/ChlVi1_RagTagg039240/ChlVi1_RagTagg039230/ChlVi1_RagTagg041500/ChlVi1_RagTagg041770/ChlVi1_RagTagg041880/ChlVi1_RagTagg046930/ChlVi1_RagTagg046940/ChlVi2_RagTagg211670/ChlVi2_RagTagg211740/ChlVi2_RagTagg224520/ChlVi2_RagTagg222780/ChlVi2_RagTagg233830/ChlVi2_RagTagg231570/ChlVi3_RagTagg165380/ChlVi3_RagTagg163300/ChlVi3_RagTagg163360/ChlVi3_RagTagg163310/ChlVi3_RagTagg167710/ChlVi3_RagTagg167810/ChlVi3_RagTagg167740/ChlVi3_RagTagg185910/ChlVi3_RagTagg185920/ChlVi3_RagTagg185930/ChlVi4_RagTagg106120/ChlVi4_RagTagg106240/ChlVi4_RagTagg121720/ChlVi4_RagTagg121730/ChlVi5_RagTagg339970/ChlVi5_RagTagg339980/ChlVi5_RagTagg349470/ChlVi5_RagTagg349640/ChlVi5_RagTagg349580/ChlVi5_RagTagg351790/ChlVi5_RagTagg351710/ChlVi5_RagTagg351720/ChlVi6_RagTagg259160/ChlVi6_RagTagg264480/ChlVi6_RagTagg264490/ChlVi7_RagTagg315460/ChlVi7_RagTagg315430/ChlVi7_RagTagg315440/ChlVi7_RagTagg315470/ChlVi7_RagTagg319060/ChlVi8_RagTagg377210/ChlVi8_RagTagg377280/ChlVi9_RagTagg280930/ChlVi9_RagTagg280860/ChlVi9_RagTagg289110/ChlVi9_RagTagg289160	57
GO:0030247	polysaccharide binding	38/2538	65/16955	0.584615384615385	3.90549796932776	9.84706668138318	7.83087499753794e-16	7.4706547476512e-14	6.36361631378873e-14	ChlVi10_RagTagg304320/ChlVi12_RagTagg097970/ChlVi1_RagTagg016780/ChlVi1_RagTagg016800/ChlVi1_RagTagg016890/ChlVi1_RagTagg017340/ChlVi1_RagTagg018410/ChlVi1_RagTagg018420/ChlVi1_RagTagg018430/ChlVi1_RagTagg018480/ChlVi1_RagTagg018440/ChlVi1_RagTagg018450/ChlVi1_RagTagg018460/ChlVi1_RagTagg019560/ChlVi1_RagTagg019570/ChlVi1_RagTagg019580/ChlVi1_RagTagg019590/ChlVi1_RagTagg019600/ChlVi1_RagTagg019610/ChlVi1_RagTagg019620/ChlVi1_RagTagg019630/ChlVi1_RagTagg032120/ChlVi1_RagTagg032080/ChlVi1_RagTagg031700/ChlVi1_RagTagg039060/ChlVi1_RagTagg038970/ChlVi2_RagTagg240350/ChlVi3_RagTagg152050/ChlVi3_RagTagg152060/ChlVi5_RagTagg353720/ChlVi5_RagTagg353640/ChlVi8_RagTagg388530/ChlVi8_RagTagg388540/ChlVi8_RagTagg388550/ChlVi8_RagTagg388610/ChlVi8_RagTagg388710/ChlVi9_RagTagg292470/ChlVi9_RagTagg292430	38
GO:0004601	peroxidase activity	60/2538	139/16955	0.431654676258993	2.8836505263874	9.35601331359834	1.0387082887096e-15	8.25773089524132e-14	7.03405963933168e-14	ChlVi10_RagTagg293580/ChlVi10_RagTagg293590/ChlVi10_RagTagg304880/ChlVi10_RagTagg304890/ChlVi11_RagTagg199330/ChlVi11_RagTagg199280/ChlVi11_RagTagg198910/ChlVi11_RagTagg198920/ChlVi11_RagTagg198930/ChlVi11_RagTagg198940/ChlVi1_RagTagg029470/ChlVi1_RagTagg029480/ChlVi1_RagTagg047390/ChlVi1_RagTagg047400/ChlVi2_RagTagg208270/ChlVi2_RagTagg208210/ChlVi2_RagTagg212820/ChlVi2_RagTagg212830/ChlVi2_RagTagg212840/ChlVi2_RagTagg212150/ChlVi2_RagTagg212160/ChlVi2_RagTagg215210/ChlVi2_RagTagg215220/ChlVi2_RagTagg215230/ChlVi3_RagTagg155830/ChlVi3_RagTagg155960/ChlVi3_RagTagg163050/ChlVi3_RagTagg163100/ChlVi3_RagTagg164530/ChlVi3_RagTagg164610/ChlVi3_RagTagg164540/ChlVi3_RagTagg164670/ChlVi3_RagTagg179320/ChlVi3_RagTagg179330/ChlVi4_RagTagg123670/ChlVi4_RagTagg129830/ChlVi4_RagTagg129840/ChlVi5_RagTagg334470/ChlVi5_RagTagg344660/ChlVi5_RagTagg344840/ChlVi5_RagTagg344850/ChlVi5_RagTagg349440/ChlVi5_RagTagg349450/ChlVi6_RagTagg263510/ChlVi6_RagTagg263560/ChlVi6_RagTagg263570/ChlVi6_RagTagg263580/ChlVi6_RagTagg270390/ChlVi6_RagTagg270350/ChlVi7_RagTagg314680/ChlVi7_RagTagg314770/ChlVi7_RagTagg314780/ChlVi7_RagTagg326890/ChlVi7_RagTagg326900/ChlVi7_RagTagg326910/ChlVi7_RagTagg326940/ChlVi7_RagTagg326920/ChlVi7_RagTagg327230/ChlVi7_RagTagg330210/ChlVi7_RagTagg330220	60
GO:0004497	monooxygenase activity	95/2538	280/16955	0.339285714285714	2.26658364291343	8.96653026153553	1.26101218080086e-15	8.59289728917155e-14	7.31955942540046e-14	ChlVi10_RagTagg294770/ChlVi10_RagTagg294780/ChlVi10_RagTagg302550/ChlVi10_RagTagg302570/ChlVi12_RagTagg089150/ChlVi12_RagTagg089180/ChlVi12_RagTagg097130/ChlVi12_RagTagg097150/ChlVi1_RagTagg017580/ChlVi1_RagTagg017590/ChlVi1_RagTagg024000/ChlVi1_RagTagg024010/ChlVi1_RagTagg039580/ChlVi1_RagTagg039590/ChlVi1_RagTagg039640/ChlVi1_RagTagg039650/ChlVi1_RagTagg039660/ChlVi1_RagTagg039670/ChlVi1_RagTagg039610/ChlVi1_RagTagg046300/ChlVi1_RagTagg047460/ChlVi1_RagTagg047470/ChlVi1_RagTagg057820/ChlVi1_RagTagg057900/ChlVi1_RagTagg057910/ChlVi1_RagTagg057830/ChlVi2_RagTagg209990/ChlVi2_RagTagg210000/ChlVi2_RagTagg209940/ChlVi2_RagTagg210060/ChlVi2_RagTagg215070/ChlVi2_RagTagg215030/ChlVi2_RagTagg228370/ChlVi2_RagTagg228400/ChlVi2_RagTagg233400/ChlVi2_RagTagg233410/ChlVi3_RagTagg148710/ChlVi3_RagTagg148720/ChlVi3_RagTagg153810/ChlVi3_RagTagg153670/ChlVi3_RagTagg153680/ChlVi3_RagTagg153700/ChlVi3_RagTagg154960/ChlVi3_RagTagg155030/ChlVi3_RagTagg169060/ChlVi3_RagTagg169070/ChlVi3_RagTagg177650/ChlVi3_RagTagg177660/ChlVi3_RagTagg177700/ChlVi3_RagTagg177710/ChlVi3_RagTagg178920/ChlVi3_RagTagg178850/ChlVi3_RagTagg178860/ChlVi3_RagTagg178870/ChlVi3_RagTagg185160/ChlVi3_RagTagg184620/ChlVi3_RagTagg184630/ChlVi4_RagTagg114040/ChlVi4_RagTagg114050/ChlVi4_RagTagg120260/ChlVi4_RagTagg120270/ChlVi4_RagTagg122920/ChlVi4_RagTagg122930/ChlVi6_RagTagg259020/ChlVi6_RagTagg259030/ChlVi6_RagTagg259040/ChlVi6_RagTagg259050/ChlVi6_RagTagg262920/ChlVi6_RagTagg262880/ChlVi6_RagTagg267280/ChlVi6_RagTagg267290/ChlVi6_RagTagg267300/ChlVi6_RagTagg267400/ChlVi6_RagTagg267410/ChlVi6_RagTagg267010/ChlVi6_RagTagg267030/ChlVi7_RagTagg320480/ChlVi7_RagTagg320420/ChlVi7_RagTagg320140/ChlVi7_RagTagg324350/ChlVi7_RagTagg324360/ChlVi7_RagTagg326430/ChlVi7_RagTagg326440/ChlVi7_RagTagg329300/ChlVi7_RagTagg329280/ChlVi8_RagTagg372460/ChlVi8_RagTagg372450/ChlVi8_RagTagg372510/ChlVi8_RagTagg379330/ChlVi8_RagTagg379340/ChlVi8_RagTagg385180/ChlVi8_RagTagg385220/ChlVi8_RagTagg385290/ChlVi9_RagTagg283990/ChlVi9_RagTagg283910	95
GO:0006979	response to oxidative stress	60/2538	144/16955	0.416666666666667	2.78352377199895	9.0179500058177	7.42623206096271e-15	4.42789086634901e-13	3.77174417833106e-13	ChlVi10_RagTagg293580/ChlVi10_RagTagg293590/ChlVi10_RagTagg304880/ChlVi10_RagTagg304890/ChlVi11_RagTagg199330/ChlVi11_RagTagg199280/ChlVi11_RagTagg198910/ChlVi11_RagTagg198920/ChlVi11_RagTagg198930/ChlVi11_RagTagg198940/ChlVi1_RagTagg029470/ChlVi1_RagTagg029480/ChlVi1_RagTagg047390/ChlVi1_RagTagg047400/ChlVi2_RagTagg208270/ChlVi2_RagTagg208210/ChlVi2_RagTagg212820/ChlVi2_RagTagg212830/ChlVi2_RagTagg212840/ChlVi2_RagTagg212150/ChlVi2_RagTagg212160/ChlVi2_RagTagg215210/ChlVi2_RagTagg215220/ChlVi2_RagTagg215230/ChlVi3_RagTagg155830/ChlVi3_RagTagg155960/ChlVi3_RagTagg163050/ChlVi3_RagTagg163100/ChlVi3_RagTagg164530/ChlVi3_RagTagg164610/ChlVi3_RagTagg164540/ChlVi3_RagTagg164670/ChlVi3_RagTagg179320/ChlVi3_RagTagg179330/ChlVi4_RagTagg123670/ChlVi4_RagTagg129830/ChlVi4_RagTagg129840/ChlVi5_RagTagg334470/ChlVi5_RagTagg344660/ChlVi5_RagTagg344840/ChlVi5_RagTagg344850/ChlVi5_RagTagg349440/ChlVi5_RagTagg349450/ChlVi6_RagTagg263510/ChlVi6_RagTagg263560/ChlVi6_RagTagg263570/ChlVi6_RagTagg263580/ChlVi6_RagTagg270390/ChlVi6_RagTagg270350/ChlVi7_RagTagg314680/ChlVi7_RagTagg314770/ChlVi7_RagTagg314780/ChlVi7_RagTagg326890/ChlVi7_RagTagg326900/ChlVi7_RagTagg326910/ChlVi7_RagTagg326940/ChlVi7_RagTagg326920/ChlVi7_RagTagg327230/ChlVi7_RagTagg330210/ChlVi7_RagTagg330220	60
GO:0048544	recognition of pollen	35/2538	60/16955	0.583333333333333	3.89693328079853	9.43147177273994	1.19108869726665e-14	6.31277009551324e-13	5.37731271514534e-13	ChlVi1_RagTagg037000/ChlVi1_RagTagg037370/ChlVi1_RagTagg045990/ChlVi1_RagTagg046070/ChlVi1_RagTagg051480/ChlVi1_RagTagg055490/ChlVi3_RagTagg145990/ChlVi3_RagTagg146000/ChlVi3_RagTagg145390/ChlVi3_RagTagg145400/ChlVi3_RagTagg145360/ChlVi4_RagTagg126150/ChlVi4_RagTagg126160/ChlVi4_RagTagg126080/ChlVi4_RagTagg126170/ChlVi4_RagTagg124860/ChlVi4_RagTagg124820/ChlVi4_RagTagg124880/ChlVi4_RagTagg124830/ChlVi4_RagTagg124850/ChlVi4_RagTagg124890/ChlVi4_RagTagg125580/ChlVi4_RagTagg125590/ChlVi5_RagTagg344870/ChlVi5_RagTagg345140/ChlVi5_RagTagg345030/ChlVi5_RagTagg349540/ChlVi5_RagTagg349980/ChlVi6_RagTagg253670/ChlVi8_RagTagg391380/ChlVi8_RagTagg391390/ChlVi9_RagTagg282930/ChlVi9_RagTagg282940/ChlVi9_RagTagg291550/ChlVi9_RagTagg291560	35
GO:0042744	hydrogen peroxide catabolic process	49/2538	115/16955	0.426086956521739	2.84645561380066	8.33606702664352	7.85963739154921e-13	3.74904703576897e-11	3.19349477172421e-11	ChlVi10_RagTagg293580/ChlVi10_RagTagg293590/ChlVi10_RagTagg304880/ChlVi10_RagTagg304890/ChlVi11_RagTagg199330/ChlVi11_RagTagg199280/ChlVi11_RagTagg198930/ChlVi1_RagTagg029470/ChlVi1_RagTagg029480/ChlVi1_RagTagg047390/ChlVi1_RagTagg047400/ChlVi2_RagTagg208270/ChlVi2_RagTagg208210/ChlVi2_RagTagg212840/ChlVi2_RagTagg212150/ChlVi2_RagTagg212160/ChlVi2_RagTagg215220/ChlVi2_RagTagg215230/ChlVi3_RagTagg155830/ChlVi3_RagTagg155960/ChlVi3_RagTagg163050/ChlVi3_RagTagg163100/ChlVi3_RagTagg164530/ChlVi3_RagTagg164610/ChlVi3_RagTagg164540/ChlVi3_RagTagg179320/ChlVi3_RagTagg179330/ChlVi4_RagTagg123670/ChlVi4_RagTagg129830/ChlVi4_RagTagg129840/ChlVi5_RagTagg344660/ChlVi5_RagTagg344840/ChlVi5_RagTagg344850/ChlVi5_RagTagg349440/ChlVi5_RagTagg349450/ChlVi6_RagTagg263510/ChlVi6_RagTagg263560/ChlVi6_RagTagg263570/ChlVi6_RagTagg270390/ChlVi6_RagTagg270350/ChlVi7_RagTagg314780/ChlVi7_RagTagg326890/ChlVi7_RagTagg326900/ChlVi7_RagTagg326910/ChlVi7_RagTagg326940/ChlVi7_RagTagg326920/ChlVi7_RagTagg327230/ChlVi7_RagTagg330210/ChlVi7_RagTagg330220	49
