ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
GO:0005576	extracellular region	100/3504	172/20531	0.581395348837209	3.40657189126049	14.3777953449404	4.2674732692616e-34	2.58608880117253e-31	2.16967325163511e-31	Cl017436/Cl017439/Cl018437/Cl018438/Cl018441/Cl020129/Cl020130/Cl020375/Cl001587/Cl002650/Cl002651/Cl002652/Cl002653/Cl002654/Cl002661/Cl002665/Cl002666/Cl002712/Cl002713/Cl002715/Cl002719/Cl002720/Cl002722/Cl002724/Cl002743/Cl002745/Cl003642/Cl003643/Cl003644/Cl003645/Cl003646/Cl003647/Cl003649/Cl004312/Cl004313/Cl004314/Cl004316/Cl025655/Cl025657/Cl028159/Cl028160/Cl007566/Cl007567/Cl007568/Cl008064/Cl008065/Cl008770/Cl008771/Cl010154/Cl010155/Cl010903/Cl010904/Cl031220/Cl031222/Cl014414/Cl014417/Cl016351/Cl016352/Cl016641/Cl016644/Cl033182/Cl033183/Cl035227/Cl036302/Cl036303/Cl036518/Cl036520/Cl036535/Cl036537/Cl036542/Cl038078/Cl038082/Cl023257/Cl023258/Cl039305/Cl039306/Cl040216/Cl040217/Cl040567/Cl040568/Cl040569/Cl040571/Cl040572/Cl040573/Cl040574/Cl040575/Cl040576/Cl040577/Cl040578/Cl040580/Cl040581/Cl040583/Cl040585/Cl040586/Cl040588/Cl040590/Cl040592/Cl040594/Cl040719/Cl040720	100
GO:0019953	sexual reproduction	50/3504	61/20531	0.819672131147541	4.80270791226888	13.4929347422608	1.7342890703822e-28	5.25489588325807e-26	4.40874537365581e-26	Cl018437/Cl018438/Cl018441/Cl020375/Cl002650/Cl002652/Cl002653/Cl002654/Cl002661/Cl002666/Cl002712/Cl002713/Cl002715/Cl002719/Cl002720/Cl002722/Cl002724/Cl002743/Cl002745/Cl004312/Cl004313/Cl004314/Cl025655/Cl025657/Cl010154/Cl010155/Cl031220/Cl031222/Cl023257/Cl023258/Cl040567/Cl040568/Cl040569/Cl040571/Cl040572/Cl040573/Cl040574/Cl040575/Cl040576/Cl040577/Cl040580/Cl040581/Cl040583/Cl040585/Cl040588/Cl040590/Cl040592/Cl040594/Cl040719/Cl040720	50
GO:0043531	ADP binding	126/3504	292/20531	0.431506849315068	2.52832965847251	11.9322239815066	6.85699667246263e-26	1.38511332783745e-23	1.16208048870156e-23	Cl020060/Cl004175/Cl004844/Cl025836/Cl025838/Cl025899/Cl025901/Cl026199/Cl026200/Cl026202/Cl026499/Cl026503/Cl026505/Cl026507/Cl006747/Cl006748/Cl007189/Cl007609/Cl010626/Cl010629/Cl011375/Cl011377/Cl011383/Cl011385/Cl032022/Cl032023/Cl032138/Cl032140/Cl012016/Cl012019/Cl013196/Cl013287/Cl013289/Cl013718/Cl032811/Cl032812/Cl032816/Cl032817/Cl032821/Cl032847/Cl032851/Cl033280/Cl033281/Cl034525/Cl034715/Cl034717/Cl034718/Cl034719/Cl035392/Cl035393/Cl035398/Cl035639/Cl035641/Cl035814/Cl035835/Cl036352/Cl036355/Cl038189/Cl038190/Cl038191/Cl038200/Cl038203/Cl038249/Cl038280/Cl038284/Cl038453/Cl038458/Cl025480/Cl025483/Cl038653/Cl038735/Cl038737/Cl038795/Cl038798/Cl038806/Cl038796/Cl038953/Cl038959/Cl039044/Cl039045/Cl039046/Cl039047/Cl039048/Cl039049/Cl039052/Cl039058/Cl039060/Cl039062/Cl039065/Cl039124/Cl039125/Cl039187/Cl039193/Cl039262/Cl039263/Cl039733/Cl040017/Cl040232/Cl040236/Cl040469/Cl040470/Cl040474/Cl040523/Cl040524/Cl040525/Cl040526/Cl040536/Cl040540/Cl040758/Cl040764/Cl040765/Cl040766/Cl040769/Cl040770/Cl040771/Cl040775/Cl040779/Cl040782/Cl041105/Cl041106/Cl041162/Cl041163/Cl041419/Cl041421/Cl041471/Cl041475	126
GO:0030247	polysaccharide binding	55/3504	91/20531	0.604395604395604	3.54133737267299	11.0217366280726	1.75947807714877e-20	2.66560928688039e-18	2.23638924016541e-18	Cl018639/Cl018641/Cl028508/Cl028510/Cl028511/Cl028849/Cl028850/Cl028857/Cl028858/Cl028859/Cl028860/Cl013906/Cl013907/Cl013910/Cl013909/Cl014787/Cl014789/Cl014788/Cl014790/Cl016286/Cl016288/Cl016292/Cl016293/Cl016296/Cl016297/Cl016453/Cl016455/Cl016454/Cl016457/Cl016458/Cl016463/Cl032397/Cl032398/Cl032401/Cl032402/Cl032406/Cl032413/Cl032495/Cl032496/Cl035223/Cl035224/Cl035763/Cl035766/Cl037815/Cl037817/Cl023491/Cl023493/Cl023495/Cl038671/Cl038675/Cl038678/Cl038680/Cl038683/Cl038693/Cl038695	55
GO:0004601	peroxidase activity	70/3504	140/20531	0.5	2.92965182648402	10.392766403035	2.97372102327776e-19	3.60414988021264e-17	3.02380474577507e-17	Cl001003/Cl001005/Cl001006/Cl001943/Cl001945/Cl001947/Cl001997/Cl001998/Cl001999/Cl002003/Cl002004/Cl002006/Cl002820/Cl002822/Cl003023/Cl003025/Cl003026/Cl005531/Cl005533/Cl025867/Cl025870/Cl025879/Cl027076/Cl027077/Cl027078/Cl006551/Cl006555/Cl006556/Cl006557/Cl006814/Cl006815/Cl006817/Cl007138/Cl007140/Cl007141/Cl007142/Cl007143/Cl011469/Cl011470/Cl011559/Cl011560/Cl030272/Cl030277/Cl030278/Cl031560/Cl031562/Cl015274/Cl015279/Cl015280/Cl015281/Cl015282/Cl015451/Cl015452/Cl015455/Cl015758/Cl015759/Cl016738/Cl016739/Cl036506/Cl036507/Cl036508/Cl036509/Cl021845/Cl021846/Cl021847/Cl021848/Cl021849/Cl025090/Cl041286/Cl041287	70
GO:0006979	response to oxidative stress	70/3504	143/20531	0.48951048951049	2.86819059935498	10.1697281562922	1.32608447833267e-18	1.33934532311599e-16	1.12368211058715e-16	Cl001003/Cl001005/Cl001006/Cl001943/Cl001945/Cl001947/Cl001997/Cl001998/Cl001999/Cl002003/Cl002004/Cl002006/Cl002820/Cl002822/Cl003023/Cl003025/Cl003026/Cl005531/Cl005533/Cl025867/Cl025870/Cl025879/Cl027076/Cl027077/Cl027078/Cl006551/Cl006555/Cl006556/Cl006557/Cl006814/Cl006815/Cl006817/Cl007138/Cl007140/Cl007141/Cl007142/Cl007143/Cl011469/Cl011470/Cl011559/Cl011560/Cl030272/Cl030277/Cl030278/Cl031560/Cl031562/Cl015274/Cl015279/Cl015280/Cl015281/Cl015282/Cl015451/Cl015452/Cl015455/Cl015758/Cl015759/Cl016738/Cl016739/Cl036506/Cl036507/Cl036508/Cl036509/Cl021845/Cl021846/Cl021847/Cl021848/Cl021849/Cl025090/Cl041286/Cl041287	70
GO:0004497	monooxygenase activity	134/3504	379/20531	0.353562005277045	2.07162714907049	9.55238220365814	3.89320001857375e-18	3.37039887322242e-16	2.82769264506935e-16	Cl017866/Cl017867/Cl020949/Cl020950/Cl020959/Cl020960/Cl001953/Cl001955/Cl001994/Cl001995/Cl002042/Cl002043/Cl004231/Cl004234/Cl004236/Cl004264/Cl004266/Cl004268/Cl004331/Cl004332/Cl004445/Cl004446/Cl004447/Cl004453/Cl004455/Cl004559/Cl004561/Cl005495/Cl005497/Cl005498/Cl005499/Cl005500/Cl005501/Cl005503/Cl005505/Cl005508/Cl005511/Cl005512/Cl006180/Cl006184/Cl006252/Cl006254/Cl026520/Cl026524/Cl026657/Cl026658/Cl027818/Cl027819/Cl027822/Cl028575/Cl006840/Cl006842/Cl006843/Cl006844/Cl007116/Cl007117/Cl007618/Cl007619/Cl008799/Cl008855/Cl008856/Cl008857/Cl011103/Cl011104/Cl011666/Cl011667/Cl029580/Cl029581/Cl014335/Cl014338/Cl014389/Cl014390/Cl014391/Cl014393/Cl014394/Cl014396/Cl014397/Cl014399/Cl014400/Cl014401/Cl014402/Cl016805/Cl016806/Cl032578/Cl033200/Cl033201/Cl033998/Cl034000/Cl035400/Cl035401/Cl035433/Cl035434/Cl035435/Cl035436/Cl035438/Cl035964/Cl035965/Cl035966/Cl036114/Cl036118/Cl036119/Cl036272/Cl036273/Cl036843/Cl036845/Cl038277/Cl038279/Cl038402/Cl038403/Cl023132/Cl023133/Cl023817/Cl023818/Cl024692/Cl024693/Cl024699/Cl024700/Cl038501/Cl038665/Cl038666/Cl038881/Cl038882/Cl038884/Cl038885/Cl039502/Cl039503/Cl039594/Cl039595/Cl039648/Cl039651/Cl039740/Cl039741/Cl041378/Cl041381	134
GO:0008194	UDP-glycosyltransferase activity	77/3504	172/20531	0.447674418604651	2.62306035627057	9.6967930688834	1.83103283176584e-17	1.38700737006262e-15	1.16366954966171e-15	Cl017656/Cl017659/Cl020725/Cl020726/Cl020728/Cl003420/Cl003428/Cl003429/Cl005474/Cl005475/Cl005476/Cl005921/Cl026877/Cl026879/Cl026895/Cl026900/Cl027637/Cl027638/Cl027672/Cl027674/Cl027676/Cl028138/Cl028139/Cl028322/Cl028323/Cl028324/Cl028600/Cl007421/Cl007422/Cl007713/Cl007714/Cl007716/Cl007717/Cl007719/Cl007779/Cl007781/Cl008199/Cl008201/Cl008203/Cl008205/Cl008206/Cl009231/Cl010571/Cl010575/Cl010578/Cl010580/Cl010581/Cl010583/Cl010764/Cl029462/Cl029473/Cl029476/Cl029478/Cl029479/Cl029672/Cl029673/Cl013195/Cl013196/Cl013634/Cl013635/Cl013636/Cl013640/Cl013641/Cl013642/Cl015938/Cl015939/Cl015940/Cl022283/Cl022288/Cl022329/Cl022334/Cl023227/Cl023460/Cl023461/Cl038848/Cl038849/Cl038850	77
GO:0007166	cell surface receptor signaling pathway	55/3504	103/20531	0.533980582524272	3.12875437779847	9.82513886560562	4.42008555063126e-17	2.97619093742505e-15	2.49696060930397e-15	Cl018641/Cl002107/Cl002109/Cl002112/Cl002114/Cl002115/Cl025938/Cl025943/Cl028508/Cl028510/Cl028511/Cl028850/Cl028857/Cl028859/Cl032397/Cl032398/Cl032399/Cl032400/Cl032401/Cl032402/Cl032406/Cl032413/Cl032415/Cl032493/Cl032495/Cl032496/Cl035223/Cl035224/Cl035763/Cl035766/Cl036039/Cl037814/Cl037816/Cl038258/Cl038259/Cl023491/Cl038506/Cl038511/Cl038514/Cl038528/Cl038530/Cl038532/Cl038539/Cl038671/Cl038677/Cl038678/Cl038682/Cl038683/Cl038695/Cl039382/Cl039383/Cl039694/Cl039696/Cl040901/Cl040902	55
GO:0035251	UDP-glucosyltransferase activity	52/3504	95/20531	0.547368421052632	3.20719778899303	9.78166000782565	7.71917726804126e-17	4.677821424433e-15	3.92459223206729e-15	Cl020725/Cl020726/Cl020728/Cl003420/Cl003428/Cl003429/Cl026895/Cl026900/Cl027637/Cl027638/Cl027672/Cl027674/Cl027676/Cl028138/Cl028139/Cl028322/Cl028323/Cl028324/Cl007421/Cl007422/Cl007713/Cl007714/Cl007716/Cl007717/Cl007719/Cl009231/Cl009232/Cl010763/Cl010764/Cl029462/Cl029467/Cl029473/Cl029476/Cl029478/Cl029479/Cl029671/Cl029673/Cl013634/Cl013635/Cl013636/Cl013640/Cl013641/Cl013642/Cl015938/Cl015939/Cl015940/Cl022283/Cl022288/Cl022329/Cl022334/Cl023460/Cl023461	52
