ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
GO:0008194	UDP-glycosyltransferase activity	188/7217	341/40654	0.551319648093842	3.10563239207524	18.1404553085112	7.32531077430052e-55	6.02140545647503e-52	5.20482607647668e-52	gene:Et_10A_000068/gene:Et_10B_003711/gene:Et_10B_002408/gene:Et_10B_002409/gene:Et_1A_007279/gene:Et_1A_007273/gene:Et_1A_005456/gene:Et_1A_005457/gene:Et_1A_006357/gene:Et_1A_006358/gene:Et_1B_012227/gene:Et_1B_012224/gene:Et_1B_009710/gene:Et_1B_011239/gene:Et_1B_011241/gene:Et_1B_011240/gene:Et_1B_009810/gene:Et_1B_010186/gene:Et_1B_012395/gene:Et_1B_014124/gene:Et_2A_018684/gene:Et_2A_018686/gene:Et_2A_018687/gene:Et_2A_018800/gene:Et_2A_018798/gene:Et_2A_018801/gene:Et_2A_018820/gene:Et_2A_018824/gene:Et_2A_017955/gene:Et_2A_018823/gene:Et_2A_018103/gene:Et_2A_015329/gene:Et_2A_015356/gene:Et_2A_018114/gene:Et_2A_018356/gene:Et_2A_016408/gene:Et_2A_018417/gene:Et_2A_015043/gene:Et_2A_018418/gene:Et_2A_016702/gene:Et_2B_022760/gene:Et_2B_022761/gene:Et_2B_022850/gene:Et_2B_022852/gene:Et_2B_022873/gene:Et_2B_022876/gene:Et_2B_022888/gene:Et_2B_022889/gene:Et_2B_022895/gene:Et_2B_022171/gene:Et_2B_019554/gene:Et_2B_019556/gene:Et_2B_022409/gene:Et_2B_020485/gene:Et_2B_020737/gene:Et_2B_020742/gene:Et_2B_022608/gene:Et_2B_022612/gene:Et_2B_022610/gene:Et_2B_021250/gene:Et_2B_022614/gene:Et_3A_027337/gene:Et_3A_026440/gene:Et_3A_026785/gene:Et_3A_026786/gene:Et_3A_024916/gene:Et_3A_024915/gene:Et_3A_024917/gene:Et_3A_024921/gene:Et_3A_026897/gene:Et_3B_031672/gene:Et_3B_030794/gene:Et_3B_031161/gene:Et_3B_028815/gene:Et_3B_031162/gene:Et_3B_028814/gene:Et_3B_027790/gene:Et_3B_031168/gene:Et_3B_028845/gene:Et_3B_029069/gene:Et_3B_029068/gene:Et_3B_029295/gene:Et_3B_029297/gene:Et_3B_029296/gene:Et_3B_029303/gene:Et_3B_030054/gene:Et_4A_035331/gene:Et_4A_035412/gene:Et_4A_033493/gene:Et_4A_033549/gene:Et_4A_033551/gene:Et_4A_033552/gene:Et_4A_035425/gene:Et_4A_035426/gene:Et_4A_035427/gene:Et_4A_033843/gene:Et_4A_033844/gene:Et_4A_033845/gene:Et_4A_031922/gene:Et_4A_034092/gene:Et_4B_037278/gene:Et_4B_039495/gene:Et_4B_037696/gene:Et_4B_037698/gene:Et_4B_037692/gene:Et_4B_037711/gene:Et_4B_038001/gene:Et_4B_038003/gene:Et_4B_038002/gene:Et_4B_039714/gene:Et_5A_040282/gene:Et_5A_040618/gene:Et_5A_040617/gene:Et_5A_040619/gene:Et_5A_042433/gene:Et_5A_040110/gene:Et_5A_040622/gene:Et_5A_042434/gene:Et_5A_040152/gene:Et_5A_041063/gene:Et_5A_041121/gene:Et_5A_041124/gene:Et_5B_044871/gene:Et_5B_044868/gene:Et_5B_045772/gene:Et_5B_045769/gene:Et_5B_045072/gene:Et_5B_045071/gene:Et_5B_045073/gene:Et_5B_045074/gene:Et_5B_045768/gene:Et_5B_045784/gene:Et_5B_045281/gene:Et_5B_043848/gene:Et_5B_043844/gene:Et_5B_045289/gene:Et_5B_044142/gene:Et_6A_048034/gene:Et_6A_048042/gene:Et_6A_047594/gene:Et_6A_048152/gene:Et_6A_047761/gene:Et_6A_046412/gene:Et_6B_049790/gene:Et_6B_049791/gene:Et_6B_049491/gene:Et_6B_050086/gene:Et_6B_049724/gene:Et_7A_052351/gene:Et_7A_052352/gene:Et_7A_052828/gene:Et_7A_050275/gene:Et_7A_052858/gene:Et_7A_051563/gene:Et_7A_052857/gene:Et_7A_051567/gene:Et_7A_052859/gene:Et_7A_052886/gene:Et_7A_052887/gene:Et_7B_054397/gene:Et_7B_055675/gene:Et_7B_055866/gene:Et_7B_054997/gene:Et_7B_055608/gene:Et_7B_055609/gene:Et_7B_054282/gene:Et_7B_054285/gene:Et_9A_063524/gene:Et_9A_062869/gene:Et_9A_062887/gene:Et_9A_062983/gene:Et_9A_062982/gene:Et_9A_062985/gene:Et_9A_061450/gene:Et_9A_062167/gene:Et_9A_062166/gene:Et_9A_062418/gene:Et_9A_063419/gene:Et_9A_063420/gene:Et_9A_063423/gene:Et_9B_066138/gene:Et_9B_065398/gene:Et_9B_065933/gene:Et_9B_063672/gene:Et_9B_065101/gene:Et_9B_066041/gene:Et_9B_066042/gene:Et_9B_066043	188
GO:0005576	extracellular region	174/7217	318/40654	0.547169811320755	3.08225599410198	17.3185794708306	3.07614327769699e-50	1.26429488713346e-47	1.0928403749713e-47	gene:Et_10A_001907/gene:Et_10A_001908/gene:Et_1A_008942/gene:Et_1A_008944/gene:Et_1A_008418/gene:Et_1A_008426/gene:Et_1A_008888/gene:Et_1A_006072/gene:Et_1A_006074/gene:Et_1A_006075/gene:Et_1A_006758/gene:Et_1A_006759/gene:Et_1A_006760/gene:Et_1A_006761/gene:Et_1B_011137/gene:Et_1B_011138/gene:Et_1B_013235/gene:Et_1B_013241/gene:Et_1B_010947/gene:Et_1B_010952/gene:Et_1B_010949/gene:Et_1B_010948/gene:Et_1B_011615/gene:Et_1B_013926/gene:Et_1B_011611/gene:Et_1B_011612/gene:Et_1B_011613/gene:Et_1B_011614/gene:Et_1B_013946/gene:Et_1B_013947/gene:Et_2A_018676/gene:Et_2A_018677/gene:Et_2A_018673/gene:Et_2A_017978/gene:Et_2A_018832/gene:Et_2A_018833/gene:Et_2A_015889/gene:Et_2A_015888/gene:Et_2A_016627/gene:Et_2A_015031/gene:Et_2A_018399/gene:Et_2A_018562/gene:Et_2B_019091/gene:Et_2B_020019/gene:Et_2B_020020/gene:Et_2B_021289/gene:Et_2B_021294/gene:Et_3A_026035/gene:Et_3A_026036/gene:Et_3A_026042/gene:Et_3A_027230/gene:Et_3A_026205/gene:Et_3A_026278/gene:Et_3A_027265/gene:Et_3A_027344/gene:Et_3A_027341/gene:Et_3A_024392/gene:Et_3A_025493/gene:Et_3A_025492/gene:Et_3A_025653/gene:Et_3A_025652/gene:Et_3B_028152/gene:Et_3B_028153/gene:Et_3B_030412/gene:Et_3B_030419/gene:Et_3B_030578/gene:Et_3B_030577/gene:Et_3B_031600/gene:Et_3B_030640/gene:Et_3B_031599/gene:Et_3B_028287/gene:Et_3B_027694/gene:Et_3B_029110/gene:Et_3B_029843/gene:Et_3B_031404/gene:Et_4A_033202/gene:Et_4A_033199/gene:Et_4A_035575/gene:Et_4A_035578/gene:Et_4A_035499/gene:Et_4A_035500/gene:Et_4A_033796/gene:Et_4A_032454/gene:Et_4A_032457/gene:Et_4A_035163/gene:Et_4A_032456/gene:Et_4B_039326/gene:Et_4B_036623/gene:Et_5A_040881/gene:Et_5A_040879/gene:Et_5A_040880/gene:Et_5A_042309/gene:Et_5A_042310/gene:Et_5A_042311/gene:Et_5A_042312/gene:Et_5A_042317/gene:Et_5A_042316/gene:Et_5A_040894/gene:Et_5A_042479/gene:Et_5A_042478/gene:Et_5A_041460/gene:Et_5A_042634/gene:Et_5A_041715/gene:Et_5A_042700/gene:Et_5A_042701/gene:Et_5B_045493/gene:Et_5B_045496/gene:Et_5B_043323/gene:Et_5B_044972/gene:Et_5B_044971/gene:Et_5B_045706/gene:Et_5B_045707/gene:Et_5B_044132/gene:Et_5B_043070/gene:Et_5B_044308/gene:Et_5B_045450/gene:Et_5B_045447/gene:Et_5B_045448/gene:Et_6A_047619/gene:Et_6A_047623/gene:Et_6A_048168/gene:Et_6A_048169/gene:Et_6A_046777/gene:Et_6A_046779/gene:Et_6A_046774/gene:Et_6A_046900/gene:Et_6A_046902/gene:Et_6A_047871/gene:Et_6A_047873/gene:Et_6A_047874/gene:Et_6A_047872/gene:Et_6A_047209/gene:Et_6A_047974/gene:Et_6A_047975/gene:Et_6B_049532/gene:Et_6B_049533/gene:Et_6B_049534/gene:Et_6B_048514/gene:Et_6B_048846/gene:Et_6B_048843/gene:Et_6B_048357/gene:Et_6B_048926/gene:Et_6B_048241/gene:Et_6B_048927/gene:Et_6B_048928/gene:Et_6B_049862/gene:Et_6B_048932/gene:Et_6B_049864/gene:Et_6B_049865/gene:Et_6B_049863/gene:Et_6B_048941/gene:Et_7A_052374/gene:Et_7A_052375/gene:Et_7A_051163/gene:Et_7A_051166/gene:Et_7A_051414/gene:Et_7B_055022/gene:Et_7B_055024/gene:Et_7B_055877/gene:Et_7B_055026/gene:Et_7B_055597/gene:Et_7B_055598/gene:Et_7B_055594/gene:Et_7B_055595/gene:Et_7B_054187/gene:Et_7B_054188/gene:Et_7B_055610/gene:Et_8A_058502/gene:Et_8A_058503/gene:Et_8A_057285/gene:Et_8A_056123/gene:Et_8B_060849/gene:Et_8B_060850/gene:Et_9A_063335	174
GO:0035251	UDP-glucosyltransferase activity	112/7217	187/40654	0.598930481283422	3.37382843094032	15.1157821999206	7.19538011471576e-38	1.97153415143212e-35	1.70416897453794e-35	gene:Et_1B_014123/gene:Et_1B_012395/gene:Et_1B_014124/gene:Et_2A_018684/gene:Et_2A_018686/gene:Et_2A_018687/gene:Et_2A_018800/gene:Et_2A_018798/gene:Et_2A_017916/gene:Et_2A_018801/gene:Et_2A_018820/gene:Et_2A_018824/gene:Et_2A_017955/gene:Et_2A_018823/gene:Et_2A_015356/gene:Et_2A_018114/gene:Et_2A_018356/gene:Et_2A_016408/gene:Et_2B_022760/gene:Et_2B_022761/gene:Et_2B_022849/gene:Et_2B_022852/gene:Et_2B_022873/gene:Et_2B_022876/gene:Et_2B_022888/gene:Et_2B_022889/gene:Et_2B_022895/gene:Et_2B_022171/gene:Et_2B_022409/gene:Et_2B_020485/gene:Et_2B_021250/gene:Et_2B_022614/gene:Et_3A_027337/gene:Et_3A_026440/gene:Et_3A_024916/gene:Et_3A_024915/gene:Et_3A_024917/gene:Et_3A_024921/gene:Et_3A_026897/gene:Et_3B_031672/gene:Et_3B_030794/gene:Et_3B_031168/gene:Et_3B_028845/gene:Et_3B_029295/gene:Et_3B_031274/gene:Et_3B_029297/gene:Et_3B_029296/gene:Et_3B_029303/gene:Et_4A_035331/gene:Et_4A_033549/gene:Et_4A_033551/gene:Et_4A_033552/gene:Et_4A_035425/gene:Et_4A_035426/gene:Et_4A_035427/gene:Et_4A_031922/gene:Et_4A_034092/gene:Et_4B_037278/gene:Et_4B_039495/gene:Et_4B_039496/gene:Et_4B_037696/gene:Et_4B_037698/gene:Et_4B_037692/gene:Et_4B_039714/gene:Et_5A_040282/gene:Et_5A_040108/gene:Et_5A_040618/gene:Et_5A_040617/gene:Et_5A_040619/gene:Et_5A_042433/gene:Et_5A_040110/gene:Et_5A_040622/gene:Et_5A_042434/gene:Et_5A_041063/gene:Et_5B_044871/gene:Et_5B_044868/gene:Et_5B_045772/gene:Et_5B_045769/gene:Et_5B_045072/gene:Et_5B_045071/gene:Et_5B_045073/gene:Et_5B_045074/gene:Et_5B_045768/gene:Et_6A_048034/gene:Et_6A_048042/gene:Et_6A_047594/gene:Et_6A_048152/gene:Et_6A_047761/gene:Et_6A_046412/gene:Et_6B_049491/gene:Et_6B_050086/gene:Et_7A_052858/gene:Et_7A_051563/gene:Et_7A_052857/gene:Et_7A_051567/gene:Et_7A_052859/gene:Et_7B_054397/gene:Et_7B_055675/gene:Et_9A_063524/gene:Et_9A_062869/gene:Et_9A_061448/gene:Et_9A_061450/gene:Et_9A_063419/gene:Et_9A_063420/gene:Et_9A_063423/gene:Et_9B_066138/gene:Et_9B_065398/gene:Et_9B_065933/gene:Et_9B_065101/gene:Et_9B_066041/gene:Et_9B_066042/gene:Et_9B_066043	112
GO:0030247	polysaccharide binding	104/7217	186/40654	0.559139784946237	3.14968391536709	13.6516834175634	1.13023462264913e-31	2.32263214954395e-29	2.00765360602147e-29	gene:Et_10A_000910/gene:Et_10A_000909/gene:Et_10A_000908/gene:Et_10A_000911/gene:Et_10B_003056/gene:Et_10B_003057/gene:Et_10B_003058/gene:Et_10B_004153/gene:Et_10B_003684/gene:Et_10B_004366/gene:Et_10B_003686/gene:Et_1A_008529/gene:Et_1A_009589/gene:Et_1A_008549/gene:Et_1B_013350/gene:Et_1B_013351/gene:Et_1B_014402/gene:Et_1B_013367/gene:Et_2A_018192/gene:Et_2A_015745/gene:Et_2A_015742/gene:Et_2A_015750/gene:Et_2A_016331/gene:Et_2B_019877/gene:Et_2B_019878/gene:Et_2B_022235/gene:Et_2B_022387/gene:Et_2B_020404/gene:Et_3A_026143/gene:Et_3A_026138/gene:Et_3A_026139/gene:Et_3A_026144/gene:Et_3A_026145/gene:Et_3A_026240/gene:Et_3A_026239/gene:Et_3A_026236/gene:Et_3A_026235/gene:Et_3A_023178/gene:Et_3A_026254/gene:Et_3A_026253/gene:Et_3A_026657/gene:Et_3A_023825/gene:Et_3A_026699/gene:Et_3A_023961/gene:Et_3A_024707/gene:Et_3A_024703/gene:Et_3B_031008/gene:Et_3B_028075/gene:Et_3B_028076/gene:Et_3B_031010/gene:Et_3B_030518/gene:Et_3B_030511/gene:Et_3B_030512/gene:Et_3B_030513/gene:Et_3B_030614/gene:Et_3B_030617/gene:Et_3B_030616/gene:Et_3B_031591/gene:Et_3B_031587/gene:Et_3B_031588/gene:Et_3B_030618/gene:Et_3B_031093/gene:Et_3B_028588/gene:Et_3B_028568/gene:Et_3B_027748/gene:Et_3B_029100/gene:Et_3B_029093/gene:Et_5B_043788/gene:Et_6A_047193/gene:Et_6A_047197/gene:Et_6A_047200/gene:Et_6B_049161/gene:Et_7A_051691/gene:Et_7A_051692/gene:Et_7A_052882/gene:Et_7A_052883/gene:Et_7A_052552/gene:Et_7A_052553/gene:Et_7A_052554/gene:Et_7A_051468/gene:Et_7A_051470/gene:Et_7B_054340/gene:Et_7B_055175/gene:Et_7B_055176/gene:Et_7B_053851/gene:Et_7B_053853/gene:Et_7B_054129/gene:Et_8A_057424/gene:Et_8A_057420/gene:Et_8A_058261/gene:Et_8A_058263/gene:Et_8A_057513/gene:Et_8A_057516/gene:Et_8A_057514/gene:Et_8B_059761/gene:Et_8B_059756/gene:Et_8B_059849/gene:Et_8B_059847/gene:Et_8B_059850/gene:Et_8B_059848/gene:Et_8B_059852/gene:Et_8B_059590/gene:Et_9B_065008/gene:Et_9B_065002	104
GO:0007166	cell surface receptor signaling pathway	118/7217	259/40654	0.455598455598456	2.5664264395039	11.7491671073916	3.99003322624189e-25	6.55961462394166e-23	5.67004721623847e-23	gene:Et_10A_000910/gene:Et_10A_000908/gene:Et_10A_000911/gene:Et_10B_003056/gene:Et_10B_003057/gene:Et_10B_003058/gene:Et_10B_004153/gene:Et_10B_004371/gene:Et_10B_003686/gene:Et_10B_002752/gene:Et_10B_002756/gene:Et_1A_008529/gene:Et_1A_008530/gene:Et_1A_009589/gene:Et_1A_008549/gene:Et_1A_006522/gene:Et_1A_006523/gene:Et_1B_013350/gene:Et_1B_014402/gene:Et_1B_013367/gene:Et_1B_011377/gene:Et_1B_011386/gene:Et_1B_011387/gene:Et_2A_017632/gene:Et_2A_015745/gene:Et_2A_015742/gene:Et_2A_015741/gene:Et_2A_015750/gene:Et_2A_018332/gene:Et_2A_016331/gene:Et_2A_014615/gene:Et_2A_016838/gene:Et_2A_017152/gene:Et_2A_017151/gene:Et_2B_019877/gene:Et_2B_019879/gene:Et_2B_019878/gene:Et_2B_022235/gene:Et_2B_020175/gene:Et_2B_022387/gene:Et_2B_020404/gene:Et_3A_026656/gene:Et_3A_026658/gene:Et_3A_026699/gene:Et_3B_028075/gene:Et_3B_028076/gene:Et_3B_031093/gene:Et_3B_028427/gene:Et_4B_036243/gene:Et_4B_039387/gene:Et_5B_043026/gene:Et_5B_043742/gene:Et_5B_043788/gene:Et_5B_043795/gene:Et_6A_045843/gene:Et_6A_046025/gene:Et_6A_046670/gene:Et_6A_046669/gene:Et_6A_046870/gene:Et_6A_047123/gene:Et_6A_047124/gene:Et_6A_047128/gene:Et_6A_047131/gene:Et_6A_047130/gene:Et_6A_047954/gene:Et_6A_047193/gene:Et_6A_047197/gene:Et_6A_047200/gene:Et_6B_049119/gene:Et_6B_049925/gene:Et_6B_049926/gene:Et_6B_049120/gene:Et_6B_049121/gene:Et_7A_051691/gene:Et_7A_051692/gene:Et_7A_052552/gene:Et_7A_053180/gene:Et_7A_052554/gene:Et_7A_051363/gene:Et_7A_051364/gene:Et_7A_051468/gene:Et_7A_051470/gene:Et_7B_054339/gene:Et_7B_054340/gene:Et_7B_054809/gene:Et_7B_054818/gene:Et_7B_055175/gene:Et_7B_055954/gene:Et_7B_055955/gene:Et_7B_055174/gene:Et_7B_055176/gene:Et_7B_053851/gene:Et_7B_053853/gene:Et_7B_054128/gene:Et_7B_054129/gene:Et_8A_057424/gene:Et_8A_057420/gene:Et_8A_058261/gene:Et_8A_057513/gene:Et_8A_057516/gene:Et_8A_057514/gene:Et_8A_057515/gene:Et_8B_059761/gene:Et_8B_059756/gene:Et_8B_059847/gene:Et_8B_059850/gene:Et_8B_059848/gene:Et_8B_059852/gene:Et_8B_058935/gene:Et_8B_058937/gene:Et_8B_058640/gene:Et_8B_059019/gene:Et_9A_061086/gene:Et_9A_061087/gene:Et_9A_063193/gene:Et_9A_063194/gene:Et_9B_065805/gene:Et_9B_065806	118
GO:0048544	recognition of pollen	74/7217	136/40654	0.544117647058823	3.06506288257301	11.2070093674761	5.28269020328451e-22	7.23728557849978e-20	6.25581734599482e-20	gene:Et_10A_000750/gene:Et_10A_000748/gene:Et_10B_002530/gene:Et_1A_008823/gene:Et_1A_008825/gene:Et_2A_018467/gene:Et_2A_018468/gene:Et_2A_015824/gene:Et_2A_015818/gene:Et_2A_015819/gene:Et_2A_015823/gene:Et_2A_015817/gene:Et_2A_015821/gene:Et_2A_015820/gene:Et_2A_015822/gene:Et_2A_015833/gene:Et_2A_018207/gene:Et_2A_018208/gene:Et_2B_019951/gene:Et_2B_019943/gene:Et_2B_022255/gene:Et_2B_022252/gene:Et_2B_022253/gene:Et_2B_019944/gene:Et_2B_019945/gene:Et_2B_019954/gene:Et_2B_019947/gene:Et_3A_026430/gene:Et_3A_026687/gene:Et_3A_026688/gene:Et_3A_024624/gene:Et_3A_023061/gene:Et_3A_025157/gene:Et_3A_025164/gene:Et_3A_025629/gene:Et_3A_025623/gene:Et_3B_031212/gene:Et_3B_027485/gene:Et_3B_029534/gene:Et_3B_029533/gene:Et_3B_029541/gene:Et_3B_029987/gene:Et_4A_031791/gene:Et_4A_032909/gene:Et_4A_034188/gene:Et_5A_042216/gene:Et_5A_042218/gene:Et_5A_042217/gene:Et_5B_044899/gene:Et_5B_044904/gene:Et_5B_044902/gene:Et_6B_049820/gene:Et_7A_051968/gene:Et_7A_051972/gene:Et_7A_051977/gene:Et_7A_051973/gene:Et_7A_051980/gene:Et_7A_051976/gene:Et_7A_051981/gene:Et_7A_051989/gene:Et_7A_052612/gene:Et_7A_052613/gene:Et_7A_050999/gene:Et_7B_054611/gene:Et_7B_054613/gene:Et_7B_054615/gene:Et_7B_055729/gene:Et_7B_054617/gene:Et_7B_054620/gene:Et_7B_054618/gene:Et_7B_055483/gene:Et_7B_053726/gene:Et_9A_061117/gene:Et_9A_061820	74
GO:0080043	quercetin 3-O-glucosyltransferase activity	75/7217	152/40654	0.493421052631579	2.77948447743996	10.2114816989313	5.52367102086172e-19	5.67557197393542e-17	4.90589202510745e-17	gene:Et_10A_000064/gene:Et_10A_000068/gene:Et_10B_003711/gene:Et_10B_004375/gene:Et_10B_002408/gene:Et_1A_007279/gene:Et_1A_007273/gene:Et_1A_005456/gene:Et_1A_005457/gene:Et_1A_006357/gene:Et_1A_006358/gene:Et_1B_012227/gene:Et_1B_012224/gene:Et_1B_011241/gene:Et_1B_011240/gene:Et_1B_011445/gene:Et_1B_009810/gene:Et_1B_010186/gene:Et_2A_018103/gene:Et_2A_015329/gene:Et_2A_018416/gene:Et_2A_018417/gene:Et_2A_015043/gene:Et_2A_018418/gene:Et_2A_016702/gene:Et_2B_020737/gene:Et_2B_020742/gene:Et_2B_022608/gene:Et_2B_022612/gene:Et_2B_022610/gene:Et_3B_029069/gene:Et_3B_029068/gene:Et_4A_035412/gene:Et_4A_033493/gene:Et_4A_033843/gene:Et_4A_033844/gene:Et_4A_031936/gene:Et_4A_035607/gene:Et_4B_037711/gene:Et_4B_037704/gene:Et_4B_038001/gene:Et_4B_038003/gene:Et_5A_040636/gene:Et_5A_040289/gene:Et_5A_040685/gene:Et_5A_042501/gene:Et_5A_040152/gene:Et_5A_041121/gene:Et_5A_041124/gene:Et_5B_045784/gene:Et_5B_045281/gene:Et_5B_045282/gene:Et_5B_043848/gene:Et_5B_043844/gene:Et_5B_043849/gene:Et_5B_045289/gene:Et_6B_049790/gene:Et_6B_049791/gene:Et_6B_049724/gene:Et_6B_049723/gene:Et_7A_052828/gene:Et_7A_050275/gene:Et_7A_052886/gene:Et_7A_052887/gene:Et_7A_052885/gene:Et_7B_055608/gene:Et_7B_055609/gene:Et_7B_054282/gene:Et_7B_054285/gene:Et_7B_053433/gene:Et_9A_062887/gene:Et_9A_062167/gene:Et_9A_062166/gene:Et_9A_062418/gene:Et_9A_062417	75
GO:0080044	quercetin 7-O-glucosyltransferase activity	75/7217	152/40654	0.493421052631579	2.77948447743996	10.2114816989313	5.52367102086172e-19	5.67557197393542e-17	4.90589202510745e-17	gene:Et_10A_000064/gene:Et_10A_000068/gene:Et_10B_003711/gene:Et_10B_004375/gene:Et_10B_002408/gene:Et_1A_007279/gene:Et_1A_007273/gene:Et_1A_005456/gene:Et_1A_005457/gene:Et_1A_006357/gene:Et_1A_006358/gene:Et_1B_012227/gene:Et_1B_012224/gene:Et_1B_011241/gene:Et_1B_011240/gene:Et_1B_011445/gene:Et_1B_009810/gene:Et_1B_010186/gene:Et_2A_018103/gene:Et_2A_015329/gene:Et_2A_018416/gene:Et_2A_018417/gene:Et_2A_015043/gene:Et_2A_018418/gene:Et_2A_016702/gene:Et_2B_020737/gene:Et_2B_020742/gene:Et_2B_022608/gene:Et_2B_022612/gene:Et_2B_022610/gene:Et_3B_029069/gene:Et_3B_029068/gene:Et_4A_035412/gene:Et_4A_033493/gene:Et_4A_033843/gene:Et_4A_033844/gene:Et_4A_031936/gene:Et_4A_035607/gene:Et_4B_037711/gene:Et_4B_037704/gene:Et_4B_038001/gene:Et_4B_038003/gene:Et_5A_040636/gene:Et_5A_040289/gene:Et_5A_040685/gene:Et_5A_042501/gene:Et_5A_040152/gene:Et_5A_041121/gene:Et_5A_041124/gene:Et_5B_045784/gene:Et_5B_045281/gene:Et_5B_045282/gene:Et_5B_043848/gene:Et_5B_043844/gene:Et_5B_043849/gene:Et_5B_045289/gene:Et_6B_049790/gene:Et_6B_049791/gene:Et_6B_049724/gene:Et_6B_049723/gene:Et_7A_052828/gene:Et_7A_050275/gene:Et_7A_052886/gene:Et_7A_052887/gene:Et_7A_052885/gene:Et_7B_055608/gene:Et_7B_055609/gene:Et_7B_054282/gene:Et_7B_054285/gene:Et_7B_053433/gene:Et_9A_062887/gene:Et_9A_062167/gene:Et_9A_062166/gene:Et_9A_062418/gene:Et_9A_062417	75
GO:0004867	serine-type endopeptidase inhibitor activity	65/7217	131/40654	0.49618320610687	2.79504393252996	9.56028711464498	8.25782045496388e-17	7.54214268220034e-15	6.51933193812938e-15	gene:Et_1A_007577/gene:Et_1A_009267/gene:Et_1A_007578/gene:Et_1A_007955/gene:Et_1A_009338/gene:Et_1B_012746/gene:Et_1B_012735/gene:Et_2A_018119/gene:Et_2A_015375/gene:Et_2A_014749/gene:Et_2A_015391/gene:Et_2A_015389/gene:Et_2A_014751/gene:Et_2B_019568/gene:Et_2B_019573/gene:Et_3A_027230/gene:Et_3A_026205/gene:Et_3B_029903/gene:Et_3B_029902/gene:Et_3B_030578/gene:Et_3B_030577/gene:Et_3B_028183/gene:Et_3B_028184/gene:Et_3B_028287/gene:Et_3B_027694/gene:Et_3B_029451/gene:Et_4A_033159/gene:Et_4A_033160/gene:Et_4A_033162/gene:Et_4A_033163/gene:Et_4A_033164/gene:Et_4B_037339/gene:Et_4B_037340/gene:Et_4B_037866/gene:Et_4B_039624/gene:Et_5B_043896/gene:Et_5B_043207/gene:Et_6A_048148/gene:Et_6A_047583/gene:Et_6A_047609/gene:Et_6A_047610/gene:Et_6A_045924/gene:Et_6A_048166/gene:Et_6B_049499/gene:Et_6B_049501/gene:Et_6B_049503/gene:Et_6B_049504/gene:Et_6B_049523/gene:Et_6B_049524/gene:Et_6B_049832/gene:Et_6B_048344/gene:Et_7A_050623/gene:Et_7A_052412/gene:Et_8B_060437/gene:Et_8B_059238/gene:Et_9A_061024/gene:Et_9A_061374/gene:Et_9A_063135/gene:Et_9A_061414/gene:Et_9B_066257/gene:Et_9B_065656/gene:Et_9B_065705/gene:Et_9B_065709/gene:Et_9B_066271/gene:Et_9B_066273	65
GO:0042744	hydrogen peroxide catabolic process	97/7217	239/40654	0.405857740585774	2.28623258774755	9.26527187522452	9.83913062716821e-17	8.08776537553227e-15	6.99096123509321e-15	gene:Et_10B_003417/gene:Et_10B_003418/gene:Et_1A_006695/gene:Et_1A_006690/gene:Et_1A_006697/gene:Et_1A_006691/gene:Et_1A_007724/gene:Et_1A_007725/gene:Et_1B_011425/gene:Et_1B_011426/gene:Et_1B_011551/gene:Et_1B_011546/gene:Et_1B_011552/gene:Et_1B_011547/gene:Et_1B_012522/gene:Et_1B_012523/gene:Et_2A_017997/gene:Et_2A_018411/gene:Et_2A_018412/gene:Et_2A_016833/gene:Et_2A_016832/gene:Et_2A_016826/gene:Et_2A_017362/gene:Et_2A_017363/gene:Et_2A_017370/gene:Et_2B_022521/gene:Et_2B_020867/gene:Et_2B_021341/gene:Et_2B_021350/gene:Et_3A_025464/gene:Et_3A_025459/gene:Et_3A_026561/gene:Et_3A_026562/gene:Et_3A_026564/gene:Et_3A_026563/gene:Et_3A_026565/gene:Et_3A_023664/gene:Et_3A_023666/gene:Et_3A_023668/gene:Et_3A_027141/gene:Et_3A_025939/gene:Et_3B_030041/gene:Et_3B_030152/gene:Et_3B_030948/gene:Et_3B_030956/gene:Et_3B_028122/gene:Et_3B_028125/gene:Et_4A_034772/gene:Et_4A_034781/gene:Et_4A_032692/gene:Et_4A_032697/gene:Et_4A_032702/gene:Et_4A_032698/gene:Et_4A_033868/gene:Et_4A_033877/gene:Et_4A_033878/gene:Et_4B_039234/gene:Et_4B_039235/gene:Et_4B_036886/gene:Et_4B_039377/gene:Et_4B_036887/gene:Et_4B_038033/gene:Et_4B_039659/gene:Et_5A_040672/gene:Et_5A_040673/gene:Et_5A_041787/gene:Et_5A_041782/gene:Et_5A_041783/gene:Et_5A_042711/gene:Et_5A_041856/gene:Et_5A_041861/gene:Et_5A_041282/gene:Et_5A_042570/gene:Et_5A_041342/gene:Et_5B_043396/gene:Et_5B_043402/gene:Et_5B_043400/gene:Et_5B_044462/gene:Et_5B_044458/gene:Et_5B_044459/gene:Et_5B_044463/gene:Et_5B_044534/gene:Et_5B_044538/gene:Et_7A_051522/gene:Et_9A_062237/gene:Et_9A_062233/gene:Et_9A_063377/gene:Et_9A_063374/gene:Et_9A_063375/gene:Et_9A_063376/gene:Et_9A_061870/gene:Et_9B_064831/gene:Et_9B_064827/gene:Et_9B_065973/gene:Et_9B_064834/gene:Et_9B_064444/gene:Et_9B_065931	97
