ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
GO:0004601	peroxidase activity	176/7625	299/27417	0.588628762541806	2.11651603706344	12.0489405061619	1.56135513524996e-29	1.30373153793372e-26	1.1060968484455e-26	Tel1E01G156800/Tel1E01G157200/Tel1E01G157700/Tel1E01G157900/Tel1E01G158200/Tel1E01G158300/Tel1E01G158500/Tel1E01G184200/Tel1E01G184300/Tel1E01G184400/Tel1E01G345400/Tel1E01G345600/Tel1E01G514500/Tel1E01G514600/Tel1E01G516200/Tel1E01G516300/Tel1E01G516400/Tel1E01G516600/Tel1E01G558300/Tel1E01G558400/Tel2E01G035200/Tel2E01G036100/Tel2E01G181800/Tel2E01G182000/Tel2E01G232900/Tel2E01G233000/Tel2E01G233100/Tel2E01G233200/Tel2E01G233400/Tel2E01G233500/Tel2E01G233600/Tel2E01G233800/Tel2E01G233900/Tel2E01G234200/Tel2E01G234300/Tel2E01G234500/Tel2E01G298600/Tel2E01G298900/Tel2E01G299000/Tel2E01G299200/Tel2E01G299300/Tel2E01G299600/Tel2E01G299700/Tel2E01G299800/Tel2E01G299900/Tel2E01G300300/Tel2E01G300500/Tel2E01G300600/Tel2E01G300700/Tel2E01G483100/Tel2E01G483200/Tel2E01G731900/Tel2E01G732500/Tel2E01G865200/Tel2E01G865600/Tel2E01G1006800/Tel2E01G1007300/Tel2E01G1007400/Tel2E01G1007500/Tel2E01G1007600/Tel2E01G1007700/Tel2E01G1008300/Tel2E01G1008500/Tel2E01G1008600/Tel2E01G1008700/Tel2E01G1010000/Tel2E01G1010300/Tel2E01G1010700/Tel2E01G1010900/Tel2E01G1011000/Tel3E01G314000/Tel3E01G314100/Tel3E01G314200/Tel3E01G314300/Tel3E01G314400/Tel3E01G496600/Tel3E01G497300/Tel3E01G655200/Tel3E01G655300/Tel3E01G655900/Tel3E01G656000/Tel3E01G656100/Tel3E01G656200/Tel3E01G803800/Tel3E01G803900/Tel3E01G804100/Tel3E01G845000/Tel3E01G845600/Tel3E01G845800/Tel3E01G846000/Tel3E01G846100/Tel3E01G846200/Tel3E01G846600/Tel3E01G846700/Tel3E01G848100/Tel3E01G848500/Tel3E01G848800/Tel3E01G849400/Tel4E01G189800/Tel4E01G189900/Tel4E01G190100/Tel4E01G190300/Tel4E01G401400/Tel4E01G401900/Tel4E01G402300/Tel4E01G569700/Tel4E01G569800/Tel4E01G569900/Tel5E01G479300/Tel5E01G479800/Tel5E01G632700/Tel5E01G632800/Tel5E01G632900/Tel5E01G634200/Tel5E01G634300/Tel6E01G049200/Tel6E01G049300/Tel6E01G120900/Tel6E01G121000/Tel6E01G121100/Tel6E01G121200/Tel6E01G121400/Tel6E01G132100/Tel6E01G132600/Tel6E01G655800/Tel6E01G655900/Tel6E01G656000/Tel6E01G656100/Tel6E01G656200/Tel6E01G656300/Tel7E01G194500/Tel7E01G194700/Tel7E01G194900/Tel7E01G195100/Tel7E01G195200/Tel7E01G355600/Tel7E01G355700/Tel7E01G355800/Tel7E01G356100/Tel7E01G403800/Tel7E01G403900/Tel7E01G575800/Tel7E01G575900/Tel7E01G576100/Tel7E01G576200/Tel7E01G576400/Tel7E01G576500/Tel7E01G576600/Tel7E01G576700/Tel7E01G576800/Tel7E01G596100/Tel7E01G596400/Tel7E01G633000/Tel7E01G633100/Tel7E01G633200/Tel7E01G633500/Tel7E01G633600/Tel7E01G633700/Tel7E01G634100/Tel7E01G635100/Tel7E01G635400/Tel7E01G669200/Tel7E01G669300/Tel7E01G669500/Tel7E01G669800/Tel7E01G670100/Tel7E01G716300/Tel7E01G716600/Tel7E01G763200/Tel7E01G763300/Tel7E01G763400/Tel7E01G808900/Tel7E01G809000/Tel7E01G809400/Tel7E01G975000/Tel7E01G975200	176
GO:0006979	response to oxidative stress	174/7625	296/27417	0.587837837837838	2.11367213114754	11.9571447475327	4.08813225723551e-29	1.70679521739583e-26	1.44805947848395e-26	Tel1E01G156800/Tel1E01G157200/Tel1E01G157700/Tel1E01G157900/Tel1E01G158200/Tel1E01G158300/Tel1E01G158500/Tel1E01G184200/Tel1E01G184300/Tel1E01G184400/Tel1E01G345400/Tel1E01G345600/Tel1E01G514500/Tel1E01G514600/Tel1E01G516200/Tel1E01G516300/Tel1E01G516400/Tel1E01G516600/Tel1E01G558300/Tel1E01G558400/Tel2E01G035200/Tel2E01G036100/Tel2E01G181800/Tel2E01G182000/Tel2E01G232900/Tel2E01G233000/Tel2E01G233100/Tel2E01G233200/Tel2E01G233400/Tel2E01G233500/Tel2E01G233600/Tel2E01G233800/Tel2E01G233900/Tel2E01G234200/Tel2E01G234300/Tel2E01G234500/Tel2E01G298600/Tel2E01G298900/Tel2E01G299000/Tel2E01G299200/Tel2E01G299300/Tel2E01G299600/Tel2E01G299700/Tel2E01G299800/Tel2E01G299900/Tel2E01G300300/Tel2E01G300500/Tel2E01G300600/Tel2E01G300700/Tel2E01G483100/Tel2E01G483200/Tel2E01G731900/Tel2E01G732500/Tel2E01G865200/Tel2E01G865600/Tel2E01G1006800/Tel2E01G1007300/Tel2E01G1007400/Tel2E01G1007500/Tel2E01G1007600/Tel2E01G1007700/Tel2E01G1008300/Tel2E01G1008500/Tel2E01G1008600/Tel2E01G1008700/Tel2E01G1010000/Tel2E01G1010300/Tel2E01G1010700/Tel2E01G1010900/Tel2E01G1011000/Tel3E01G314000/Tel3E01G314100/Tel3E01G314200/Tel3E01G314300/Tel3E01G314400/Tel3E01G496600/Tel3E01G497300/Tel3E01G655200/Tel3E01G655300/Tel3E01G655900/Tel3E01G656000/Tel3E01G656100/Tel3E01G656200/Tel3E01G803800/Tel3E01G803900/Tel3E01G804100/Tel3E01G845000/Tel3E01G845600/Tel3E01G845800/Tel3E01G846000/Tel3E01G846100/Tel3E01G846200/Tel3E01G846600/Tel3E01G846700/Tel3E01G848100/Tel3E01G848500/Tel3E01G848800/Tel3E01G849400/Tel4E01G189800/Tel4E01G189900/Tel4E01G190100/Tel4E01G190300/Tel4E01G401400/Tel4E01G401900/Tel4E01G402300/Tel4E01G569700/Tel4E01G569800/Tel4E01G569900/Tel5E01G632700/Tel5E01G632800/Tel5E01G632900/Tel5E01G634200/Tel5E01G634300/Tel6E01G049200/Tel6E01G049300/Tel6E01G120900/Tel6E01G121000/Tel6E01G121100/Tel6E01G121200/Tel6E01G121400/Tel6E01G132100/Tel6E01G132600/Tel6E01G655800/Tel6E01G655900/Tel6E01G656000/Tel6E01G656100/Tel6E01G656200/Tel6E01G656300/Tel7E01G194500/Tel7E01G194700/Tel7E01G194900/Tel7E01G195100/Tel7E01G195200/Tel7E01G355600/Tel7E01G355700/Tel7E01G355800/Tel7E01G356100/Tel7E01G403800/Tel7E01G403900/Tel7E01G575800/Tel7E01G575900/Tel7E01G576100/Tel7E01G576200/Tel7E01G576400/Tel7E01G576500/Tel7E01G576600/Tel7E01G576700/Tel7E01G576800/Tel7E01G596100/Tel7E01G596400/Tel7E01G633000/Tel7E01G633100/Tel7E01G633200/Tel7E01G633500/Tel7E01G633600/Tel7E01G633700/Tel7E01G634100/Tel7E01G635100/Tel7E01G635400/Tel7E01G669200/Tel7E01G669300/Tel7E01G669500/Tel7E01G669800/Tel7E01G670100/Tel7E01G716300/Tel7E01G716600/Tel7E01G763200/Tel7E01G763300/Tel7E01G763400/Tel7E01G808900/Tel7E01G809000/Tel7E01G809400/Tel7E01G975000/Tel7E01G975200	174
GO:0042744	hydrogen peroxide catabolic process	151/7625	256/27417	0.58984375	2.12088473360656	11.1836917308476	1.14970756549092e-25	3.20001939061638e-23	2.71492347921188e-23	Tel1E01G156800/Tel1E01G157900/Tel1E01G158200/Tel1E01G158300/Tel1E01G158500/Tel1E01G184300/Tel1E01G184400/Tel1E01G345400/Tel1E01G345600/Tel1E01G514500/Tel1E01G514600/Tel1E01G516200/Tel1E01G516300/Tel1E01G516400/Tel1E01G516600/Tel1E01G558300/Tel1E01G558400/Tel2E01G035200/Tel2E01G036100/Tel2E01G181800/Tel2E01G182000/Tel2E01G232900/Tel2E01G233000/Tel2E01G233100/Tel2E01G233200/Tel2E01G233400/Tel2E01G233600/Tel2E01G233800/Tel2E01G233900/Tel2E01G234200/Tel2E01G234300/Tel2E01G234500/Tel2E01G298600/Tel2E01G298900/Tel2E01G299000/Tel2E01G299200/Tel2E01G299700/Tel2E01G299800/Tel2E01G299900/Tel2E01G300500/Tel2E01G300600/Tel2E01G300700/Tel2E01G483100/Tel2E01G483200/Tel2E01G731900/Tel2E01G732500/Tel2E01G865200/Tel2E01G865600/Tel2E01G1006800/Tel2E01G1007300/Tel2E01G1007400/Tel2E01G1007500/Tel2E01G1007600/Tel2E01G1007700/Tel2E01G1008300/Tel2E01G1008600/Tel2E01G1008700/Tel2E01G1010000/Tel2E01G1010300/Tel2E01G1011000/Tel3E01G314000/Tel3E01G314100/Tel3E01G314200/Tel3E01G314300/Tel3E01G314400/Tel3E01G496600/Tel3E01G497300/Tel3E01G655300/Tel3E01G655900/Tel3E01G656000/Tel3E01G803800/Tel3E01G803900/Tel3E01G804100/Tel3E01G845000/Tel3E01G845600/Tel3E01G845800/Tel3E01G846100/Tel3E01G846200/Tel3E01G846600/Tel3E01G846700/Tel3E01G848100/Tel3E01G848500/Tel3E01G849400/Tel4E01G189900/Tel4E01G190100/Tel4E01G190300/Tel4E01G401400/Tel4E01G401900/Tel4E01G402300/Tel4E01G569700/Tel4E01G569800/Tel5E01G632700/Tel5E01G632800/Tel5E01G632900/Tel5E01G634200/Tel5E01G634300/Tel6E01G049200/Tel6E01G049300/Tel6E01G120900/Tel6E01G121000/Tel6E01G121100/Tel6E01G121200/Tel6E01G121400/Tel6E01G132100/Tel6E01G132600/Tel6E01G655800/Tel6E01G655900/Tel6E01G656000/Tel6E01G656100/Tel6E01G656200/Tel6E01G656300/Tel7E01G194500/Tel7E01G194700/Tel7E01G194900/Tel7E01G195100/Tel7E01G195200/Tel7E01G355700/Tel7E01G355800/Tel7E01G356100/Tel7E01G403800/Tel7E01G403900/Tel7E01G575800/Tel7E01G575900/Tel7E01G576100/Tel7E01G576400/Tel7E01G576500/Tel7E01G576600/Tel7E01G576700/Tel7E01G576800/Tel7E01G596100/Tel7E01G596400/Tel7E01G633000/Tel7E01G633100/Tel7E01G633500/Tel7E01G633700/Tel7E01G634100/Tel7E01G635100/Tel7E01G635400/Tel7E01G669200/Tel7E01G669300/Tel7E01G669500/Tel7E01G669800/Tel7E01G670100/Tel7E01G716300/Tel7E01G716600/Tel7E01G763200/Tel7E01G763300/Tel7E01G763400/Tel7E01G808900/Tel7E01G809000/Tel7E01G975200	151
GO:0009611	response to wounding	73/7625	92/27417	0.793478260869565	2.85308766928011	11.0506270776574	1.13577537226056e-24	1.90587209709512e-22	1.61695798467698e-22	Tel1E01G048100/Tel1E01G048300/Tel1E01G055600/Tel1E01G055700/Tel1E01G055800/Tel1E01G055900/Tel1E01G056000/Tel1E01G056100/Tel1E01G056600/Tel1E01G057300/Tel1E01G062400/Tel1E01G062500/Tel1E01G062700/Tel1E01G062800/Tel1E01G063000/Tel1E01G063500/Tel1E01G063900/Tel1E01G064500/Tel1E01G064600/Tel2E01G314600/Tel2E01G314700/Tel2E01G314800/Tel2E01G314900/Tel3E01G008400/Tel3E01G008700/Tel3E01G156500/Tel3E01G156600/Tel3E01G156700/Tel4E01G496900/Tel4E01G497000/Tel4E01G497100/Tel5E01G448900/Tel5E01G449200/Tel6E01G182600/Tel6E01G182700/Tel6E01G183000/Tel6E01G183200/Tel6E01G780800/Tel6E01G780900/Tel6E01G781000/Tel6E01G781100/Tel6E01G781200/Tel6E01G781300/Tel6E01G781400/Tel6E01G781500/Tel6E01G781600/Tel6E01G781700/Tel6E01G781800/Tel6E01G781900/Tel6E01G782000/Tel6E01G782100/Tel6E01G782200/Tel6E01G782300/Tel6E01G782400/Tel6E01G782500/Tel6E01G782600/Tel6E01G782700/Tel6E01G782800/Tel6E01G782900/Tel6E01G783000/Tel6E01G783100/Tel6E01G783700/Tel7E01G219200/Tel7E01G219800/Tel7E01G325800/Tel7E01G325900/Tel7E01G369100/Tel7E01G369300/Tel7E01G369400/Tel7E01G369500/Tel7E01G369600/Tel7E01G369700/Tel7E01G369800	73
GO:0009733	response to auxin	85/7625	115/27417	0.739130434782609	2.65767070563079	11.0567395679938	1.14124077670366e-24	1.90587209709512e-22	1.61695798467698e-22	Tel1E01G657600/Tel1E01G657700/Tel1E01G657800/Tel1E01G657900/Tel1E01G658000/Tel2E01G371900/Tel2E01G372100/Tel2E01G836900/Tel2E01G837000/Tel2E01G837200/Tel2E01G837300/Tel2E01G837400/Tel2E01G837500/Tel2E01G837600/Tel2E01G838100/Tel2E01G838300/Tel2E01G838400/Tel4E01G037400/Tel4E01G037500/Tel4E01G037700/Tel4E01G037800/Tel4E01G038000/Tel5E01G462200/Tel5E01G462300/Tel5E01G462500/Tel5E01G462700/Tel5E01G541600/Tel5E01G541700/Tel5E01G543600/Tel5E01G543800/Tel5E01G544000/Tel5E01G544600/Tel5E01G544700/Tel5E01G544800/Tel5E01G545000/Tel5E01G547000/Tel5E01G547300/Tel5E01G547200/Tel5E01G547400/Tel5E01G549100/Tel5E01G549200/Tel5E01G549300/Tel5E01G549400/Tel5E01G549600/Tel5E01G549800/Tel5E01G549900/Tel5E01G550400/Tel5E01G550500/Tel5E01G550600/Tel5E01G550700/Tel5E01G550800/Tel5E01G550900/Tel5E01G551100/Tel5E01G551300/Tel5E01G551400/Tel5E01G551500/Tel5E01G551800/Tel5E01G551900/Tel5E01G552000/Tel5E01G552100/Tel5E01G552200/Tel6E01G145200/Tel6E01G145700/Tel6E01G252400/Tel6E01G252500/Tel6E01G434300/Tel6E01G434500/Tel6E01G434600/Tel6E01G434800/Tel6E01G579800/Tel6E01G580100/Tel6E01G580300/Tel6E01G580400/Tel7E01G475700/Tel7E01G475800/Tel7E01G475900/Tel7E01G541600/Tel7E01G541700/Tel7E01G702500/Tel7E01G702600/Tel7E01G792600/Tel7E01G792800/Tel7E01G792900/Tel7E01G794000/Tel7E01G794200	85
GO:0005576	extracellular region	130/7625	213/27417	0.610328638497653	2.19454167628723	10.8630518794423	3.31682033687963e-24	4.61590830215749e-22	3.91617559073683e-22	Tel1E01G254400/Tel1E01G254800/Tel1E01G362600/Tel1E01G362700/Tel1E01G362800/Tel1E01G362900/Tel1E01G436500/Tel1E01G436700/Tel1E01G437200/Tel1E01G437300/Tel1E01G437400/Tel1E01G437500/Tel1E01G541400/Tel1E01G541500/Tel2E01G018800/Tel2E01G018900/Tel2E01G019000/Tel2E01G101000/Tel2E01G101100/Tel2E01G135600/Tel2E01G135700/Tel2E01G177400/Tel2E01G177500/Tel2E01G311900/Tel2E01G312100/Tel2E01G312300/Tel2E01G704900/Tel2E01G705100/Tel2E01G705200/Tel3E01G018400/Tel3E01G018600/Tel3E01G018800/Tel3E01G019100/Tel3E01G058500/Tel3E01G058600/Tel3E01G058900/Tel3E01G059000/Tel3E01G067900/Tel3E01G068600/Tel3E01G068700/Tel3E01G069000/Tel3E01G069100/Tel3E01G069200/Tel3E01G069500/Tel3E01G207200/Tel3E01G207300/Tel3E01G208200/Tel3E01G208300/Tel3E01G208400/Tel3E01G208800/Tel3E01G208900/Tel3E01G299600/Tel3E01G299800/Tel3E01G435800/Tel3E01G551300/Tel3E01G551500/Tel3E01G560700/Tel3E01G560900/Tel3E01G594100/Tel3E01G594200/Tel3E01G594600/Tel3E01G594800/Tel3E01G594900/Tel3E01G595000/Tel3E01G595500/Tel3E01G595600/Tel3E01G631900/Tel3E01G632100/Tel3E01G775100/Tel3E01G775200/Tel4E01G223000/Tel4E01G223100/Tel4E01G421100/Tel4E01G421200/Tel4E01G421300/Tel4E01G421400/Tel4E01G456000/Tel4E01G456200/Tel4E01G456300/Tel4E01G456400/Tel4E01G459400/Tel4E01G459500/Tel4E01G459700/Tel4E01G537300/Tel4E01G537700/Tel4E01G537800/Tel4E01G537900/Tel4E01G592400/Tel4E01G593200/Tel4E01G592500/Tel4E01G592600/Tel4E01G602600/Tel4E01G602900/Tel5E01G028600/Tel5E01G325400/Tel5E01G379900/Tel5E01G380200/Tel5E01G458300/Tel5E01G458400/Tel5E01G458600/Tel5E01G672900/Tel5E01G673000/Tel5E01G738800/Tel5E01G738900/Tel5E01G739000/Tel5E01G822600/Tel5E01G822700/Tel5E01G823000/Tel5E01G861800/Tel5E01G861900/Tel6E01G088300/Tel6E01G088500/Tel6E01G088600/Tel6E01G088700/Tel6E01G467000/Tel6E01G467300/Tel6E01G467500/Tel6E01G615300/Tel6E01G615400/Tel6E01G615500/Tel6E01G770700/Tel7E01G186300/Tel7E01G186500/Tel7E01G285500/Tel7E01G285600/Tel7E01G366000/Tel7E01G366100/Tel7E01G618000/Tel7E01G618100/Tel7E01G862000	130
GO:0048544	recognition of pollen	98/7625	146/27417	0.671232876712329	2.41353334830451	10.6294081544281	5.02640489424233e-23	5.99578298098907e-21	5.08687292304525e-21	Tel1E01G032200/Tel1E01G032500/Tel1E01G033900/Tel1E01G035700/Tel1E01G036000/Tel1E01G036500/Tel1E01G537200/Tel1E01G537400/Tel1E01G537500/Tel2E01G017500/Tel2E01G017600/Tel2E01G121200/Tel2E01G121300/Tel2E01G395000/Tel2E01G395200/Tel2E01G395300/Tel2E01G529400/Tel2E01G529700/Tel2E01G529800/Tel2E01G530000/Tel2E01G530200/Tel2E01G637300/Tel2E01G637400/Tel2E01G819100/Tel2E01G819200/Tel2E01G819300/Tel2E01G819500/Tel2E01G820300/Tel2E01G820700/Tel2E01G821300/Tel2E01G822000/Tel2E01G822500/Tel2E01G822700/Tel2E01G822900/Tel2E01G823500/Tel2E01G823600/Tel2E01G824000/Tel2E01G824100/Tel2E01G824400/Tel2E01G907400/Tel2E01G907700/Tel2E01G910200/Tel2E01G911000/Tel2E01G911500/Tel2E01G911800/Tel2E01G912600/Tel2E01G912900/Tel2E01G913000/Tel2E01G913100/Tel2E01G914100/Tel2E01G914400/Tel2E01G914800/Tel2E01G915000/Tel2E01G930600/Tel2E01G930700/Tel3E01G266100/Tel3E01G413400/Tel3E01G515300/Tel3E01G515400/Tel3E01G515500/Tel3E01G638500/Tel3E01G638600/Tel3E01G779800/Tel4E01G060600/Tel4E01G060800/Tel4E01G204300/Tel4E01G204600/Tel4E01G204700/Tel5E01G562300/Tel5E01G562500/Tel5E01G562800/Tel5E01G563100/Tel5E01G563400/Tel5E01G805000/Tel5E01G805200/Tel5E01G826500/Tel6E01G239200/Tel6E01G239400/Tel6E01G703700/Tel6E01G704400/Tel6E01G783900/Tel7E01G263400/Tel7E01G263900/Tel7E01G598900/Tel7E01G649200/Tel7E01G649400/Tel7E01G718900/Tel7E01G720500/Tel7E01G720900/Tel7E01G721400/Tel7E01G771000/Tel7E01G771100/Tel7E01G771400/Tel7E01G772000/Tel7E01G772200/Tel7E01G772300/Tel7E01G772800/Tel7E01G773200	98
GO:0004867	serine-type endopeptidase inhibitor activity	95/7625	140/27417	0.678571428571429	2.43992037470726	10.6018418515375	6.78224220509638e-23	7.07896530156934e-21	6.00585395267087e-21	Tel1E01G048100/Tel1E01G048300/Tel1E01G055600/Tel1E01G055700/Tel1E01G055800/Tel1E01G055900/Tel1E01G056000/Tel1E01G056100/Tel1E01G056600/Tel1E01G057300/Tel1E01G062400/Tel1E01G062500/Tel1E01G062700/Tel1E01G062800/Tel1E01G063000/Tel1E01G063500/Tel1E01G063900/Tel1E01G064500/Tel1E01G064600/Tel1E01G436500/Tel1E01G436700/Tel1E01G437200/Tel1E01G437300/Tel1E01G437400/Tel1E01G437500/Tel2E01G095100/Tel2E01G095200/Tel2E01G314600/Tel2E01G314700/Tel2E01G314800/Tel2E01G314900/Tel3E01G008400/Tel3E01G008700/Tel3E01G067900/Tel3E01G068600/Tel3E01G068700/Tel3E01G069000/Tel3E01G069100/Tel3E01G069200/Tel3E01G069500/Tel3E01G156500/Tel3E01G156600/Tel3E01G156700/Tel4E01G128500/Tel4E01G128700/Tel4E01G539200/Tel4E01G539300/Tel5E01G008900/Tel5E01G448900/Tel5E01G449200/Tel5E01G655000/Tel5E01G655400/Tel5E01G738800/Tel5E01G738900/Tel5E01G739000/Tel6E01G112200/Tel6E01G112900/Tel6E01G113100/Tel6E01G113400/Tel6E01G113600/Tel6E01G113700/Tel6E01G114100/Tel6E01G182600/Tel6E01G182700/Tel6E01G183000/Tel6E01G183200/Tel6E01G780800/Tel6E01G780900/Tel6E01G781000/Tel6E01G781100/Tel6E01G781200/Tel6E01G781300/Tel6E01G781400/Tel6E01G781500/Tel6E01G781600/Tel6E01G781700/Tel6E01G781800/Tel6E01G781900/Tel6E01G782000/Tel6E01G782100/Tel6E01G782200/Tel6E01G782300/Tel6E01G782400/Tel6E01G782500/Tel6E01G782600/Tel6E01G782700/Tel6E01G782800/Tel6E01G782900/Tel6E01G783000/Tel6E01G783100/Tel6E01G783700/Tel7E01G219200/Tel7E01G219800/Tel7E01G325800/Tel7E01G325900	95
GO:0022857	transmembrane transporter activity	218/7625	466/27417	0.467811158798283	1.68209554633082	9.21781226417133	1.26328010759613e-18	1.17204321093641e-16	9.94371359546424e-17	Tel1E01G043900/Tel1E01G044200/Tel1E01G044300/Tel1E01G073100/Tel1E01G073200/Tel1E01G074800/Tel1E01G074900/Tel1E01G279000/Tel1E01G279100/Tel1E01G341600/Tel1E01G341800/Tel1E01G361000/Tel1E01G361200/Tel1E01G425200/Tel1E01G425500/Tel1E01G425700/Tel1E01G425800/Tel1E01G441500/Tel1E01G441600/Tel1E01G441700/Tel1E01G450800/Tel1E01G450900/Tel1E01G451200/Tel1E01G674600/Tel1E01G675000/Tel1E01G675100/Tel2E01G026400/Tel2E01G026500/Tel2E01G026700/Tel2E01G026800/Tel2E01G027000/Tel2E01G027100/Tel2E01G027300/Tel2E01G027600/Tel2E01G027800/Tel2E01G027900/Tel2E01G107800/Tel2E01G107900/Tel2E01G108000/Tel2E01G111000/Tel2E01G111100/Tel2E01G111200/Tel2E01G111300/Tel2E01G368100/Tel2E01G368300/Tel2E01G368500/Tel2E01G368700/Tel2E01G408200/Tel2E01G408300/Tel2E01G562100/Tel2E01G562300/Tel2E01G562700/Tel2E01G563000/Tel2E01G608100/Tel2E01G608300/Tel2E01G608400/Tel2E01G608800/Tel2E01G752900/Tel2E01G753000/Tel2E01G817900/Tel2E01G818100/Tel2E01G818200/Tel2E01G967400/Tel2E01G968200/Tel2E01G1009300/Tel2E01G1009600/Tel2E01G1009900/Tel2E01G1010400/Tel2E01G1010500/Tel2E01G1023300/Tel2E01G1023500/Tel2E01G1057200/Tel2E01G1057300/Tel3E01G082900/Tel3E01G083100/Tel3E01G105000/Tel3E01G105800/Tel3E01G371800/Tel3E01G371900/Tel3E01G491700/Tel3E01G492000/Tel3E01G608800/Tel3E01G608900/Tel3E01G609000/Tel3E01G609200/Tel3E01G609900/Tel3E01G610000/Tel3E01G610100/Tel3E01G610200/Tel3E01G611300/Tel3E01G622800/Tel3E01G622900/Tel3E01G762800/Tel3E01G762900/Tel3E01G778000/Tel3E01G778100/Tel3E01G778300/Tel3E01G778700/Tel4E01G055300/Tel4E01G055400/Tel4E01G203000/Tel4E01G203100/Tel4E01G203200/Tel4E01G203300/Tel4E01G400200/Tel4E01G400400/Tel4E01G400500/Tel4E01G400800/Tel4E01G400900/Tel4E01G445400/Tel4E01G445500/Tel4E01G523800/Tel4E01G524000/Tel4E01G524100/Tel4E01G524200/Tel4E01G541200/Tel4E01G541900/Tel4E01G576700/Tel4E01G577500/Tel5E01G011100/Tel5E01G035500/Tel5E01G035600/Tel5E01G186900/Tel5E01G187000/Tel5E01G245000/Tel5E01G245200/Tel5E01G327700/Tel5E01G327800/Tel5E01G328300/Tel5E01G328400/Tel5E01G361300/Tel5E01G361400/Tel5E01G370400/Tel5E01G370700/Tel5E01G371000/Tel5E01G503100/Tel5E01G503400/Tel5E01G600100/Tel5E01G600200/Tel5E01G645400/Tel5E01G645500/Tel5E01G769500/Tel5E01G769700/Tel5E01G793200/Tel5E01G793400/Tel6E01G036100/Tel6E01G036200/Tel6E01G085100/Tel6E01G085200/Tel6E01G085400/Tel6E01G085500/Tel6E01G085700/Tel6E01G087700/Tel6E01G087800/Tel6E01G089200/Tel6E01G089300/Tel6E01G089400/Tel6E01G089500/Tel6E01G104700/Tel6E01G104800/Tel6E01G493200/Tel6E01G493400/Tel6E01G493600/Tel6E01G493700/Tel6E01G494500/Tel6E01G494600/Tel6E01G581600/Tel6E01G581700/Tel6E01G581800/Tel6E01G581900/Tel6E01G582100/Tel6E01G582200/Tel6E01G582300/Tel6E01G582500/Tel6E01G582600/Tel6E01G660400/Tel6E01G660700/Tel7E01G051400/Tel7E01G051500/Tel7E01G118400/Tel7E01G118600/Tel7E01G146200/Tel7E01G146500/Tel7E01G146600/Tel7E01G185100/Tel7E01G185300/Tel7E01G198500/Tel7E01G198600/Tel7E01G218900/Tel7E01G219000/Tel7E01G219100/Tel7E01G219700/Tel7E01G242600/Tel7E01G242700/Tel7E01G242900/Tel7E01G243000/Tel7E01G646200/Tel7E01G646300/Tel7E01G646400/Tel7E01G646600/Tel7E01G646800/Tel7E01G692200/Tel7E01G692300/Tel7E01G692700/Tel7E01G692800/Tel7E01G692900/Tel7E01G693100/Tel7E01G693300/Tel7E01G704000/Tel7E01G705000/Tel7E01G720000/Tel7E01G720200/Tel7E01G809500/Tel7E01G809700/Tel7E01G812900/Tel7E01G823800/Tel7E01G962000/Tel7E01G962300	218
GO:0030145	manganese ion binding	78/7625	119/27417	0.65546218487395	2.35682711117234	9.20682116310962	1.07391855339612e-17	8.96721992085757e-16	7.6078651203746e-16	Tel1E01G113200/Tel1E01G113300/Tel1E01G113400/Tel2E01G778900/Tel2E01G779000/Tel3E01G021200/Tel3E01G021400/Tel3E01G118000/Tel3E01G118300/Tel3E01G119400/Tel3E01G120100/Tel3E01G794300/Tel3E01G794600/Tel3E01G794700/Tel3E01G794900/Tel3E01G795000/Tel3E01G795500/Tel4E01G020900/Tel4E01G021000/Tel4E01G021100/Tel4E01G021400/Tel4E01G021500/Tel4E01G066600/Tel4E01G066700/Tel4E01G611600/Tel4E01G611700/Tel4E01G611800/Tel4E01G611900/Tel4E01G612000/Tel4E01G612100/Tel4E01G612200/Tel4E01G612300/Tel4E01G612400/Tel4E01G612500/Tel4E01G612600/Tel4E01G612800/Tel4E01G612900/Tel4E01G613000/Tel4E01G613100/Tel4E01G613200/Tel4E01G613300/Tel4E01G613400/Tel4E01G613500/Tel4E01G613600/Tel4E01G613700/Tel4E01G613800/Tel4E01G613900/Tel4E01G614000/Tel4E01G614100/Tel4E01G614300/Tel4E01G614400/Tel4E01G614600/Tel4E01G614700/Tel4E01G615000/Tel4E01G615200/Tel4E01G615400/Tel4E01G615500/Tel4E01G615600/Tel5E01G103500/Tel5E01G103800/Tel5E01G104000/Tel5E01G589400/Tel5E01G589500/Tel6E01G065000/Tel6E01G065200/Tel6E01G065300/Tel6E01G065400/Tel7E01G010000/Tel7E01G010100/Tel7E01G010200/Tel7E01G259100/Tel7E01G259200/Tel7E01G655500/Tel7E01G655700/Tel7E01G739300/Tel7E01G739900/Tel7E01G760700/Tel7E01G760800	78
