ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
GO:0005576	extracellular region	110/2994	176/24698	0.625	5.15572812291249	20.5496119683298	1.71537928044384e-56	1.10813501516672e-53	9.04636862634068e-54	gene:Zm00001eb000370/gene:Zm00001eb000380/gene:Zm00001eb023400/gene:Zm00001eb023420/gene:Zm00001eb023430/gene:Zm00001eb023460/gene:Zm00001eb038960/gene:Zm00001eb038980/gene:Zm00001eb038990/gene:Zm00001eb047360/gene:Zm00001eb047390/gene:Zm00001eb047400/gene:Zm00001eb047410/gene:Zm00001eb047420/gene:Zm00001eb050490/gene:Zm00001eb050500/gene:Zm00001eb406460/gene:Zm00001eb406480/gene:Zm00001eb429650/gene:Zm00001eb429660/gene:Zm00001eb429670/gene:Zm00001eb079730/gene:Zm00001eb079740/gene:Zm00001eb089960/gene:Zm00001eb100570/gene:Zm00001eb100590/gene:Zm00001eb106300/gene:Zm00001eb106310/gene:Zm00001eb127350/gene:Zm00001eb127370/gene:Zm00001eb130150/gene:Zm00001eb130160/gene:Zm00001eb136640/gene:Zm00001eb136650/gene:Zm00001eb144670/gene:Zm00001eb144680/gene:Zm00001eb147120/gene:Zm00001eb147140/gene:Zm00001eb147150/gene:Zm00001eb147160/gene:Zm00001eb165070/gene:Zm00001eb165080/gene:Zm00001eb165100/gene:Zm00001eb165140/gene:Zm00001eb175290/gene:Zm00001eb175310/gene:Zm00001eb175330/gene:Zm00001eb175340/gene:Zm00001eb175360/gene:Zm00001eb175370/gene:Zm00001eb176480/gene:Zm00001eb176490/gene:Zm00001eb237600/gene:Zm00001eb237610/gene:Zm00001eb237620/gene:Zm00001eb237630/gene:Zm00001eb237840/gene:Zm00001eb249590/gene:Zm00001eb249600/gene:Zm00001eb251720/gene:Zm00001eb251730/gene:Zm00001eb251740/gene:Zm00001eb251750/gene:Zm00001eb251760/gene:Zm00001eb251770/gene:Zm00001eb251780/gene:Zm00001eb251790/gene:Zm00001eb251800/gene:Zm00001eb257290/gene:Zm00001eb257300/gene:Zm00001eb257310/gene:Zm00001eb261000/gene:Zm00001eb261030/gene:Zm00001eb261050/gene:Zm00001eb261060/gene:Zm00001eb261070/gene:Zm00001eb261080/gene:Zm00001eb261090/gene:Zm00001eb261110/gene:Zm00001eb278960/gene:Zm00001eb278970/gene:Zm00001eb278980/gene:Zm00001eb283260/gene:Zm00001eb283280/gene:Zm00001eb292170/gene:Zm00001eb292180/gene:Zm00001eb292190/gene:Zm00001eb292210/gene:Zm00001eb299340/gene:Zm00001eb299370/gene:Zm00001eb301490/gene:Zm00001eb301500/gene:Zm00001eb305260/gene:Zm00001eb305270/gene:Zm00001eb305280/gene:Zm00001eb306340/gene:Zm00001eb306350/gene:Zm00001eb311110/gene:Zm00001eb373450/gene:Zm00001eb373460/gene:Zm00001eb391350/gene:Zm00001eb391360/gene:Zm00001eb391370/gene:Zm00001eb391400/gene:Zm00001eb391410/gene:Zm00001eb391450/gene:Zm00001eb391800/gene:Zm00001eb391840/gene:Zm00001eb391870/gene:Zm00001eb391880	110
GO:0019953	sexual reproduction	47/2994	55/24698	0.854545454545454	7.04928645169126	16.680797679312	2.77400458623446e-35	8.96003481353731e-33	7.31461209317614e-33	gene:Zm00001eb000370/gene:Zm00001eb000380/gene:Zm00001eb023400/gene:Zm00001eb023420/gene:Zm00001eb023430/gene:Zm00001eb023460/gene:Zm00001eb050490/gene:Zm00001eb050500/gene:Zm00001eb429650/gene:Zm00001eb429660/gene:Zm00001eb429670/gene:Zm00001eb089960/gene:Zm00001eb130150/gene:Zm00001eb130160/gene:Zm00001eb175290/gene:Zm00001eb175310/gene:Zm00001eb175330/gene:Zm00001eb175340/gene:Zm00001eb175360/gene:Zm00001eb175370/gene:Zm00001eb249590/gene:Zm00001eb249600/gene:Zm00001eb251720/gene:Zm00001eb251730/gene:Zm00001eb251740/gene:Zm00001eb251750/gene:Zm00001eb251760/gene:Zm00001eb251770/gene:Zm00001eb251780/gene:Zm00001eb251790/gene:Zm00001eb251800/gene:Zm00001eb292170/gene:Zm00001eb292180/gene:Zm00001eb292190/gene:Zm00001eb292210/gene:Zm00001eb306340/gene:Zm00001eb306350/gene:Zm00001eb391350/gene:Zm00001eb391360/gene:Zm00001eb391370/gene:Zm00001eb391400/gene:Zm00001eb391410/gene:Zm00001eb391450/gene:Zm00001eb391800/gene:Zm00001eb391840/gene:Zm00001eb391870/gene:Zm00001eb391880	47
GO:0008194	UDP-glycosyltransferase activity	78/2994	171/24698	0.456140350877193	3.76277701602034	13.4647961416841	1.21059541977644e-27	2.60681547058526e-25	2.12809931687016e-25	gene:Zm00001eb020950/gene:Zm00001eb020970/gene:Zm00001eb020980/gene:Zm00001eb057740/gene:Zm00001eb057750/gene:Zm00001eb057770/gene:Zm00001eb057790/gene:Zm00001eb419710/gene:Zm00001eb419720/gene:Zm00001eb074330/gene:Zm00001eb074370/gene:Zm00001eb081210/gene:Zm00001eb081230/gene:Zm00001eb098940/gene:Zm00001eb098950/gene:Zm00001eb102880/gene:Zm00001eb102900/gene:Zm00001eb105610/gene:Zm00001eb105630/gene:Zm00001eb122610/gene:Zm00001eb122620/gene:Zm00001eb122630/gene:Zm00001eb146840/gene:Zm00001eb146850/gene:Zm00001eb146860/gene:Zm00001eb150460/gene:Zm00001eb150470/gene:Zm00001eb153990/gene:Zm00001eb154000/gene:Zm00001eb194060/gene:Zm00001eb194070/gene:Zm00001eb194080/gene:Zm00001eb196550/gene:Zm00001eb204620/gene:Zm00001eb204630/gene:Zm00001eb214550/gene:Zm00001eb214570/gene:Zm00001eb240450/gene:Zm00001eb240460/gene:Zm00001eb240490/gene:Zm00001eb240500/gene:Zm00001eb240520/gene:Zm00001eb240550/gene:Zm00001eb240560/gene:Zm00001eb240590/gene:Zm00001eb245850/gene:Zm00001eb245860/gene:Zm00001eb248110/gene:Zm00001eb248140/gene:Zm00001eb280920/gene:Zm00001eb280930/gene:Zm00001eb280950/gene:Zm00001eb291880/gene:Zm00001eb291890/gene:Zm00001eb293450/gene:Zm00001eb293460/gene:Zm00001eb304010/gene:Zm00001eb304020/gene:Zm00001eb304040/gene:Zm00001eb304050/gene:Zm00001eb304060/gene:Zm00001eb304070/gene:Zm00001eb304120/gene:Zm00001eb318570/gene:Zm00001eb318580/gene:Zm00001eb322190/gene:Zm00001eb322210/gene:Zm00001eb322260/gene:Zm00001eb322270/gene:Zm00001eb323960/gene:Zm00001eb323970/gene:Zm00001eb371280/gene:Zm00001eb371290/gene:Zm00001eb371300/gene:Zm00001eb371350/gene:Zm00001eb386000/gene:Zm00001eb386010/gene:Zm00001eb386120	78
GO:0004601	peroxidase activity	73/2994	184/24698	0.396739130434783	3.27276654758793	11.493035749282	1.62900190693891e-21	2.63083807970635e-19	2.14771040888525e-19	gene:Zm00001eb009930/gene:Zm00001eb009940/gene:Zm00001eb009950/gene:Zm00001eb017930/gene:Zm00001eb017950/gene:Zm00001eb017960/gene:Zm00001eb058250/gene:Zm00001eb058260/gene:Zm00001eb417280/gene:Zm00001eb417290/gene:Zm00001eb417330/gene:Zm00001eb417340/gene:Zm00001eb417350/gene:Zm00001eb076170/gene:Zm00001eb076180/gene:Zm00001eb076190/gene:Zm00001eb076200/gene:Zm00001eb076210/gene:Zm00001eb109910/gene:Zm00001eb109950/gene:Zm00001eb109960/gene:Zm00001eb111420/gene:Zm00001eb111430/gene:Zm00001eb113620/gene:Zm00001eb113650/gene:Zm00001eb130940/gene:Zm00001eb131000/gene:Zm00001eb140290/gene:Zm00001eb140320/gene:Zm00001eb195200/gene:Zm00001eb195210/gene:Zm00001eb226340/gene:Zm00001eb226360/gene:Zm00001eb226370/gene:Zm00001eb226380/gene:Zm00001eb238730/gene:Zm00001eb238740/gene:Zm00001eb238780/gene:Zm00001eb238800/gene:Zm00001eb282410/gene:Zm00001eb282430/gene:Zm00001eb291850/gene:Zm00001eb291860/gene:Zm00001eb298200/gene:Zm00001eb298210/gene:Zm00001eb298220/gene:Zm00001eb328780/gene:Zm00001eb328790/gene:Zm00001eb328800/gene:Zm00001eb328810/gene:Zm00001eb328820/gene:Zm00001eb328830/gene:Zm00001eb328840/gene:Zm00001eb328860/gene:Zm00001eb328870/gene:Zm00001eb330530/gene:Zm00001eb330540/gene:Zm00001eb330550/gene:Zm00001eb330580/gene:Zm00001eb333290/gene:Zm00001eb333300/gene:Zm00001eb340430/gene:Zm00001eb340440/gene:Zm00001eb354680/gene:Zm00001eb354690/gene:Zm00001eb354700/gene:Zm00001eb381290/gene:Zm00001eb381300/gene:Zm00001eb383830/gene:Zm00001eb383860/gene:Zm00001eb383870/gene:Zm00001eb390690/gene:Zm00001eb390710	73
GO:0042744	hydrogen peroxide catabolic process	63/2994	144/24698	0.4375	3.60900968603874	11.6620237148055	2.07290464125054e-21	2.6781927964957e-19	2.18636889529794e-19	gene:Zm00001eb009930/gene:Zm00001eb009940/gene:Zm00001eb009950/gene:Zm00001eb017930/gene:Zm00001eb017950/gene:Zm00001eb017960/gene:Zm00001eb058260/gene:Zm00001eb417280/gene:Zm00001eb417290/gene:Zm00001eb417330/gene:Zm00001eb417340/gene:Zm00001eb417350/gene:Zm00001eb076170/gene:Zm00001eb076180/gene:Zm00001eb076190/gene:Zm00001eb076200/gene:Zm00001eb109910/gene:Zm00001eb109960/gene:Zm00001eb111420/gene:Zm00001eb130940/gene:Zm00001eb131000/gene:Zm00001eb140320/gene:Zm00001eb195200/gene:Zm00001eb195210/gene:Zm00001eb226360/gene:Zm00001eb226370/gene:Zm00001eb226380/gene:Zm00001eb238730/gene:Zm00001eb238740/gene:Zm00001eb238800/gene:Zm00001eb282410/gene:Zm00001eb282430/gene:Zm00001eb291850/gene:Zm00001eb291860/gene:Zm00001eb298200/gene:Zm00001eb298210/gene:Zm00001eb298220/gene:Zm00001eb328780/gene:Zm00001eb328790/gene:Zm00001eb328800/gene:Zm00001eb328810/gene:Zm00001eb328820/gene:Zm00001eb328830/gene:Zm00001eb328840/gene:Zm00001eb328860/gene:Zm00001eb328870/gene:Zm00001eb330530/gene:Zm00001eb330540/gene:Zm00001eb330550/gene:Zm00001eb330580/gene:Zm00001eb333290/gene:Zm00001eb333300/gene:Zm00001eb340430/gene:Zm00001eb340440/gene:Zm00001eb354680/gene:Zm00001eb354690/gene:Zm00001eb381290/gene:Zm00001eb381300/gene:Zm00001eb383830/gene:Zm00001eb383860/gene:Zm00001eb383870/gene:Zm00001eb390690/gene:Zm00001eb390710	63
GO:0035251	UDP-glucosyltransferase activity	47/2994	90/24698	0.522222222222222	4.30789727603355	11.6765143823415	2.78290134111356e-20	2.99625711059893e-18	2.44602381034718e-18	gene:Zm00001eb098940/gene:Zm00001eb098950/gene:Zm00001eb105610/gene:Zm00001eb105630/gene:Zm00001eb122610/gene:Zm00001eb122620/gene:Zm00001eb122630/gene:Zm00001eb146840/gene:Zm00001eb146850/gene:Zm00001eb146860/gene:Zm00001eb153990/gene:Zm00001eb154000/gene:Zm00001eb240450/gene:Zm00001eb240460/gene:Zm00001eb240490/gene:Zm00001eb240500/gene:Zm00001eb240510/gene:Zm00001eb240520/gene:Zm00001eb240550/gene:Zm00001eb240560/gene:Zm00001eb240590/gene:Zm00001eb240540/gene:Zm00001eb240580/gene:Zm00001eb245850/gene:Zm00001eb245870/gene:Zm00001eb280920/gene:Zm00001eb280930/gene:Zm00001eb280950/gene:Zm00001eb291880/gene:Zm00001eb291890/gene:Zm00001eb293440/gene:Zm00001eb293450/gene:Zm00001eb293460/gene:Zm00001eb322190/gene:Zm00001eb322210/gene:Zm00001eb322260/gene:Zm00001eb322270/gene:Zm00001eb323960/gene:Zm00001eb323970/gene:Zm00001eb352700/gene:Zm00001eb352710/gene:Zm00001eb371280/gene:Zm00001eb371290/gene:Zm00001eb371300/gene:Zm00001eb371350/gene:Zm00001eb386070/gene:Zm00001eb386120	47
GO:0006979	response to oxidative stress	71/2994	187/24698	0.379679144385027	3.13203590782278	10.8695837118399	1.08809496079157e-19	1.00415620667336e-17	8.19752744897104e-18	gene:Zm00001eb009930/gene:Zm00001eb009940/gene:Zm00001eb009950/gene:Zm00001eb017930/gene:Zm00001eb017950/gene:Zm00001eb017960/gene:Zm00001eb058250/gene:Zm00001eb058260/gene:Zm00001eb417280/gene:Zm00001eb417290/gene:Zm00001eb417330/gene:Zm00001eb417340/gene:Zm00001eb417350/gene:Zm00001eb076170/gene:Zm00001eb076180/gene:Zm00001eb076190/gene:Zm00001eb076200/gene:Zm00001eb076210/gene:Zm00001eb109910/gene:Zm00001eb109950/gene:Zm00001eb109960/gene:Zm00001eb111420/gene:Zm00001eb111430/gene:Zm00001eb130940/gene:Zm00001eb131000/gene:Zm00001eb140290/gene:Zm00001eb140320/gene:Zm00001eb195200/gene:Zm00001eb195210/gene:Zm00001eb226340/gene:Zm00001eb226360/gene:Zm00001eb226370/gene:Zm00001eb226380/gene:Zm00001eb238730/gene:Zm00001eb238740/gene:Zm00001eb238780/gene:Zm00001eb238800/gene:Zm00001eb282410/gene:Zm00001eb282430/gene:Zm00001eb291850/gene:Zm00001eb291860/gene:Zm00001eb298200/gene:Zm00001eb298210/gene:Zm00001eb298220/gene:Zm00001eb328780/gene:Zm00001eb328790/gene:Zm00001eb328800/gene:Zm00001eb328810/gene:Zm00001eb328820/gene:Zm00001eb328830/gene:Zm00001eb328840/gene:Zm00001eb328860/gene:Zm00001eb328870/gene:Zm00001eb330530/gene:Zm00001eb330540/gene:Zm00001eb330550/gene:Zm00001eb330580/gene:Zm00001eb333290/gene:Zm00001eb333300/gene:Zm00001eb340430/gene:Zm00001eb340440/gene:Zm00001eb354680/gene:Zm00001eb354690/gene:Zm00001eb354700/gene:Zm00001eb381290/gene:Zm00001eb381300/gene:Zm00001eb383830/gene:Zm00001eb383860/gene:Zm00001eb383870/gene:Zm00001eb390690/gene:Zm00001eb390710	71
GO:0007346	regulation of mitotic cell cycle	28/2994	36/24698	0.777777777777778	6.41601721962443	12.0780062120328	2.21072327091552e-19	1.78515904126428e-17	1.45733205095878e-17	gene:Zm00001eb052350/gene:Zm00001eb052360/gene:Zm00001eb052370/gene:Zm00001eb052380/gene:Zm00001eb052390/gene:Zm00001eb052400/gene:Zm00001eb052410/gene:Zm00001eb052420/gene:Zm00001eb052430/gene:Zm00001eb217660/gene:Zm00001eb217670/gene:Zm00001eb217680/gene:Zm00001eb217690/gene:Zm00001eb217700/gene:Zm00001eb217710/gene:Zm00001eb217720/gene:Zm00001eb217730/gene:Zm00001eb296880/gene:Zm00001eb296920/gene:Zm00001eb349560/gene:Zm00001eb349570/gene:Zm00001eb349580/gene:Zm00001eb349600/gene:Zm00001eb349610/gene:Zm00001eb374310/gene:Zm00001eb374320/gene:Zm00001eb381660/gene:Zm00001eb381720	28
GO:0004497	monooxygenase activity	94/2994	334/24698	0.281437125748503	2.32162128648515	9.03200296353376	1.68139538367141e-15	1.20686824205748e-13	9.85238698502194e-14	gene:Zm00001eb003230/gene:Zm00001eb003240/gene:Zm00001eb003290/gene:Zm00001eb008980/gene:Zm00001eb009010/gene:Zm00001eb017620/gene:Zm00001eb017640/gene:Zm00001eb018030/gene:Zm00001eb018040/gene:Zm00001eb043620/gene:Zm00001eb043630/gene:Zm00001eb058050/gene:Zm00001eb058060/gene:Zm00001eb058070/gene:Zm00001eb058100/gene:Zm00001eb058110/gene:Zm00001eb058640/gene:Zm00001eb058670/gene:Zm00001eb404760/gene:Zm00001eb404780/gene:Zm00001eb419010/gene:Zm00001eb419040/gene:Zm00001eb420860/gene:Zm00001eb420870/gene:Zm00001eb073640/gene:Zm00001eb073650/gene:Zm00001eb078290/gene:Zm00001eb078320/gene:Zm00001eb078340/gene:Zm00001eb100200/gene:Zm00001eb100210/gene:Zm00001eb100220/gene:Zm00001eb103380/gene:Zm00001eb103390/gene:Zm00001eb110040/gene:Zm00001eb110050/gene:Zm00001eb124640/gene:Zm00001eb124660/gene:Zm00001eb159210/gene:Zm00001eb159220/gene:Zm00001eb159250/gene:Zm00001eb159260/gene:Zm00001eb159280/gene:Zm00001eb159290/gene:Zm00001eb159320/gene:Zm00001eb165550/gene:Zm00001eb165560/gene:Zm00001eb165580/gene:Zm00001eb165620/gene:Zm00001eb168680/gene:Zm00001eb168690/gene:Zm00001eb168700/gene:Zm00001eb168710/gene:Zm00001eb170560/gene:Zm00001eb170580/gene:Zm00001eb177890/gene:Zm00001eb177900/gene:Zm00001eb214390/gene:Zm00001eb214400/gene:Zm00001eb214410/gene:Zm00001eb214420/gene:Zm00001eb218960/gene:Zm00001eb218970/gene:Zm00001eb219290/gene:Zm00001eb219330/gene:Zm00001eb222660/gene:Zm00001eb222680/gene:Zm00001eb234450/gene:Zm00001eb234470/gene:Zm00001eb234530/gene:Zm00001eb234560/gene:Zm00001eb253750/gene:Zm00001eb253760/gene:Zm00001eb275410/gene:Zm00001eb275420/gene:Zm00001eb278380/gene:Zm00001eb278390/gene:Zm00001eb339110/gene:Zm00001eb339120/gene:Zm00001eb339130/gene:Zm00001eb339150/gene:Zm00001eb339170/gene:Zm00001eb358750/gene:Zm00001eb358770/gene:Zm00001eb358780/gene:Zm00001eb358800/gene:Zm00001eb371550/gene:Zm00001eb371580/gene:Zm00001eb385070/gene:Zm00001eb385100/gene:Zm00001eb394140/gene:Zm00001eb394150/gene:Zm00001eb394210/gene:Zm00001eb394220	94
GO:0004364	glutathione transferase activity	38/2994	79/24698	0.481012658227848	3.96795278320354	9.81326298205361	3.85640312847916e-15	2.49123642099754e-13	2.03374522880848e-13	gene:Zm00001eb002780/gene:Zm00001eb002790/gene:Zm00001eb002800/gene:Zm00001eb002810/gene:Zm00001eb012910/gene:Zm00001eb012920/gene:Zm00001eb012930/gene:Zm00001eb021590/gene:Zm00001eb021600/gene:Zm00001eb021610/gene:Zm00001eb021620/gene:Zm00001eb021630/gene:Zm00001eb021640/gene:Zm00001eb021650/gene:Zm00001eb021690/gene:Zm00001eb021710/gene:Zm00001eb022480/gene:Zm00001eb022540/gene:Zm00001eb022550/gene:Zm00001eb022570/gene:Zm00001eb132220/gene:Zm00001eb132230/gene:Zm00001eb141020/gene:Zm00001eb141010/gene:Zm00001eb141030/gene:Zm00001eb141040/gene:Zm00001eb141060/gene:Zm00001eb141080/gene:Zm00001eb156100/gene:Zm00001eb156130/gene:Zm00001eb156150/gene:Zm00001eb156190/gene:Zm00001eb402630/gene:Zm00001eb402640/gene:Zm00001eb404560/gene:Zm00001eb404570/gene:Zm00001eb404580/gene:Zm00001eb404590	38
