ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
GO:0020037	heme binding	201/3016	495/25607	0.406060606060606	3.44761072261072	20.091997091441	2.64966190963752e-61	1.52885492186085e-58	1.20768800723478e-58	Zla01G003790/Zla01G011580/Zla01G011590/Zla01G014330/Zla01G014340/Zla01G016620/Zla01G016630/Zla01G020330/Zla01G020350/Zla01G020360/Zla01G021140/Zla01G021150/Zla01G022070/Zla01G022090/Zla01G023350/Zla01G023360/Zla01G023370/Zla01G033690/Zla01G033700/Zla01G033710/Zla01G033720/Zla01G033740/Zla02G009050/Zla02G009070/Zla02G010080/Zla02G010090/Zla02G011400/Zla02G011420/Zla02G011430/Zla02G011440/Zla02G011460/Zla02G012360/Zla02G012370/Zla02G016980/Zla02G016990/Zla02G017000/Zla02G017010/Zla02G017020/Zla02G017030/Zla02G017040/Zla02G017050/Zla02G017060/Zla02G017080/Zla02G017090/Zla02G032870/Zla02G032880/Zla02G032890/Zla03G006020/Zla03G006030/Zla03G008000/Zla03G008010/Zla03G008020/Zla03G008030/Zla03G012340/Zla03G012370/Zla03G012680/Zla03G012690/Zla03G018380/Zla03G018390/Zla04G016340/Zla04G016350/Zla04G017810/Zla04G017820/Zla04G017830/Zla04G017840/Zla04G017850/Zla04G017860/Zla04G020620/Zla04G020630/Zla04G020650/Zla04G025160/Zla04G025170/Zla05G000350/Zla05G000360/Zla05G000380/Zla05G000410/Zla05G006080/Zla05G006100/Zla05G006110/Zla05G012190/Zla05G012200/Zla05G012210/Zla05G012230/Zla05G014340/Zla05G014350/Zla05G014360/Zla05G014370/Zla05G014380/Zla05G014390/Zla05G020810/Zla05G020820/Zla05G020840/Zla05G021220/Zla05G021230/Zla05G021370/Zla05G021380/Zla05G025690/Zla05G025700/Zla05G025710/Zla05G026850/Zla05G026860/Zla06G016780/Zla06G016790/Zla06G016800/Zla07G000350/Zla07G000360/Zla07G000370/Zla07G008590/Zla07G008640/Zla08G006180/Zla08G006190/Zla08G009010/Zla08G009030/Zla08G009770/Zla08G009780/Zla08G009800/Zla08G012880/Zla08G012900/Zla08G012930/Zla09G000530/Zla09G000540/Zla09G004620/Zla09G004630/Zla09G005580/Zla09G005600/Zla09G011160/Zla09G011170/Zla09G011180/Zla09G011220/Zla09G011230/Zla09G013990/Zla09G014010/Zla09G015010/Zla09G015020/Zla10G000330/Zla10G000340/Zla10G003570/Zla10G003580/Zla10G003610/Zla10G003650/Zla10G004730/Zla10G004740/Zla10G005390/Zla10G005400/Zla10G005420/Zla10G007850/Zla10G007900/Zla10G016370/Zla11G000890/Zla11G000920/Zla11G004460/Zla11G004470/Zla11G004480/Zla11G004490/Zla11G004500/Zla11G016450/Zla11G016460/Zla12G010030/Zla12G010050/Zla12G010200/Zla12G010210/Zla13G008460/Zla13G008470/Zla13G012640/Zla13G012650/Zla13G015280/Zla13G015290/Zla13G015300/Zla13G015310/Zla13G015320/Zla13G015330/Zla13G015340/Zla14G006450/Zla14G006460/Zla14G011650/Zla14G011670/Zla15G001890/Zla15G001900/Zla15G001910/Zla15G001930/Zla15G007080/Zla15G007090/Zla15G007100/Zla15G007660/Zla15G007680/Zla16G000880/Zla16G000900/Zla16G000910/Zla16G000920/Zla16G002580/Zla16G002590/Zla16G002780/Zla16G002820/Zla16G002830/Zla16G002850/Zla16G002860/Zla16G008600/Zla16G008620/Zla17G011850/Zla17G011860/Zla17G011870	201
GO:0043531	ADP binding	86/3016	161/25607	0.53416149068323	4.53523650262781	16.4414630509936	6.56927089465071e-38	1.89523465310673e-35	1.49710226178093e-35	Zla01G025030/Zla01G025040/Zla01G028620/Zla01G028630/Zla02G021090/Zla02G021100/Zla02G021110/Zla02G021120/Zla02G021130/Zla04G006140/Zla04G006170/Zla04G028570/Zla04G028580/Zla04G028600/Zla04G028620/Zla04G028650/Zla06G013790/Zla06G013830/Zla06G013840/Zla06G013850/Zla06G013860/Zla06G013870/Zla06G013880/Zla08G010010/Zla08G010020/Zla08G010040/Zla10G000690/Zla10G000700/Zla11G013780/Zla11G013830/Zla12G000070/Zla12G000080/Zla12G000110/Zla12G000130/Zla12G000170/Zla12G000140/Zla12G000180/Zla12G001190/Zla12G001230/Zla12G001660/Zla12G001670/Zla12G001710/Zla12G003490/Zla12G003510/Zla12G003520/Zla12G006210/Zla12G006220/Zla12G006230/Zla12G006400/Zla12G006410/Zla12G006420/Zla12G006440/Zla12G012580/Zla12G012610/Zla12G014920/Zla12G014930/Zla12G014940/Zla12G016380/Zla12G016390/Zla12G016400/Zla12G016410/Zla12G016420/Zla13G008130/Zla13G008140/Zla14G002880/Zla14G002900/Zla14G009250/Zla14G009260/Zla14G010140/Zla14G010150/Zla15G001640/Zla15G005150/Zla15G005200/Zla15G009840/Zla15G009850/Zla15G009860/Zla15G009900/Zla15G009910/Zla16G007910/Zla16G007920/Zla17G005960/Zla17G005980/Zla17G006460/Zla17G006470/Zla17G006490/Zla17G006500	86
GO:0030247	polysaccharide binding	60/3016	83/25607	0.72289156626506	6.13762743280816	17.1295556306233	1.24259455528545e-37	2.38992352799901e-35	1.88787172785473e-35	Zla01G023390/Zla01G023400/Zla01G023500/Zla01G023520/Zla02G000640/Zla02G000650/Zla02G001570/Zla02G001610/Zla02G001620/Zla02G019720/Zla02G019740/Zla02G019750/Zla04G015100/Zla04G015120/Zla04G015140/Zla04G015150/Zla04G015160/Zla04G015170/Zla04G015180/Zla07G017550/Zla07G017560/Zla07G017580/Zla07G017590/Zla07G017610/Zla08G015490/Zla08G015500/Zla08G015790/Zla08G015800/Zla08G015820/Zla08G015850/Zla08G015860/Zla10G017100/Zla10G017110/Zla10G017120/Zla10G017140/Zla10G020230/Zla11G017620/Zla11G017630/Zla11G017640/Zla12G016770/Zla12G016800/Zla12G016910/Zla12G016940/Zla12G016980/Zla14G000610/Zla14G000630/Zla14G005190/Zla14G005200/Zla14G005210/Zla14G005220/Zla14G005230/Zla14G005260/Zla14G005270/Zla14G005290/Zla14G005300/Zla14G005330/Zla14G005340/Zla14G005350/Zla14G005360/Zla14G005390	60
GO:0005576	extracellular region	90/3016	185/25607	0.486486486486487	4.13045738045738	15.6137641112502	2.18525310410512e-35	3.15222760267163e-33	2.49003840546715e-33	Zla01G016730/Zla01G016740/Zla01G017740/Zla01G017750/Zla01G017760/Zla01G017770/Zla02G001050/Zla02G001060/Zla02G001350/Zla02G001360/Zla02G011030/Zla02G011060/Zla02G012780/Zla02G012800/Zla02G012810/Zla02G027770/Zla02G027790/Zla02G029600/Zla02G029610/Zla03G015350/Zla03G015360/Zla03G015370/Zla03G020060/Zla03G020070/Zla03G020080/Zla03G020090/Zla04G004970/Zla04G004980/Zla04G014840/Zla04G014850/Zla04G014860/Zla04G019560/Zla04G019570/Zla04G026200/Zla04G026210/Zla05G016500/Zla05G016510/Zla05G016520/Zla05G016530/Zla05G016540/Zla05G016550/Zla05G024900/Zla05G024910/Zla05G024920/Zla06G010710/Zla06G010720/Zla07G014110/Zla07G014130/Zla08G008800/Zla08G008810/Zla08G017170/Zla08G017180/Zla08G023490/Zla08G023500/Zla08G023510/Zla08G023520/Zla09G021110/Zla09G021120/Zla11G010850/Zla11G010860/Zla11G010880/Zla11G013060/Zla11G013070/Zla12G006280/Zla12G006330/Zla12G017010/Zla12G017020/Zla12G017030/Zla14G006280/Zla14G006290/Zla15G006470/Zla15G006480/Zla15G008020/Zla15G008030/Zla15G008040/Zla16G006370/Zla16G006380/Zla16G006390/Zla16G006400/Zla16G006410/Zla16G012740/Zla16G012750/Zla16G012760/Zla16G012790/Zla16G012810/Zla16G012840/Zla16G012860/Zla16G012880/Zla17G010210/Zla17G010220	90
GO:0004497	monooxygenase activity	116/3016	292/25607	0.397260273972603	3.37289251844046	14.9004484149691	1.24667788455441e-34	1.43866627877579e-32	1.1364453137096e-32	Zla01G003790/Zla01G020330/Zla01G020350/Zla01G020360/Zla01G021140/Zla01G021150/Zla01G022070/Zla01G022090/Zla01G033690/Zla01G033700/Zla01G033710/Zla01G033720/Zla01G033740/Zla02G009050/Zla02G009070/Zla02G009410/Zla02G009420/Zla02G009430/Zla02G009440/Zla02G016980/Zla02G016990/Zla02G017000/Zla02G017010/Zla02G017020/Zla02G017030/Zla02G017040/Zla02G017050/Zla02G017060/Zla02G017080/Zla02G017090/Zla03G006020/Zla03G006030/Zla03G008000/Zla03G008010/Zla03G008020/Zla03G008030/Zla03G012340/Zla03G012370/Zla03G018380/Zla03G018390/Zla04G017810/Zla04G017820/Zla04G017830/Zla04G017840/Zla04G017850/Zla04G017860/Zla04G025160/Zla04G025170/Zla05G000350/Zla05G000360/Zla05G006080/Zla05G006100/Zla05G006110/Zla05G012190/Zla05G012200/Zla05G012210/Zla05G012230/Zla05G021370/Zla05G021380/Zla05G025690/Zla05G025700/Zla05G025710/Zla07G014240/Zla07G014250/Zla08G009010/Zla08G009030/Zla08G009770/Zla08G009780/Zla08G009800/Zla08G012880/Zla08G012900/Zla08G012930/Zla09G000530/Zla09G000540/Zla09G005580/Zla09G005600/Zla09G011220/Zla09G011230/Zla09G015010/Zla09G015020/Zla10G000330/Zla10G000340/Zla10G003570/Zla10G003580/Zla10G003610/Zla10G003650/Zla10G004730/Zla10G004740/Zla10G007850/Zla10G007900/Zla11G000890/Zla11G000920/Zla11G004460/Zla11G004470/Zla11G004480/Zla11G004490/Zla11G004500/Zla11G016450/Zla11G016460/Zla12G005760/Zla12G005770/Zla12G010200/Zla12G010210/Zla13G012640/Zla13G012650/Zla14G006450/Zla14G006460/Zla14G011650/Zla14G011670/Zla16G002780/Zla16G002820/Zla16G002830/Zla16G002850/Zla16G002860/Zla16G008600/Zla16G008620	116
GO:0007166	cell surface receptor signaling pathway	58/3016	91/25607	0.637362637362637	5.4114539306847	15.4033420304057	1.00032925933519e-31	9.61983304394007e-30	7.5989924437217e-30	Zla01G023400/Zla01G023500/Zla01G023520/Zla07G005310/Zla07G005320/Zla07G005330/Zla07G017550/Zla07G017560/Zla07G017580/Zla07G017590/Zla08G015480/Zla08G015490/Zla08G015500/Zla08G015790/Zla08G015800/Zla08G015820/Zla08G015850/Zla08G015860/Zla10G017100/Zla10G017110/Zla10G017120/Zla10G017140/Zla10G020230/Zla11G017620/Zla11G017630/Zla11G017640/Zla12G016170/Zla12G016180/Zla12G016200/Zla12G016210/Zla12G016250/Zla12G016260/Zla12G016270/Zla12G016290/Zla12G016300/Zla12G016770/Zla12G016800/Zla12G016910/Zla12G016940/Zla12G016980/Zla14G000610/Zla14G000630/Zla14G005190/Zla14G005200/Zla14G005210/Zla14G005220/Zla14G005230/Zla14G005260/Zla14G005270/Zla14G005290/Zla14G005300/Zla14G005330/Zla14G005340/Zla14G005350/Zla14G005360/Zla14G005390/Zla15G002040/Zla15G002080	58
GO:0016705	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen	111/3016	292/25607	0.38013698630137	3.22750922023182	13.9875219682291	3.64916554219007e-31	3.00795502549096e-29	2.3760732026591e-29	Zla01G003790/Zla01G020330/Zla01G020350/Zla01G020360/Zla01G021140/Zla01G021150/Zla01G022070/Zla01G022090/Zla01G033690/Zla01G033700/Zla01G033710/Zla01G033720/Zla01G033740/Zla02G003980/Zla02G009050/Zla02G009070/Zla02G016980/Zla02G016990/Zla02G017000/Zla02G017010/Zla02G017020/Zla02G017030/Zla02G017040/Zla02G017050/Zla02G017060/Zla02G017080/Zla02G017090/Zla03G006020/Zla03G006030/Zla03G008000/Zla03G008010/Zla03G008020/Zla03G008030/Zla03G012340/Zla03G012370/Zla03G018380/Zla03G018390/Zla04G017810/Zla04G017820/Zla04G017830/Zla04G017840/Zla04G017850/Zla04G017860/Zla04G025160/Zla04G025170/Zla05G000350/Zla05G000360/Zla05G002610/Zla05G002620/Zla05G006080/Zla05G006100/Zla05G006110/Zla05G012190/Zla05G012200/Zla05G012210/Zla05G012230/Zla05G021370/Zla05G021380/Zla05G025690/Zla05G025700/Zla05G025710/Zla08G009010/Zla08G009030/Zla08G009770/Zla08G009780/Zla08G009800/Zla08G012880/Zla08G012900/Zla08G012930/Zla09G000530/Zla09G000540/Zla09G005580/Zla09G005600/Zla09G011220/Zla09G011230/Zla09G015010/Zla09G015020/Zla10G000330/Zla10G000340/Zla10G003570/Zla10G003580/Zla10G003610/Zla10G003650/Zla10G004730/Zla10G004740/Zla10G007850/Zla10G007900/Zla11G000890/Zla11G000920/Zla11G004460/Zla11G004470/Zla11G004480/Zla11G004490/Zla11G004500/Zla11G016450/Zla11G016460/Zla12G010200/Zla12G010210/Zla13G012640/Zla13G012650/Zla14G006450/Zla14G006460/Zla14G011650/Zla14G011670/Zla16G002780/Zla16G002820/Zla16G002830/Zla16G002850/Zla16G002860/Zla16G008600/Zla16G008620	111
GO:0004674	protein serine/threonine kinase activity	152/3016	491/25607	0.309572301425662	2.62838790537365	13.3119656504532	1.98370336362852e-30	1.43074605101707e-28	1.1301888900673e-28	Zla01G011010/Zla01G011020/Zla01G023400/Zla01G023500/Zla01G023520/Zla02G018750/Zla02G018760/Zla02G018810/Zla02G018820/Zla02G018830/Zla02G018840/Zla02G024160/Zla02G024170/Zla02G024180/Zla02G024190/Zla02G029280/Zla02G029290/Zla02G029320/Zla02G029340/Zla03G012100/Zla03G012110/Zla04G010350/Zla04G010360/Zla04G018760/Zla04G018770/Zla04G026640/Zla04G026650/Zla04G026660/Zla04G031310/Zla04G031330/Zla05G004290/Zla05G004300/Zla06G004750/Zla06G014080/Zla06G014090/Zla06G014100/Zla06G014110/Zla07G003370/Zla07G003380/Zla07G003390/Zla07G003400/Zla07G003410/Zla07G005310/Zla07G005320/Zla07G005330/Zla07G015710/Zla07G015750/Zla07G017550/Zla07G017560/Zla07G017580/Zla07G017590/Zla08G015480/Zla08G015490/Zla08G015500/Zla08G015790/Zla08G015800/Zla08G015820/Zla08G015850/Zla08G015860/Zla10G017100/Zla10G017110/Zla10G017120/Zla10G017140/Zla10G020230/Zla11G012880/Zla11G012920/Zla11G013030/Zla11G013050/Zla11G013960/Zla11G013970/Zla11G013990/Zla11G014000/Zla11G014450/Zla11G014460/Zla11G014470/Zla11G017620/Zla11G017630/Zla11G017640/Zla12G008230/Zla12G008240/Zla12G016250/Zla12G016260/Zla12G016290/Zla12G016770/Zla12G016800/Zla12G016910/Zla12G016940/Zla12G016980/Zla13G011320/Zla13G011350/Zla14G000610/Zla14G000630/Zla14G005190/Zla14G005200/Zla14G005210/Zla14G005220/Zla14G005230/Zla14G005260/Zla14G005270/Zla14G005290/Zla14G005300/Zla14G005330/Zla14G005340/Zla14G005350/Zla14G005360/Zla14G005390/Zla14G007560/Zla14G007570/Zla15G006270/Zla15G006280/Zla16G000850/Zla16G000860/Zla16G005620/Zla16G005630/Zla16G005720/Zla16G005730/Zla16G005740/Zla16G006040/Zla16G006050/Zla16G006110/Zla16G006130/Zla16G006140/Zla16G006150/Zla16G006190/Zla16G006260/Zla16G006270/Zla16G006280/Zla16G006300/Zla16G006320/Zla16G006350/Zla16G006360/Zla17G001640/Zla17G001650/Zla17G001700/Zla17G006740/Zla17G006750/Zla17G006760/Zla17G006770/Zla17G006780/Zla17G006790/Zla17G006830/Zla17G006870/Zla17G006880/Zla17G006890/Zla17G006900/Zla17G006910/Zla17G006920/Zla17G007200/Zla17G007220/Zla17G007230/Zla17G011880/Zla17G011890	152
GO:0006979	response to oxidative stress	88/3016	204/25607	0.431372549019608	3.66251885369532	13.950317203861	1.02907152718978e-29	6.5561662262708e-28	5.17891083822905e-28	Zla01G011580/Zla01G011590/Zla01G014330/Zla01G014340/Zla01G016620/Zla01G016630/Zla01G023350/Zla01G023360/Zla01G023370/Zla02G010080/Zla02G010090/Zla02G011400/Zla02G011420/Zla02G011430/Zla02G011440/Zla02G011460/Zla02G012360/Zla02G012370/Zla02G032870/Zla02G032880/Zla02G032890/Zla03G012680/Zla03G012690/Zla04G016340/Zla04G016350/Zla04G020620/Zla04G020630/Zla04G020650/Zla05G000380/Zla05G000410/Zla05G014340/Zla05G014350/Zla05G014360/Zla05G014370/Zla05G014380/Zla05G014390/Zla05G020810/Zla05G020820/Zla05G020840/Zla05G026850/Zla05G026860/Zla06G016780/Zla06G016790/Zla06G016800/Zla07G000350/Zla07G000360/Zla07G000370/Zla07G008590/Zla07G008640/Zla08G006180/Zla08G006190/Zla09G004620/Zla09G004630/Zla09G011160/Zla09G011170/Zla09G011180/Zla10G005390/Zla10G005400/Zla10G005420/Zla12G010030/Zla12G010050/Zla13G008460/Zla13G008470/Zla13G015280/Zla13G015290/Zla13G015300/Zla13G015310/Zla13G015320/Zla13G015330/Zla13G015340/Zla15G001890/Zla15G001900/Zla15G001910/Zla15G001930/Zla15G007080/Zla15G007090/Zla15G007100/Zla15G007660/Zla15G007680/Zla16G000880/Zla16G000900/Zla16G000910/Zla16G000920/Zla16G002580/Zla16G002590/Zla17G011850/Zla17G011860/Zla17G011870	88
GO:0042744	hydrogen peroxide catabolic process	80/3016	173/25607	0.46242774566474	3.9261894175189	14.1103233093652	1.13625064580083e-29	6.5561662262708e-28	5.17891083822905e-28	Zla01G011580/Zla01G011590/Zla01G014330/Zla01G014340/Zla01G016620/Zla01G016630/Zla01G023350/Zla01G023360/Zla01G023370/Zla02G010080/Zla02G010090/Zla02G011400/Zla02G011430/Zla02G011440/Zla02G011460/Zla02G012360/Zla02G012370/Zla02G032870/Zla02G032880/Zla02G032890/Zla03G012680/Zla03G012690/Zla04G016340/Zla04G016350/Zla04G020620/Zla04G020630/Zla04G020650/Zla05G014340/Zla05G014350/Zla05G014360/Zla05G014370/Zla05G014380/Zla05G014390/Zla05G020810/Zla05G020820/Zla05G020840/Zla05G026850/Zla05G026860/Zla06G016780/Zla06G016790/Zla06G016800/Zla07G000350/Zla07G000360/Zla08G006180/Zla08G006190/Zla09G004620/Zla09G004630/Zla09G011160/Zla09G011170/Zla09G011180/Zla10G005390/Zla10G005400/Zla10G005420/Zla12G010030/Zla12G010050/Zla13G008460/Zla13G008470/Zla13G015280/Zla13G015290/Zla13G015300/Zla13G015310/Zla13G015320/Zla13G015340/Zla15G001890/Zla15G001900/Zla15G001910/Zla15G001930/Zla15G007080/Zla15G007090/Zla15G007100/Zla15G007660/Zla15G007680/Zla16G000880/Zla16G000900/Zla16G000910/Zla16G000920/Zla16G002580/Zla16G002590/Zla17G011850/Zla17G011870	80
