Depth	Species	Cluster_length	Cluster_number
1	A. aequalis	2	3051
1	A. aequalis	3	915
1	A. aequalis	4	430
1	A. aequalis	5	209
1	A. aequalis	6	134
1	A. aequalis	7	81
1	A. aequalis	8	49
1	A. aequalis	9	32
1	A. aequalis	10	29
1	A. aequalis	11	12
1	A. aequalis	12	8
1	A. aequalis	13	7
1	A. aequalis	14	7
1	A. aequalis	15	2
1	A. aequalis	16	1
1	A. aequalis	17	2
1	A. aequalis	18	1
1	A. aequalis	19	3
1	A. aequalis	20	4
1	A. aequalis	21	1
1	A. aequalis	22	0
1	A. aequalis	23	0
1	A. aequalis	24	2
1	A. aequalis	25	0
1	A. aequalis	26	0
1	A. aequalis	27	0
1	A. aequalis	28	1
1	A. aequalis	29	0
1	A. aequalis	30	0
1	A. aequalis	31	0
1	A. aequalis	32	0
1	A. searsii	2	1938
1	A. searsii	3	584
1	A. searsii	4	259
1	A. searsii	5	130
1	A. searsii	6	62
1	A. searsii	7	34
1	A. searsii	8	22
1	A. searsii	9	15
1	A. searsii	10	5
1	A. searsii	11	7
1	A. searsii	12	3
1	A. searsii	13	4
1	A. searsii	14	1
1	A. searsii	15	1
1	A. searsii	16	0
1	A. searsii	17	0
1	A. searsii	18	1
1	A. searsii	19	1
1	A. searsii	20	1
1	A. searsii	21	0
1	A. searsii	22	0
1	A. searsii	23	0
1	A. searsii	24	0
1	A. searsii	25	0
1	A. searsii	26	0
1	A. searsii	27	0
1	A. searsii	28	0
1	A. searsii	29	0
1	A. searsii	30	0
1	A. searsii	31	0
1	A. searsii	32	0
1	B. distachyon	2	1300
1	B. distachyon	3	356
1	B. distachyon	4	140
1	B. distachyon	5	58
1	B. distachyon	6	36
1	B. distachyon	7	29
1	B. distachyon	8	14
1	B. distachyon	9	4
1	B. distachyon	10	3
1	B. distachyon	11	1
1	B. distachyon	12	1
1	B. distachyon	13	2
1	B. distachyon	14	2
1	B. distachyon	15	2
1	B. distachyon	16	2
1	B. distachyon	17	1
1	B. distachyon	18	0
1	B. distachyon	19	1
1	B. distachyon	20	1
1	B. distachyon	21	0
1	B. distachyon	22	0
1	B. distachyon	23	0
1	B. distachyon	24	0
1	B. distachyon	25	0
1	B. distachyon	26	0
1	B. distachyon	27	0
1	B. distachyon	28	0
1	B. distachyon	29	0
1	B. distachyon	30	0
1	B. distachyon	31	0
1	B. distachyon	32	0
1	B. tectorum	2	1684
1	B. tectorum	3	496
1	B. tectorum	4	236
1	B. tectorum	5	112
1	B. tectorum	6	51
1	B. tectorum	7	42
1	B. tectorum	8	17
1	B. tectorum	9	17
1	B. tectorum	10	12
1	B. tectorum	11	8
1	B. tectorum	12	3
1	B. tectorum	13	4
1	B. tectorum	14	1
1	B. tectorum	15	1
1	B. tectorum	16	1
1	B. tectorum	17	0
1	B. tectorum	18	1
1	B. tectorum	19	1
1	B. tectorum	20	1
1	B. tectorum	21	0
1	B. tectorum	22	0
1	B. tectorum	23	0
1	B. tectorum	24	0
1	B. tectorum	25	0
1	B. tectorum	26	0
1	B. tectorum	27	0
1	B. tectorum	28	0
1	B. tectorum	29	0
1	B. tectorum	30	0
1	B. tectorum	31	0
1	B. tectorum	32	0
1	C. virgata	2	1423
1	C. virgata	3	354
1	C. virgata	4	122
1	C. virgata	5	44
1	C. virgata	6	26
1	C. virgata	7	15
1	C. virgata	8	7
1	C. virgata	9	6
1	C. virgata	10	0
1	C. virgata	11	1
1	C. virgata	12	1
1	C. virgata	13	2
1	C. virgata	14	0
1	C. virgata	15	0
1	C. virgata	16	1
1	C. virgata	17	0
1	C. virgata	18	0
1	C. virgata	19	0
1	C. virgata	20	0
1	C. virgata	21	0
1	C. virgata	22	0
1	C. virgata	23	0
1	C. virgata	24	0
1	C. virgata	25	0
1	C. virgata	26	0
1	C. virgata	27	0
1	C. virgata	28	0
1	C. virgata	29	0
1	C. virgata	30	0
1	C. virgata	31	0
1	C. virgata	32	0
1	H. marinum	2	2447
1	H. marinum	3	711
1	H. marinum	4	279
1	H. marinum	5	148
1	H. marinum	6	76
1	H. marinum	7	42
1	H. marinum	8	20
1	H. marinum	9	21
1	H. marinum	10	12
1	H. marinum	11	9
1	H. marinum	12	5
1	H. marinum	13	5
1	H. marinum	14	3
1	H. marinum	15	1
1	H. marinum	16	0
1	H. marinum	17	0
1	H. marinum	18	1
1	H. marinum	19	2
1	H. marinum	20	0
1	H. marinum	21	0
1	H. marinum	22	0
1	H. marinum	23	0
1	H. marinum	24	0
1	H. marinum	25	0
1	H. marinum	26	0
1	H. marinum	27	0
1	H. marinum	28	0
1	H. marinum	29	0
1	H. marinum	30	0
1	H. marinum	31	0
1	H. marinum	32	0
1	L. perenne	2	2049
1	L. perenne	3	534
1	L. perenne	4	228
1	L. perenne	5	120
1	L. perenne	6	67
1	L. perenne	7	49
1	L. perenne	8	26
1	L. perenne	9	15
