gene:Et_10A_000251 gene:Et_10A_000994
gene:Et_10A_002034 gene:Et_10A_002035
gene:Et_10A_002169 gene:Et_10A_001420
gene:Et_10A_001424 gene:Et_10A_001423
gene:Et_10A_001493 gene:Et_10A_002196
gene:Et_10A_002260 gene:Et_10A_002261
gene:Et_10A_001695 gene:Et_10A_001697
gene:Et_10A_000383 gene:Et_10A_002279
gene:Et_10A_001697 gene:Et_10A_001698
gene:Et_10A_001696 gene:Et_10A_001698
gene:Et_10A_001843 gene:Et_10A_001837
gene:Et_10A_001842 gene:Et_10A_001837
gene:Et_10A_001837 gene:Et_10A_002323
gene:Et_10A_001838 gene:Et_10A_001839
gene:Et_10A_000571 gene:Et_10A_000570
gene:Et_10A_000621 gene:Et_10A_000620
gene:Et_10A_000620 gene:Et_10A_000622
gene:Et_10A_000620 gene:Et_10A_000624
gene:Et_10A_000622 gene:Et_10A_000624
gene:Et_10A_000622 gene:Et_10A_001951
gene:Et_10A_000624 gene:Et_10A_001951
gene:Et_10A_001951 gene:Et_10A_000626
gene:Et_10A_001961 gene:Et_10A_001962
gene:Et_10A_001962 gene:Et_10A_000667
gene:Et_10A_001974 gene:Et_10A_001975
gene:Et_10A_000721 gene:Et_10A_001975
gene:Et_10A_000716 gene:Et_10A_000715
gene:Et_10A_000836 gene:Et_10A_000835
gene:Et_10A_002023 gene:Et_10A_000903
gene:Et_10A_000910 gene:Et_10A_000909
gene:Et_10A_000910 gene:Et_10A_000908
gene:Et_10A_000909 gene:Et_10A_000908
gene:Et_10A_000909 gene:Et_10A_000911
gene:Et_10A_000908 gene:Et_10A_000911
gene:Et_10A_000051 gene:Et_10A_000996
gene:Et_10A_000051 gene:Et_10A_002037
gene:Et_10A_000996 gene:Et_10A_002037
gene:Et_10A_000996 gene:Et_10A_000997
gene:Et_10A_002037 gene:Et_10A_000997
gene:Et_10A_002065 gene:Et_10A_002060
gene:Et_10A_001083 gene:Et_10A_002060
gene:Et_10A_001083 gene:Et_10A_002061
gene:Et_10A_002060 gene:Et_10A_002061
gene:Et_10A_002060 gene:Et_10A_002062
gene:Et_10A_002061 gene:Et_10A_002062
gene:Et_10A_002061 gene:Et_10A_002063
gene:Et_10A_002062 gene:Et_10A_001090
gene:Et_10A_002062 gene:Et_10A_002063
gene:Et_10A_001190 gene:Et_10A_001191
gene:Et_10A_001292 gene:Et_10A_001291
gene:Et_10A_001288 gene:Et_10A_001375
gene:Et_10A_001291 gene:Et_10A_002142
gene:Et_10A_002142 gene:Et_10A_002143
gene:Et_10A_001378 gene:Et_10A_001379
gene:Et_10A_002155 gene:Et_10A_001387
gene:Et_10A_002156 gene:Et_10A_002150
gene:Et_10A_002157 gene:Et_10A_002150
gene:Et_10A_001387 gene:Et_10A_002150
gene:Et_10A_002150 gene:Et_10A_002151
gene:Et_10A_002151 gene:Et_10A_002154
gene:Et_10A_002154 gene:Et_10A_001384
gene:Et_10A_001384 gene:Et_10A_001390
gene:Et_10A_002152 gene:Et_10A_002153
gene:Et_10A_001404 gene:Et_10A_001403
gene:Et_10A_001398 gene:Et_10A_001401
gene:Et_10A_001401 gene:Et_10A_002162
gene:Et_10A_001401 gene:Et_10A_002163
gene:Et_10A_002162 gene:Et_10A_002163
gene:Et_10A_001411 gene:Et_10A_001408
gene:Et_10A_001417 gene:Et_10A_001418
gene:Et_10A_001418 gene:Et_10A_002167
gene:Et_10A_001418 gene:Et_10A_001415
gene:Et_10A_002167 gene:Et_10A_001415
gene:Et_10A_002167 gene:Et_10A_001416
gene:Et_10A_001415 gene:Et_10A_001416
gene:Et_10A_001416 gene:Et_10A_001429
gene:Et_10A_002179 gene:Et_10A_002177
gene:Et_10A_001429 gene:Et_10A_001430
gene:Et_10A_001430 gene:Et_10A_001432
gene:Et_10A_001430 gene:Et_10A_001431
gene:Et_10A_001432 gene:Et_10A_001431
gene:Et_10A_001432 gene:Et_10A_001433
gene:Et_10A_001431 gene:Et_10A_001433
gene:Et_10A_001437 gene:Et_10A_001434
gene:Et_10A_001444 gene:Et_10A_001445
gene:Et_10A_001445 gene:Et_10A_001446
gene:Et_10A_001445 gene:Et_10A_001448
gene:Et_10A_001446 gene:Et_10A_001448
gene:Et_10A_000107 gene:Et_10A_001449
gene:Et_10A_002184 gene:Et_10A_001452
gene:Et_10A_001450 gene:Et_10A_001451
gene:Et_10A_001450 gene:Et_10A_001453
gene:Et_10A_001451 gene:Et_10A_001453
gene:Et_10A_001452 gene:Et_10A_001455
gene:Et_10A_001453 gene:Et_10A_001454
gene:Et_10A_001453 gene:Et_10A_001456
gene:Et_10A_001454 gene:Et_10A_001456
gene:Et_10A_001455 gene:Et_10A_001460
gene:Et_10A_001456 gene:Et_10A_001457
gene:Et_10A_001466 gene:Et_10A_002185
gene:Et_10A_001485 gene:Et_10A_001484
gene:Et_10A_001485 gene:Et_10A_001495
gene:Et_10A_001484 gene:Et_10A_001495
gene:Et_10A_001495 gene:Et_10A_002199
gene:Et_10A_002203 gene:Et_10A_002204
gene:Et_10A_002205 gene:Et_10A_001515
gene:Et_10A_001513 gene:Et_10A_001515
gene:Et_10A_001515 gene:Et_10A_001514
gene:Et_10A_002218 gene:Et_10A_001524
gene:Et_10A_002218 gene:Et_10A_001528
gene:Et_10A_001524 gene:Et_10A_001528
gene:Et_10A_001524 gene:Et_10A_002214
gene:Et_10A_001528 gene:Et_10A_002215
gene:Et_10A_002214 gene:Et_10A_002215
gene:Et_10A_002215 gene:Et_10A_002219
gene:Et_10A_001525 gene:Et_10A_001530
gene:Et_10A_002224 gene:Et_10A_001530
gene:Et_10A_001530 gene:Et_10A_001533
gene:Et_10A_001530 gene:Et_10A_000353
gene:Et_10A_001562 gene:Et_10A_002233
gene:Et_10A_001558 gene:Et_10A_001561
gene:Et_10A_002233 gene:Et_10A_001560
gene:Et_10A_002237 gene:Et_10A_002236
gene:Et_10A_001566 gene:Et_10A_000356
gene:Et_10A_000356 gene:Et_10A_001567
gene:Et_10A_002239 gene:Et_10A_001573
gene:Et_10A_002241 gene:Et_10A_000361
gene:Et_10A_001577 gene:Et_10A_001583
gene:Et_10A_001576 gene:Et_10A_002245
gene:Et_10A_001583 gene:Et_10A_002245
gene:Et_10A_001584 gene:Et_10A_001580
