Pgi01A00000100 Pgi01A00000110
Pgi01A00000160 Pgi01A00000170
Pgi01A00000160 Pgi01A00000180
Pgi01A00000170 Pgi01A00000190
Pgi01A00000180 Pgi01A00000190
Pgi01A00000180 Pgi01A00000200
Pgi01A00000190 Pgi01A00000200
Pgi01A00000190 Pgi01A00000220
Pgi01A00000200 Pgi01A00000220
Pgi01A00000220 Pgi01A00000230
Pgi01A00000220 Pgi01A00000240
Pgi01A00000230 Pgi01A00000240
Pgi01A00000310 Pgi01A00000320
Pgi01A00000320 Pgi01A00000350
Pgi01A00000360 Pgi01A00000390
Pgi01A00000370 Pgi01A00000390
Pgi01A00000390 Pgi01A00000400
Pgi01A00000390 Pgi01A00000410
Pgi01A00000400 Pgi01A00000410
Pgi01A00000400 Pgi01A00000420
Pgi01A00000410 Pgi01A00000420
Pgi01A00000410 Pgi01A00000430
Pgi01A00000420 Pgi01A00000430
Pgi01A00000420 Pgi01A00000440
Pgi01A00000430 Pgi01A00000450
Pgi01A00000440 Pgi01A00000450
Pgi01A00000440 Pgi01A00000460
Pgi01A00000450 Pgi01A00000460
Pgi01A00000450 Pgi01A00000470
Pgi01A00000460 Pgi01A00000470
Pgi01A00000460 Pgi01A00000480
Pgi01A00000470 Pgi01A00000480
Pgi01A00000470 Pgi01A00000500
Pgi01A00000480 Pgi01A00000500
Pgi01A00000490 Pgi01A00000520
Pgi01A00000500 Pgi01A00000510
Pgi01A00000550 Pgi01A00000560
Pgi01A00000560 Pgi01A00000570
Pgi01A00000560 Pgi01A00000580
Pgi01A00000570 Pgi01A00000580
Pgi01A00000590 Pgi01A00000600
Pgi01A00000590 Pgi01A00000620
Pgi01A00000600 Pgi01A00000620
Pgi01A00000610 Pgi01A00000630
Pgi01A00000620 Pgi01A00000640
Pgi01A00000630 Pgi01A00000640
Pgi01A00000630 Pgi01A00000650
Pgi01A00000640 Pgi01A00000650
Pgi01A00000640 Pgi01A00000670
Pgi01A00000650 Pgi01A00000690
Pgi01A00000670 Pgi01A00000680
Pgi01A00000670 Pgi01A00000690
Pgi01A00000680 Pgi01A00000690
Pgi01A00000680 Pgi01A00000730
Pgi01A00000690 Pgi01A00000700
Pgi01A00000690 Pgi01A00000730
Pgi01A00000700 Pgi01A00000710
Pgi01A00000710 Pgi01A00000730
Pgi01A00000730 Pgi01A00000740
Pgi01A00000730 Pgi01A00000750
Pgi01A00000750 Pgi01A00000790
Pgi01A00000790 Pgi01A00000800
Pgi01A00000880 Pgi01A00000890
Pgi01A00000880 Pgi01A00000910
Pgi01A00000890 Pgi01A00000910
Pgi01A00000930 Pgi01A00000940
Pgi01A00000930 Pgi01A00000950
Pgi01A00000940 Pgi01A00000950
Pgi01A00000940 Pgi01A00000960
Pgi01A00000950 Pgi01A00000960
Pgi01A00000950 Pgi01A00000990
Pgi01A00000960 Pgi01A00000990
Pgi01A00000990 Pgi01A00001000
Pgi01A00000990 Pgi01A00001010
Pgi01A00001000 Pgi01A00001010
Pgi01A00001020 Pgi01A00001030
Pgi01A00001020 Pgi01A00001070
Pgi01A00001030 Pgi01A00001070
Pgi01A00001070 Pgi01A00001080
Pgi01A00001100 Pgi01A00001130
Pgi01A00001110 Pgi01A00001120
Pgi01A00001140 Pgi01A00001150
Pgi01A00001170 Pgi01A00001190
Pgi01A00001180 Pgi01A00001200
Pgi01A00001190 Pgi01A00001240
Pgi01A00001210 Pgi01A00001220
Pgi01A00001250 Pgi01A00001280
Pgi01A00001360 Pgi01A00001380
Pgi01A00001390 Pgi01A00001400
Pgi01A00001390 Pgi01A00001410
Pgi01A00001400 Pgi01A00001410
Pgi01A00001400 Pgi01A00001430
Pgi01A00001410 Pgi01A00001420
Pgi01A00001410 Pgi01A00001430
Pgi01A00001430 Pgi01A00001440
Pgi01A00001430 Pgi01A00001450
Pgi01A00001440 Pgi01A00001450
Pgi01A00001470 Pgi01A00001480
Pgi01A00001600 Pgi01A00001610
Pgi01A00001600 Pgi01A00001620
Pgi01A00001610 Pgi01A00001620
Pgi01A00001620 Pgi01A00001670
Pgi01A00001630 Pgi01A00001640
Pgi01A00001670 Pgi01A00001680
Pgi01A00001720 Pgi01A00001730
Pgi01A00001720 Pgi01A00001740
Pgi01A00001730 Pgi01A00001740
Pgi01A00001730 Pgi01A00001750
Pgi01A00001740 Pgi01A00001750
Pgi01A00001770 Pgi01A00001790
Pgi01A00001850 Pgi01A00001880
Pgi01A00001860 Pgi01A00001880
Pgi01A00001870 Pgi01A00001910
Pgi01A00001880 Pgi01A00001900
Pgi01A00001900 Pgi01A00001910
Pgi01A00001960 Pgi01A00001990
Pgi01A00001990 Pgi01A00002040
Pgi01A00002070 Pgi01A00002090
Pgi01A00002080 Pgi01A00002100
Pgi01A00002090 Pgi01A00002110
Pgi01A00002100 Pgi01A00002120
Pgi01A00002110 Pgi01A00002130
Pgi01A00002120 Pgi01A00002170
Pgi01A00002140 Pgi01A00002150
Pgi01A00002140 Pgi01A00002160
Pgi01A00002150 Pgi01A00002200
Pgi01A00002160 Pgi01A00002210
Pgi01A00002250 Pgi01A00002260
Pgi01A00002280 Pgi01A00002300
Pgi01A00002290 Pgi01A00002300
Pgi01A00002310 Pgi01A00002320
Pgi01A00002310 Pgi01A00002330
Pgi01A00002320 Pgi01A00002330
Pgi01A00002320 Pgi01A00002340
Pgi01A00002330 Pgi01A00002340
Pgi01A00002330 Pgi01A00002350
Pgi01A00002340 Pgi01A00002360
Pgi01A00002350 Pgi01A00002370
Pgi01A00002360 Pgi01A00002370
Pgi01A00002360 Pgi01A00002380
Pgi01A00002370 Pgi01A00002380
Pgi01A00002370 Pgi01A00002390
Pgi01A00002380 Pgi01A00002390
Pgi01A00002450 Pgi01A00002460
Pgi01A00002510 Pgi01A00002520
Pgi01A00002530 Pgi01A00002540
Pgi01A00002530 Pgi01A00002550
Pgi01A00002540 Pgi01A00002550
Pgi01A00002580 Pgi01A00002610
Pgi01A00002620 Pgi01A00002630
Pgi01A00002620 Pgi01A00002670
Pgi01A00002630 Pgi01A00002670
Pgi01A00002640 Pgi01A00002650
Pgi01A00002650 Pgi01A00002700
Pgi01A00002670 Pgi01A00002690
Pgi01A00002690 Pgi01A00002730
Pgi01A00002700 Pgi01A00002710
Pgi01A00002710 Pgi01A00002760
Pgi01A00002730 Pgi01A00002750
Pgi01A00002750 Pgi01A00002790
Pgi01A00002760 Pgi01A00002770
Pgi01A00002790 Pgi01A00002810
Pgi01A00002840 Pgi01A00002870
Pgi01A00002850 Pgi01A00002860
Pgi01A00002850 Pgi01A00002880
Pgi01A00002860 Pgi01A00002880
Pgi01A00002880 Pgi01A00002890
Pgi01A00002880 Pgi01A00002900
Pgi01A00002890 Pgi01A00002900
Pgi01A00002890 Pgi01A00002910
Pgi01A00002900 Pgi01A00002940
Pgi01A00002910 Pgi01A00002940
Pgi01A00002920 Pgi01A00002940
Pgi01A00002940 Pgi01A00002990
Pgi01A00002950 Pgi01A00002970
Pgi01A00002960 Pgi01A00002980
Pgi01A00002970 Pgi01A00003020
Pgi01A00002990 Pgi01A00003000
Pgi01A00003010 Pgi01A00003050
Pgi01A00003020 Pgi01A00003070
Pgi01A00003050 Pgi01A00003060
Pgi01A00003060 Pgi01A00003080
Pgi01A00003070 Pgi01A00003100
Pgi01A00003080 Pgi01A00003110
Pgi01A00003100 Pgi01A00003150
Pgi01A00003110 Pgi01A00003130
Pgi01A00003120 Pgi01A00003130
Pgi01A00003120 Pgi01A00003140
Pgi01A00003130 Pgi01A00003140
Pgi01A00003130 Pgi01A00003160
Pgi01A00003140 Pgi01A00003160
Pgi01A00003160 Pgi01A00003180
Pgi01A00003180 Pgi01A00003190
Pgi01A00003180 Pgi01A00003220
Pgi01A00003190 Pgi01A00003210
Pgi01A00003220 Pgi01A00003230
Pgi01A00003270 Pgi01A00003290
Pgi01A00003330 Pgi01A00003380
Pgi01A00003350 Pgi01A00003360
Pgi01A00003350 Pgi01A00003370
Pgi01A00003360 Pgi01A00003370
Pgi01A00003400 Pgi01A00003430
Pgi01A00003420 Pgi01A00003450
Pgi01A00003430 Pgi01A00003460
Pgi01A00003460 Pgi01A00003480
Pgi01A00003510 Pgi01A00003540
Pgi01A00003530 Pgi01A00003540
Pgi01A00003530 Pgi01A00003550
Pgi01A00003540 Pgi01A00003550
Pgi01A00003540 Pgi01A00003560
Pgi01A00003550 Pgi01A00003560
Pgi01A00003550 Pgi01A00003570
Pgi01A00003560 Pgi01A00003570
Pgi01A00003560 Pgi01A00003580
Pgi01A00003570 Pgi01A00003580
Pgi01A00003630 Pgi01A00003640
Pgi01A00003630 Pgi01A00003650
Pgi01A00003640 Pgi01A00003650
Pgi01A00003690 Pgi01A00003720
Pgi01A00003700 Pgi01A00003720
Pgi01A00003710 Pgi01A00003730
Pgi01A00003720 Pgi01A00003740
Pgi01A00003730 Pgi01A00003750
Pgi01A00003740 Pgi01A00003760
Pgi01A00003790 Pgi01A00003810
Pgi01A00003800 Pgi01A00003820
Pgi01A00003810 Pgi01A00003860
Pgi01A00003880 Pgi01A00003890
Pgi01A00003970 Pgi01A00004010
Pgi01A00003980 Pgi01A00004000
Pgi01A00004130 Pgi01A00004140
Pgi01A00004140 Pgi01A00004160
Pgi01A00004160 Pgi01A00004190
Pgi01A00004190 Pgi01A00004200
Pgi01A00004270 Pgi01A00004300
Pgi01A00004280 Pgi01A00004310
Pgi01A00004290 Pgi01A00004320
Pgi01A00004320 Pgi01A00004330
Pgi01A00004320 Pgi01A00004340
Pgi01A00004330 Pgi01A00004340
Pgi01A00004370 Pgi01A00004380
Pgi01A00004370 Pgi01A00004400
Pgi01A00004380 Pgi01A00004400
Pgi01A00004400 Pgi01A00004410
Pgi01A00004430 Pgi01A00004450
Pgi01A00004450 Pgi01A00004460
Pgi01A00004510 Pgi01A00004550
Pgi01A00004530 Pgi01A00004540
Pgi01A00004560 Pgi01A00004570
Pgi01A00004590 Pgi01A00004620
Pgi01A00004640 Pgi01A00004650
Pgi01A00004670 Pgi01A00004680
Pgi01A00004670 Pgi01A00004690
Pgi01A00004740 Pgi01A00004750
Pgi01A00004760 Pgi01A00004770
Pgi01A00004790 Pgi01A00004800
Pgi01A00004900 Pgi01A00004910
Pgi01A00004920 Pgi01A00004930
Pgi01A00004920 Pgi01A00004960
Pgi01A00004930 Pgi01A00004960
Pgi01A00004940 Pgi01A00004980
Pgi01A00004960 Pgi01A00004980
Pgi01A00004980 Pgi01A00004990
Pgi01A00004980 Pgi01A00005000
Pgi01A00004990 Pgi01A00005010
Pgi01A00005000 Pgi01A00005040
Pgi01A00005040 Pgi01A00005050
Pgi01A00005040 Pgi01A00005070
Pgi01A00005060 Pgi01A00005070
Pgi01A00005060 Pgi01A00005090
Pgi01A00005070 Pgi01A00005090
Pgi01A00005120 Pgi01A00005170
Pgi01A00005150 Pgi01A00005190
Pgi01A00005160 Pgi01A00005180
Pgi01A00005180 Pgi01A00005210
Pgi01A00005200 Pgi01A00005220
Pgi01A00005210 Pgi01A00005230
Pgi01A00005220 Pgi01A00005240
Pgi01A00005260 Pgi01A00005270
Pgi01A00005390 Pgi01A00005430
Pgi01A00005450 Pgi01A00005460
Pgi01A00005450 Pgi01A00005470
Pgi01A00005550 Pgi01A00005570
Pgi01A00005560 Pgi01A00005580
Pgi01A00005570 Pgi01A00005590
Pgi01A00005580 Pgi01A00005600
Pgi01A00005590 Pgi01A00005610
Pgi01A00005600 Pgi01A00005620
Pgi01A00005610 Pgi01A00005630
Pgi01A00005620 Pgi01A00005660
Pgi01A00005660 Pgi01A00005700
Pgi01A00005690 Pgi01A00005710
Pgi01A00005700 Pgi01A00005740
Pgi01A00005770 Pgi01A00005780
Pgi01A00005770 Pgi01A00005790
Pgi01A00005780 Pgi01A00005790
Pgi01A00005780 Pgi01A00005830
Pgi01A00005790 Pgi01A00005830
Pgi01A00005800 Pgi01A00005810
Pgi01A00005800 Pgi01A00005840
Pgi01A00005810 Pgi01A00005840
Pgi01A00005820 Pgi01A00005860
Pgi01A00005830 Pgi01A00005870
Pgi01A00005840 Pgi01A00005850
Pgi01A00005840 Pgi01A00005880
Pgi01A00005850 Pgi01A00005880
Pgi01A00005860 Pgi01A00005900
Pgi01A00005870 Pgi01A00005910
Pgi01A00005880 Pgi01A00005890
Pgi01A00005880 Pgi01A00005920
Pgi01A00005890 Pgi01A00005920
Pgi01A00005900 Pgi01A00005940
Pgi01A00005920 Pgi01A00005930
Pgi01A00006010 Pgi01A00006020
Pgi01A00006010 Pgi01A00006030
Pgi01A00006020 Pgi01A00006030
Pgi01A00006020 Pgi01A00006040
Pgi01A00006030 Pgi01A00006040
Pgi01A00006030 Pgi01A00006050
Pgi01A00006040 Pgi01A00006050
Pgi01A00006040 Pgi01A00006060
Pgi01A00006050 Pgi01A00006060
Pgi01A00006070 Pgi01A00006090
Pgi01A00006120 Pgi01A00006130
Pgi01A00006120 Pgi01A00006140
Pgi01A00006130 Pgi01A00006140
Pgi01A00006190 Pgi01A00006230
Pgi01A00006270 Pgi01A00006300
Pgi01A00006350 Pgi01A00006380
Pgi01A00006360 Pgi01A00006380
Pgi01A00006440 Pgi01A00006460
Pgi01A00006460 Pgi01A00006470
Pgi01A00006460 Pgi01A00006480
Pgi01A00006470 Pgi01A00006480
Pgi01A00006510 Pgi01A00006520
Pgi01A00006510 Pgi01A00006530
Pgi01A00006520 Pgi01A00006530
Pgi01A00006520 Pgi01A00006550
Pgi01A00006530 Pgi01A00006550
Pgi01A00006540 Pgi01A00006550
Pgi01A00006540 Pgi01A00006560
Pgi01A00006550 Pgi01A00006560
Pgi01A00006550 Pgi01A00006570
Pgi01A00006560 Pgi01A00006570
Pgi01A00006560 Pgi01A00006580
Pgi01A00006570 Pgi01A00006580
Pgi01A00006600 Pgi01A00006620
Pgi01A00006670 Pgi01A00006680
Pgi01A00006750 Pgi01A00006760
